dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,MRVL,66.3,63.04,67.03,61.86,62.36,26990200,1762854278.8612,65.31,3.13,862200000,862200000.0,49732561200.46,57163856000.0
2025-06-04,MRVL,62.36,62.03,63.51,61.15,61.47,19286571,1205393329.5861,62.5,2.24,862200000,862200000.0,46777109790.11,53766758000.0
2025-06-03,MRVL,61.47,59.75,62.3,59.53,60.19,18270250,1116683179.3452,61.12,2.12,862200000,862200000.0,46109509080.23,52999411000.0
2025-05-31,MRVL,60.19,60.8,60.98,58.61,63.73,48347485,2893843694.466,59.86,5.6,863830607,863831000.0,45234751139.33,51993930000.0
2025-05-30,MRVL,63.73,67.36,67.59,63.33,64.59,39014692,2503756076.663,64.17,4.52,863830607,863831000.0,47895171382.05,55051875000.0
2025-05-29,MRVL,64.59,64.8,65.9,64.5,63.82,23421176,1524746592.7477,65.1,2.71,863830607,863831000.0,48541490193.74,55794810000.0
2025-05-28,MRVL,63.82,62.94,65.52,62.46,60.69,25511688,1639123249.7611,64.25,2.95,863830607,863831000.0,47962818336.96,55129661000.0
2025-05-24,MRVL,60.69,60.15,61.3,60.0,61.85,17443157,1057140872.8851,60.6,2.02,863830607,863831000.0,45610517453.38,52425848000.0
2025-05-23,MRVL,61.85,59.41,62.86,59.32,60.11,16653149,1028725064.9853,61.77,1.93,863830607,863831000.0,46482298308.09,53427890000.0
2025-05-22,MRVL,60.11,60.95,62.45,59.68,61.42,14022833,854472957.2237,60.93,1.62,863830607,863831000.0,45174627026.02,51924830000.0
2025-05-21,MRVL,61.42,60.95,61.42,59.8,62.56,22326184,1353437698.9253,60.62,2.58,863830607,863831000.0,46159133265.76,53056470000.0
2025-05-20,MRVL,62.56,61.1,62.97,60.64,63.76,20323532,1267145677.6672,62.35,2.35,863830607,863831000.0,47015879710.25,54041230000.0
2025-05-17,MRVL,63.76,65.1,65.14,63.5,65.2,18712934,1199223933.1314,64.09,2.17,863830607,863831000.0,47917716609.36,55077800000.0
2025-05-16,MRVL,65.2,65.1,65.96,63.94,65.9,9962477,646887581.4047,64.93,1.15,863830607,863831000.0,48999925096.87,56321720000.0
2025-05-15,MRVL,65.9,66.65,66.92,64.95,65.48,11472555,754450211.4294,65.76,1.33,863830607,863831000.0,49525995681.94,56926411000.0
2025-05-14,MRVL,65.48,65.05,67.04,64.4,64.5,19733708,1301086900.9998,65.93,2.28,863830607,863831000.0,49210353481.2,56563590000.0
2025-05-13,MRVL,64.5,64.72,65.12,63.18,59.65,20383055,1308940742.3897,64.22,2.36,863830607,863831000.0,47916683770.29,55717070000.0
2025-05-10,MRVL,59.65,59.85,60.87,59.14,57.63,14698340,879755853.4006,59.85,1.7,863830607,863831000.0,44313641851.13,51527470000.0
2025-05-09,MRVL,57.63,58.06,59.03,56.69,56.31,18868844,1092875934.6801,57.92,2.18,863830607,863831000.0,42813003492.48,49782540000.0
2025-05-08,MRVL,56.31,55.16,56.44,53.78,61.22,40378122,2221903272.4334,55.03,4.67,863830607,863831000.0,41832377787.16,48642290000.0
2025-05-07,MRVL,61.22,60.37,61.84,59.97,61.98,9818137,600604943.7917,61.17,1.14,863830607,863831000.0,45479991879.85,52883700000.0
2025-05-06,MRVL,61.98,61.69,62.95,61.08,62.33,9098875,564997436.4796,62.1,1.05,863830607,863831000.0,46044587107.22,53540208000.0
2025-05-03,MRVL,62.33,62.2,63.43,61.97,60.95,15638641,979219808.5873,62.62,1.81,863830607,863831000.0,46304604577.3,53842532000.0
2025-05-02,MRVL,60.95,60.15,61.78,59.27,58.37,17638208,1075618491.7184,60.98,2.04,866064012,866064000.0,45396475082.56,52786583000.0
2025-05-01,MRVL,58.37,56.28,58.44,55.86,58.68,14316625,821217358.2875,57.36,1.65,866064012,866064000.0,43474851507.92,50552130000.0
2025-04-30,MRVL,58.68,58.21,59.75,58.01,58.7,14831860,872306241.5074,58.81,1.71,866064012,866064000.0,43705741939.07,50820630000.0
2025-04-29,MRVL,58.7,58.29,58.87,56.7,58.92,13525106,784771296.4949,58.02,1.56,866064012,866064000.0,43720641219.34,50837911000.0
2025-04-26,MRVL,58.92,56.98,59.26,56.76,57.33,11929606,694700408.587,58.23,1.38,866064012,866064000.0,43884502020.04,51028460000.0
2025-04-25,MRVL,57.33,54.8,57.97,54.46,53.77,19723149,1127304252.673,57.16,2.28,866064012,866064000.0,42700248324.48,49651420000.0
2025-04-24,MRVL,53.77,54.85,55.95,53.36,50.62,18550278,1011739693.5329,54.54,,866064012,,40048708979.78,
2025-04-23,MRVL,50.62,50.11,51.47,49.78,49.38,15732395,795642309.9973,50.57,1.82,866064012,866064000.0,37702534867.94,43840141000.0
2025-04-22,MRVL,49.38,50.3,50.71,48.09,51.7,14037993,688075006.4176,49.02,1.62,866064012,866064000.0,36778970908.88,42766243000.0
2025-04-18,MRVL,51.7,52.01,52.49,50.79,51.93,12283653,633519625.6872,51.57,1.42,866064012,866064000.0,38506935867.1,44775500000.0
2025-04-17,MRVL,51.93,50.48,52.44,49.7,53.32,19820153,1017223627.632,51.32,2.29,866064012,866064000.0,38678240349.41,44974690000.0
2025-04-16,MRVL,53.32,52.51,54.14,52.43,52.26,11297368,601483147.0933,53.24,1.3,866064012,866064000.0,39713544441.58,46178510000.0
2025-04-15,MRVL,52.26,55.85,56.03,51.34,53.39,19412993,1025871946.9528,52.84,2.24,866064012,866064000.0,38924030805.65,45260470000.0
2025-04-12,MRVL,53.39,52.59,53.39,51.44,52.81,17726836,933131712.7147,52.64,2.05,866064012,866064000.0,39765675536.58,46239130000.0
2025-04-11,MRVL,52.81,58.13,58.35,50.25,60.89,34622059,1859055485.7139,53.63,4.0,866064012,866064000.0,39378368731.16,45788770000.0
2025-04-10,MRVL,60.96,50.29,61.3,49.71,50.03,38033700,2161611375.4059,56.83,4.39,866064012,866064000.0,45403930681.21,52795227000.0
2025-04-09,MRVL,50.03,54.24,56.25,48.54,51.0,32326219,1698723186.4351,52.55,3.73,866064012,866064000.0,37263096222.69,43329165000.0
2025-04-08,MRVL,51.0,47.46,55.02,47.09,49.43,30875520,1561159041.2621,50.56,3.57,866064012,866064000.0,37985567566.32,44169250000.0
2025-04-05,MRVL,49.43,52.69,52.86,47.31,55.64,37313399,1856666152.1945,49.76,4.31,866064012,866064000.0,36816202723.61,42809540000.0
2025-04-04,MRVL,55.64,58.64,59.3,55.42,63.23,25213176,1435197036.0732,56.92,2.91,866064012,866064000.0,41441509399.8,48187760000.0
2025-04-03,MRVL,63.23,61.5,64.73,61.46,62.67,13138243,830507728.4825,63.21,1.52,866064012,866064000.0,47094652652.47,54761180000.0
2025-04-02,MRVL,62.67,61.45,62.72,60.78,61.57,12613336,780755420.3445,61.9,1.46,866064012,866064000.0,46677558458.74,54276220000.0
2025-04-01,MRVL,61.57,60.38,61.66,59.24,62.04,16032442,970810905.2791,60.55,1.85,866064012,866064000.0,45858268606.72,53323530000.0
2025-03-29,MRVL,62.04,64.63,64.89,61.25,64.86,18790375,1168393127.6019,62.18,2.17,866064012,866064000.0,46208321252.96,53730590000.0
2025-03-28,MRVL,64.86,66.06,66.63,63.92,66.76,14956137,971339897.6374,64.95,1.73,866064012,866064000.0,48308704908.57,56172872000.0
2025-03-27,MRVL,66.76,71.0,71.2,65.84,71.67,19812649,1333680661.2513,67.31,2.29,866064012,866064000.0,49723849035.29,57818399000.0
2025-03-26,MRVL,71.67,72.5,73.23,71.09,72.76,9420910,677056326.1758,71.87,1.09,866064012,866064000.0,53380893911.62,62070782000.0
2025-03-25,MRVL,72.76,71.4,72.92,71.06,70.39,12170278,880713193.7419,72.37,1.41,866064012,866064000.0,54192739337.21,63014790000.0
2025-03-22,MRVL,70.39,68.6,70.79,68.44,70.49,11942266,834552943.6382,69.88,1.38,866064012,866064000.0,52427531392.02,60962243000.0
2025-03-21,MRVL,70.49,69.17,71.13,68.85,69.81,9083012,639447732.5029,70.4,1.05,866064012,866064000.0,52502017365.95,61048830000.0
2025-03-20,MRVL,69.81,68.53,71.37,67.99,68.28,12228793,851168114.2851,69.6,1.41,866064012,866064000.0,51995537173.21,60459907000.0
2025-03-19,MRVL,68.28,69.62,69.95,67.76,70.4,11613610,795432349.8859,68.49,1.34,866064012,866064000.0,50855970891.03,59134809000.0
2025-03-18,MRVL,70.4,68.75,70.57,68.51,68.74,13419360,938401016.4072,69.93,1.55,866064012,866064000.0,52434975073.64,60970883000.0
2025-03-15,MRVL,68.74,70.17,70.76,67.98,68.76,15613086,1077496629.9449,69.01,1.8,866064012,866064000.0,51198591027.89,59533227000.0
2025-03-14,MRVL,68.76,69.73,71.58,67.65,69.85,14947750,1032384186.4158,69.07,1.73,866064012,866064000.0,51213479135.93,59550512000.0
2025-03-13,MRVL,69.85,69.73,71.33,68.63,67.16,19622477,1368852222.0338,69.76,2.27,866100000,866100000.0,52027498313.92,60497060000.0
2025-03-12,MRVL,67.16,66.43,69.0,65.34,65.67,23333000,1570994556.9,67.33,2.7,865300000,865300000.0,49977654256.63,58113512000.0
2025-03-11,MRVL,65.67,68.35,68.55,63.65,70.84,32136391,2096905907.8918,65.25,3.71,865300000,865300000.0,48868855115.84,56824215000.0
2025-03-08,MRVL,70.84,71.96,72.33,67.28,72.28,38688473,2690198985.1423,69.53,4.47,865300000,865300000.0,52716150487.53,61297825000.0
2025-03-07,MRVL,72.28,74.08,75.77,71.65,90.14,60468848,4455205884.165,73.68,,865300000,,53787739495.84,
2025-03-06,MRVL,90.14,88.76,90.74,85.18,88.33,27596700,2438637726.8835,88.37,3.19,865300000,865300000.0,67078402120.0,77998063000.0
2025-03-05,MRVL,88.33,85.32,91.82,83.24,85.83,20871090,1830824474.8407,87.72,2.41,865300000,865300000.0,65731477628.32,76431875000.0
2025-03-04,MRVL,85.83,91.99,92.88,84.87,91.82,20572813,1813199213.0057,88.14,2.38,865300000,865300000.0,63871082628.32,74268625000.0
2025-03-01,MRVL,91.82,87.17,92.08,86.13,87.65,21563415,1952944695.8296,90.57,2.49,865300000,865300000.0,68328593513.26,79451813000.0
2025-02-28,MRVL,87.65,98.0,98.06,87.28,94.9,22670711,2051252755.164,90.48,2.62,865300000,865300000.0,65225444235.05,75843500000.0
2025-02-27,MRVL,94.9,95.85,96.65,93.96,93.0,13879762,1322387467.9476,95.27,1.6,865300000,865300000.0,70620589735.05,82116875000.0
2025-02-26,MRVL,93.0,97.0,97.04,91.73,97.91,24225387,2261224149.3788,93.34,2.8,865300000,865300000.0,69206694000.0,80472875000.0
2025-02-25,MRVL,97.91,104.22,104.67,97.41,103.81,17051348,1697461761.6054,99.55,1.97,865300000,865300000.0,72860512756.63,
2025-02-22,MRVL,103.81,109.11,109.75,102.36,108.71,10533711,1102093726.8594,104.63,1.22,865300000,865300000.0,77251041980.0,
2025-02-21,MRVL,108.71,110.63,111.0,106.82,111.04,9335918,1013482051.1014,108.56,1.08,865300000,865300000.0,80897423621.58,94066688000.0
2025-02-20,MRVL,111.04,110.15,112.5,109.14,107.29,12336672,1370415631.4851,111.08,1.43,865300000,865300000.0,82631304320.0,96082875000.0
