dt,symbol,close,open,high,low,pre_close,return,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-04,MSFT,462.97,461.47,464.14,460.86,461.97,,15743762,7284026874.8087,462.66,0.21,7432543865,7432544000.0,3441044684528.17,3441043000000.0
2025-06-03,MSFT,461.97,457.14,462.11,456.89,460.36,0.5909090909090908,16626497,7664482420.795,460.98,0.22,7432543865,7432544000.0,3433612140663.17,3433611000000.0
2025-05-31,MSFT,460.36,459.72,461.68,455.54,458.68,0.05714285714285716,34770477,15987220888.1467,459.79,0.47,7432543865,7432544000.0,3421646711271.23,3421645000000.0
2025-05-30,MSFT,458.68,461.55,461.72,455.31,457.36,-0.21621621621621623,13982211,6412912411.6174,458.65,0.19,7432543865,7432544000.0,3409158774045.57,3409157000000.0
2025-05-29,MSFT,457.36,461.22,462.52,456.93,460.69,-3.4827586206896552,17086262,7837642830.135,458.71,0.23,7432543865,7432544000.0,3399349079676.23,3399348000000.0
2025-05-28,MSFT,460.69,456.48,460.95,456.12,450.18,-4.236111111111111,20974293,9629730196.4787,459.12,0.28,7432543865,7432544000.0,3424098261539.66,3424097000000.0
2025-05-24,MSFT,450.18,449.98,453.69,448.91,454.86,-1.44206008583691,16883508,7614602409.9515,451.01,0.23,7432543865,7432544000.0,3345982151193.07,3345981000000.0
2025-05-23,MSFT,454.86,454.95,460.25,453.9,452.57,-1.4951456310679612,18025614,8225321820.9259,456.31,0.24,7432543865,7432544000.0,3380767720013.73,3380766000000.0
2025-05-22,MSFT,452.57,454.57,457.78,451.81,458.17,-3.392156862745098,19216907,8732911423.6658,454.44,0.26,7432543865,7432544000.0,3363746897261.12,3363745000000.0
2025-05-21,MSFT,458.17,455.59,458.34,454.32,458.87,-0.8770491803278688,15441809,7051357390.0997,456.64,0.21,7432543865,7432544000.0,3405368102348.98,3405367000000.0
2025-05-20,MSFT,458.87,450.88,459.59,450.8,454.27,-7.733333333333333,21336508,9761067072.6655,457.48,0.29,7432543865,7432544000.0,3410572295237.81,3410571000000.0
2025-05-17,MSFT,454.27,452.05,454.36,448.73,453.13,-0.7524752475247525,23849782,10779769713.5324,451.99,0.32,7432543865,7432544000.0,3376381850204.43,3376381000000.0
2025-05-16,MSFT,453.13,450.76,456.19,450.43,452.11,-0.07999999999999996,21992325,9974201369.4982,453.53,0.3,7432543865,7432544000.0,3367907783967.62,3367906000000.0
2025-05-15,MSFT,452.11,447.32,453.07,447.32,448.32,2.695652173913043,19902797,8999708645.1587,451.35,0.27,7432543865,7432544000.0,3366496046585.91,3366495000000.0
2025-05-14,MSFT,449.14,447.78,450.67,445.36,449.26,-1.035294117647059,23618821,10594200430.2347,448.55,0.32,7432543865,7432544000.0,3338252008271.71,3338251000000.0
2025-05-13,MSFT,449.26,445.94,449.37,439.78,438.73,-81.0,22821934,10173790870.7374,445.79,0.31,7432543865,7432544000.0,3339144731115.34,3339143000000.0
2025-05-10,MSFT,438.73,440.0,440.74,435.88,438.17,-0.9458333333333333,15324235,6715161455.1726,438.21,0.21,7432543865,7432544000.0,3260879895566.01,3260878000000.0
2025-05-09,MSFT,438.17,437.93,443.67,435.66,433.35,7.538461538461538,23491329,10334670743.8459,439.94,0.32,7432543865,7432544000.0,3256717225048.98,3256716000000.0
2025-05-08,MSFT,433.35,433.84,438.12,431.11,433.31,-0.990990990990991,23307243,10112270868.1553,433.87,0.31,7432543865,7432544000.0,3220893627152.14,3220892000000.0
2025-05-07,MSFT,433.31,432.2,437.73,431.17,436.17,-67.0,15104204,6563779708.1876,434.57,0.2,7432543865,7432544000.0,3220596028095.78,3220595000000.0
2025-05-06,MSFT,436.17,432.87,439.5,432.11,435.28,-1.303030303030303,20136055,8793910766.8135,436.72,0.27,7432543865,7432544000.0,3241852137318.98,3241850000000.0
2025-05-03,MSFT,435.28,431.74,439.44,429.99,425.4,10.599999999999998,30757434,13400967550.0747,435.7,0.41,7432543865,7432544000.0,3235237916533.52,3235237000000.0
2025-05-02,MSFT,425.4,431.11,436.99,424.9,395.26,2.2887931034482762,58938102,25376680940.7249,430.57,0.79,7432543865,7432544000.0,3161803491242.05,3161802000000.0
2025-05-01,MSFT,395.26,390.3,396.66,384.44,394.04,-0.9593709043250328,36461075,14289216707.8797,391.9,0.49,7433982235,7433982000.0,2938355892545.92,2938355000000.0
2025-04-30,MSFT,394.04,391.3,395.1,390.38,391.16,1.3870967741935485,14973977,5892947255.0443,393.55,0.2,7433982235,7433982000.0,2929286657238.69,2929286000000.0
2025-04-29,MSFT,391.16,391.96,392.74,386.64,391.85,-1.2432432432432432,16506278,6439338553.8938,390.11,0.22,7433982235,7433982000.0,2907875896324.02,2907874000000.0
2025-04-26,MSFT,391.85,387.0,392.16,384.6,387.3,-7.5,18973165,7394805098.8921,389.75,0.26,7433982235,7433982000.0,2913006682182.97,2913005000000.0
2025-04-25,MSFT,387.3,375.7,388.45,375.19,374.39,1.948717948717949,21806075,8398490725.0805,385.14,0.29,7433982235,7433982000.0,2879181691314.61,2879181000000.0
2025-04-23,MSFT,366.82,363.38,367.77,359.86,359.12,-0.3797101449275362,19484993,7111365995.5858,364.97,0.26,7433982235,7433982000.0,2726933883821.46,2726933000000.0
2025-04-22,MSFT,359.12,362.82,364.48,355.67,367.78,-2.0981308411214954,20807278,7474460939.8324,359.22,0.28,7433982235,7433982000.0,2669692592311.07,2669692000000.0
2025-04-18,MSFT,367.78,373.75,374.32,366.89,371.61,-0.5617021276595744,21120192,7817889765.479,370.16,0.28,7433982235,7433982000.0,2734070209407.77,2734069000000.0
2025-04-17,MSFT,371.61,380.67,381.61,368.0,385.73,2.5533980582524274,21967825,8215575083.3585,373.98,0.3,7433982235,7433982000.0,2762542956086.4,2762542000000.0
2025-04-16,MSFT,385.73,388.5,391.89,384.16,387.81,-0.8524590163934427,17199891,6656618223.3497,387.02,0.23,7433982235,7433982000.0,2867509893166.73,2867509000000.0
2025-04-15,MSFT,387.81,393.22,394.65,384.21,388.45,-0.7037037037037037,19251172,7488978697.1072,389.01,0.26,7433982235,7433982000.0,2882973096594.28,2882972000000.0
2025-04-12,MSFT,388.45,380.64,390.05,378.89,381.35,-12.625,23839219,9210523275.1541,386.36,0.32,7433982235,7433982000.0,2887730101826.46,2887729000000.0
2025-04-11,MSFT,381.35,382.06,383.9,367.8,390.49,-2.258064516129032,38024368,14394488779.8454,378.56,0.51,7433982235,7433982000.0,2834949868715.47,2834949000000.0
2025-04-10,MSFT,390.49,353.53,393.23,353.1,354.56,-5.32905982905983,50199696,19002865006.1923,378.55,0.68,7433982235,7433982000.0,2902895722945.15,2902894000000.0
