dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,MSTR,378.1,385.8,386.12,375.66,387.43,8472192,3232310861.2838,381.52,3.03,259545636,279186000.0,92246177070.59,105560000000.0
2025-06-04,MSTR,387.43,379.4,391.01,371.37,372.27,11351758,4384170403.4106,386.21,4.07,259545636,279186000.0,94522405171.78,108164750000.0
2025-06-03,MSTR,372.27,367.89,378.43,367.02,369.06,8102774,3020500963.2161,372.77,2.9,259545636,279186000.0,90823795558.35,103932380000.0
2025-05-31,MSTR,369.06,369.0,372.56,359.16,370.63,12564028,4605618107.9298,366.57,4.5,259545636,279186000.0,90040652315.2,103036200000.0
2025-05-30,MSTR,370.63,370.78,373.86,362.74,364.25,10217575,3770754161.6925,369.05,3.66,259545636,279186000.0,90423648289.42,103474440000.0
2025-05-29,MSTR,364.25,368.53,370.65,358.5,372.2,9936836,3611651753.1858,363.46,3.56,259545636,279186000.0,88867128038.22,101693300000.0
2025-05-28,MSTR,372.2,381.12,381.3,364.18,369.51,14115977,5244943706.9016,371.56,5.16,253763053,273403000.0,88783562285.51,101760570000.0
2025-05-24,MSTR,369.51,391.51,392.19,367.31,399.46,21448766,8093825046.9369,377.36,7.85,253763053,273403000.0,88141908956.56,101025070000.0
2025-05-23,MSTR,399.46,413.2,426.32,398.91,402.69,16511372,6754578225.882,409.09,6.04,253763053,273403000.0,95286090646.18,109213500000.0
2025-05-22,MSTR,402.69,415.92,423.34,395.53,416.92,18698520,7658965960.8708,409.6,6.84,253763053,273403000.0,96056561256.95,110096600000.0
2025-05-21,MSTR,416.92,413.5,417.85,406.1,413.42,11532231,4759272391.9507,412.69,4.22,253763053,273403000.0,99450941835.75,113987100000.0
2025-05-20,MSTR,413.42,392.81,414.59,392.62,399.8,12821965,5232701615.3425,408.1,4.69,253763053,273403000.0,98616061391.38,113030100000.0
2025-05-17,MSTR,399.8,399.0,406.9,389.01,397.03,12461114,4975297522.3792,399.27,4.56,253763053,273403000.0,95367212400.9,109306500000.0
2025-05-16,MSTR,397.03,411.7,415.36,394.14,416.75,14674665,5899029108.5012,401.99,5.37,253763053,273403000.0,94706459392.75,108549100000.0
2025-05-15,MSTR,416.75,420.4,425.94,410.41,421.61,10722653,4483935553.4342,418.17,3.92,253763053,273403000.0,99410407197.49,113940600000.0
2025-05-14,MSTR,421.61,412.55,422.55,404.12,404.9,12924973,5362279839.5589,414.88,4.73,253763053,273403000.0,100569724567.91,115269400000.0
2025-05-13,MSTR,404.9,420.92,422.04,400.83,416.03,16245469,6638645924.974,408.65,5.94,253763053,273403000.0,96583719081.76,110700800000.0
2025-05-10,MSTR,416.03,420.0,430.35,406.22,414.38,17161817,7154496013.991,416.88,6.28,253763053,273403000.0,105573050552.48,113743800000.0
2025-05-09,MSTR,414.38,408.17,423.11,404.5,392.48,22135579,9173987122.0403,414.45,8.1,253763053,273403000.0,105154305988.2,113292600000.0
2025-05-08,MSTR,392.48,393.8,396.35,388.26,385.6,10607555,4163973015.0823,392.55,3.88,253763053,273403000.0,99596920503.81,107305100000.0
