dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,MU,103.25,102.38,103.91,101.7,102.25,14595879,1504064462.4888,103.05,1.31,1117571525,1117572000.0,109619796958.44,115389190000.0
2025-06-04,MU,102.25,98.36,102.93,96.96,98.18,22757622,2303451626.2636,101.22,2.04,1117571525,1117572000.0,108558104009.69,114271630000.0
2025-06-03,MU,98.18,94.58,99.24,94.4,94.46,16850336,1640007766.6234,97.33,1.51,1117571525,1117572000.0,104237006276.42,109723130000.0
2025-05-31,MU,94.46,96.04,96.61,92.22,96.8,23758200,2241567115.9236,94.35,2.13,1117571525,1117572000.0,100287523370.78,105565800000.0
2025-05-30,MU,96.8,98.59,99.63,96.11,96.18,14640051,1421221117.438,97.08,1.31,1117571525,1117572000.0,102771881685.77,108180880000.0
2025-05-29,MU,96.18,96.7,97.21,95.6,96.38,10500297,1012306280.4963,96.41,0.94,1117571525,1117572000.0,102113620378.92,107488000000.0
2025-05-28,MU,96.38,95.18,96.7,94.19,93.37,17612618,1691422468.232,96.03,1.58,1117571525,1117572000.0,102325971708.99,107711500000.0
2025-05-24,MU,93.37,92.26,93.84,90.93,94.83,16544977,1531914261.2744,92.59,1.48,1117571525,1117572000.0,99130266378.02,104347570000.0
2025-05-23,MU,94.83,95.41,97.22,94.37,95.84,13245250,1269758593.281,95.87,1.19,1117571525,1117572000.0,100680344453.35,105979300000.0
2025-05-22,MU,95.84,97.16,98.82,95.26,98.1,15764282,1530040286.8439,97.06,1.41,1117571525,1117572000.0,101752649023.12,107108000000.0
2025-05-21,MU,98.1,97.92,98.63,96.97,98.65,12331254,1207290288.3946,97.9,1.1,1117571525,1117572000.0,104152085704.23,109633700000.0
2025-05-20,MU,98.65,95.71,99.02,95.7,98.0,14380067,1407765476.6193,97.9,1.29,1117571525,1117572000.0,104736003024.03,110248400000.0
