dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,NFLX,1239.66,1220.74,1242.56,1219.88,1217.94,2359381,2914198643.7359,1235.15,0.55,425571266,425571000.0,474807308048.6,527563500000.0
2025-06-04,NFLX,1217.94,1219.87,1229.57,1211.18,1218.98,2363762,2880324837.6604,1218.53,0.56,425571266,425571000.0,466488240940.84,518320130000.0
2025-06-03,NFLX,1218.98,1201.2,1219.4,1196.25,1207.23,2294216,2781777278.2016,1212.52,0.54,425571266,425571000.0,466886575645.81,518762690000.0
2025-05-31,NFLX,1207.23,1198.33,1211.81,1180.93,1184.86,4696758,5639566883.5638,1200.74,1.1,425571266,425571000.0,462386159507.86,513762300000.0
2025-05-30,NFLX,1184.86,1208.0,1209.0,1176.28,1208.55,3303079,3920766994.3923,1187.0,0.78,425571266,425571000.0,453818209812.31,504242250000.0
2025-05-29,NFLX,1208.55,1210.27,1215.91,1206.02,1211.57,1855850,2246483783.63,1210.49,0.44,425571266,425571000.0,462891776473.28,514324100000.0
2025-05-28,NFLX,1211.57,1195.33,1211.77,1193.09,1185.39,2920469,3522614218.889,1206.18,0.69,425571266,425571000.0,464048479174.27,515609320000.0
2025-05-24,NFLX,1185.39,1184.0,1191.45,1179.44,1187.97,2186483,2595148261.0599,1186.91,0.51,425571266,425571000.0,454021092401.95,504467750000.0
2025-05-23,NFLX,1187.97,1192.4,1198.75,1187.21,1194.63,1861588,2219721602.5516,1192.38,0.44,425571266,425571000.0,455009307183.02,505565800000.0
2025-05-22,NFLX,1194.63,1186.5,1211.22,1186.5,1192.02,2976610,3570004049.703,1199.35,0.7,425571266,425571000.0,457560143050.01,508400100000.0
2025-05-21,NFLX,1192.02,1186.79,1193.0,1179.02,1191.64,2133066,2531855273.7894,1186.96,0.5,425571266,425571000.0,456560552749.0,507289300000.0
2025-05-20,NFLX,1191.64,1173.58,1191.64,1171.71,1191.53,2853415,3382698657.7895,1185.49,0.67,425571266,425571000.0,456414930773.2,507127600000.0
2025-05-17,NFLX,1191.53,1193.14,1196.5,1179.39,1177.98,4698352,5593496118.096,1190.52,1.1,425571266,425571000.0,456372875820.7,507080800000.0
2025-05-16,NFLX,1177.98,1147.74,1187.8,1147.65,1150.99,4464039,5232695179.3515,1172.19,1.05,425571266,425571000.0,451182995930.41,501314300000.0
2025-05-15,NFLX,1150.99,1129.6,1152.9,1128.4,1138.44,3910147,4485424640.2721,1147.12,0.92,425571266,425571000.0,440845444308.01,489828190000.0
2025-05-14,NFLX,1138.44,1114.46,1147.88,1106.3,1110.0,3997869,4541851838.6658,1136.07,0.94,425571266,425571000.0,436038616858.54,484487200000.0
2025-05-13,NFLX,1110.0,1124.26,1130.0,1102.93,1140.22,6479078,7206465297.7338,1112.27,1.52,425571266,425571000.0,425145694734.0,472384000000.0
2025-05-10,NFLX,1140.22,1147.1,1151.0,1133.22,1144.43,2569633,2933678560.3026,1141.67,0.6,425571266,425571000.0,460982625472.59,485244800000.0
2025-05-09,NFLX,1144.43,1161.62,1162.29,1139.2,1155.41,3760872,4318450984.8888,1148.26,0.88,425571266,425571000.0,462684697750.96,487036400000.0
2025-05-08,NFLX,1155.41,1139.18,1164.0,1138.0,1137.69,4352395,5020800134.461,1153.57,1.02,425571266,425571000.0,467123831626.61,491709100000.0
2025-05-07,NFLX,1137.69,1129.43,1147.66,1126.4,1134.06,3256682,3711231110.4726,1139.57,0.77,425571266,425571000.0,459959764934.76,484168000000.0
2025-05-06,NFLX,1134.06,1114.8,1144.02,1107.01,1156.49,5662317,6403968979.3551,1130.98,1.33,425571266,425571000.0,458492222853.23,482623250000.0
2025-05-03,NFLX,1156.49,1136.66,1159.44,1133.32,1133.47,3774282,4345610540.8962,1151.37,0.89,425571266,425571000.0,492168913416.34,492168750000.0
2025-05-02,NFLX,1133.47,1122.52,1142.42,1111.83,1131.72,3499497,3962040916.2768,1132.17,0.82,425571266,425571000.0,482372262873.02,482372130000.0
2025-05-01,NFLX,1131.72,1112.65,1133.2,1101.11,1125.64,4266676,4779989976.2052,1120.31,1.0,425571266,425571000.0,481627513157.52,481627400000.0
2025-04-30,NFLX,1125.64,1103.92,1127.81,1095.48,1110.38,3777329,4209083748.4264,1114.3,0.89,425571266,425571000.0,479039997303.11,479039900000.0
2025-04-29,NFLX,1110.38,1100.0,1114.0,1082.62,1101.53,3823025,4205315648.6225,1100.0,0.9,425571266,425571000.0,472545779783.95,472545690000.0
2025-04-26,NFLX,1101.53,1097.04,1106.8,1091.0,1096.87,3950008,4340723436.3208,1098.92,0.93,425571266,425571000.0,468779559194.11,468779400000.0
2025-04-25,NFLX,1096.87,1048.0,1101.0,1047.02,1049.59,6341606,6885519839.1746,1085.77,1.49,425571266,425571000.0,466796439651.67,466796300000.0
2025-04-24,NFLX,1049.59,1047.23,1061.25,1032.0,1040.34,6102660,6400665703.386,1048.83,,425571266,,446675387638.07,
2025-04-23,NFLX,1040.34,1005.3,1064.97,1004.52,987.91,9368871,9786152082.3561,1044.54,2.2,425571266,425571000.0,442738853427.57,442738800000.0
2025-04-22,NFLX,987.91,984.4,1019.0,973.05,973.03,9775746,9687580599.7327,990.98,2.3,425571266,425571000.0,420426075348.36,420425940000.0
2025-04-18,NFLX,973.03,969.0,984.7,956.0,961.63,8893734,8648227008.7343,972.4,2.08,427757100,427757000.0,416220503845.71,416220400000.0
2025-04-17,NFLX,961.63,976.28,981.21,949.17,976.28,6066113,5864340736.1714,966.74,1.42,427757100,427757000.0,411344013019.72,411343900000.0
2025-04-16,NFLX,976.28,950.0,993.45,948.0,931.28,7711981,7549615188.5005,978.95,1.8,427757100,427757000.0,417610714420.71,417610700000.0
2025-04-15,NFLX,931.28,932.7,948.98,919.5,918.29,4035895,3762784330.6331,932.33,0.94,427757100,427757000.0,398361644920.71,398361600000.0
2025-04-12,NFLX,918.29,920.0,944.86,906.68,921.17,4073638,3752566521.8542,921.18,0.95,427757100,427757000.0,392805084469.28,392805100000.0
2025-04-11,NFLX,921.17,931.94,941.24,894.0,945.47,5129754,4729862385.4087,922.04,1.2,427757100,427757000.0,394036977864.0,394036900000.0
2025-04-10,NFLX,945.47,855.93,951.43,854.4,870.4,7497973,6845960589.8592,913.04,1.75,427757100,427757000.0,404431496781.86,404431500000.0
