dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,NVDA,141.92,142.19,142.39,139.55,141.22,167120820,23608073627.2782,141.26,0.68,24400000000,24400000000.0,3462848000000.0,3462847000000.0
2025-06-04,NVDA,141.22,138.78,142.0,137.95,137.38,225578820,31793983461.8682,140.94,0.92,24400000000,24400000000.0,3445768244000.0,3445767000000.0
2025-06-03,NVDA,137.38,135.49,138.12,135.4,135.13,197663130,27090858646.341,137.06,0.81,24400000000,24400000000.0,3352072244000.0,3352072000000.0
2025-05-31,NVDA,135.13,138.72,139.62,132.92,139.19,333170880,45126929549.184,135.45,1.37,24400000000,24400000000.0,3297172244000.0,3297171000000.0
2025-05-30,NVDA,139.19,142.25,143.49,137.91,134.81,370615190,52099230334.25,140.58,1.52,24400000000,24400000000.0,3396236244000.0,3396235000000.0
2025-05-29,NVDA,134.81,136.03,137.25,134.79,135.5,304021130,41309178100.0913,135.88,1.25,24400000000,24387550000.0,3289364000000.0,3287686000000.0
2025-05-28,NVDA,135.5,134.15,135.66,133.31,131.29,192953630,26050206497.588,135.01,0.79,24387557065,24387550000.0,3304513982307.5,3304513000000.0
2025-05-24,NVDA,131.29,130.0,132.68,129.16,132.83,198821320,26077048441.0372,131.16,0.82,24387557065,24387550000.0,3201842367063.85,3201841000000.0
2025-05-23,NVDA,132.83,132.23,134.25,131.55,131.8,187343940,24947824379.646,133.17,0.77,24387557065,24387550000.0,3239399448819.52,3239398000000.0
2025-05-22,NVDA,131.8,133.06,137.4,130.59,134.38,270608750,36256920735.5875,133.98,1.11,24387557065,24387550000.0,3214280265042.57,3214279000000.0
2025-05-21,NVDA,134.38,134.29,134.58,132.62,135.57,161514250,21604727531.3,133.76,0.66,24387557065,24387550000.0,3277200162270.27,3277199000000.0
2025-05-20,NVDA,135.57,132.39,135.87,132.39,135.4,193154570,26057326042.8257,134.9,0.79,24387557065,24387550000.0,3306221355177.62,3306221000000.0
2025-05-17,NVDA,135.4,136.22,136.35,133.46,134.83,226542440,30639074376.8844,135.25,0.93,24387557065,24387550000.0,3302075226601.0,3302074000000.0
2025-05-16,NVDA,134.83,134.3,136.3,132.66,135.34,226632570,30489924418.2477,134.53,0.93,24387557065,24387550000.0,3288174562949.52,3288173000000.0
2025-05-15,NVDA,135.34,133.2,135.44,131.68,129.93,281180820,37709834604.168,134.11,1.15,24387557065,24387550000.0,3300611973177.1,3300611000000.0
2025-05-14,NVDA,129.93,124.98,131.22,124.47,123.0,330430130,42731723361.0963,129.32,1.35,24400000000,24400000000.0,3170292000000.0,3170291000000.0
2025-05-13,NVDA,123.0,121.97,123.0,120.28,116.65,225023380,27474274585.776,122.1,0.92,24400000000,24400000000.0,3001200000000.0,3001199000000.0
2025-05-10,NVDA,116.65,117.35,118.23,115.21,117.37,132972190,15516245609.501,116.69,0.54,24400000000,24400000000.0,2846260000000.0,2846259000000.0
2025-05-09,NVDA,117.37,118.25,118.68,115.85,117.06,198428130,23324889353.679,117.55,0.81,24400000000,24400000000.0,2863828000000.0,2863827000000.0
2025-05-08,NVDA,117.06,113.05,117.68,112.28,113.54,207827820,23820580462.158,114.62,0.85,24400000000,24400000000.0,2856264000000.0,2856263000000.0
2025-05-07,NVDA,113.54,111.48,114.74,110.82,113.82,158525630,17901223006.8723,112.92,0.65,24400000000,24400000000.0,2770376000000.0,2770375000000.0
2025-05-06,NVDA,113.82,112.91,114.67,112.66,114.5,133163250,15158625247.425,113.83,0.55,24400000000,24400000000.0,2777208244000.0,2777207000000.0
2025-05-03,NVDA,114.5,114.18,115.4,113.37,111.61,190194750,21763207345.9725,114.43,0.78,24400000000,24400000000.0,2793800000000.0,2793799000000.0
2025-05-02,NVDA,111.61,113.08,114.94,111.3,108.92,236121500,26720902056.85,113.17,0.97,24400000000,24400000000.0,2723284244000.0,2723283000000.0
2025-05-01,NVDA,108.92,104.47,108.92,104.08,109.02,235044630,25095341424.1383,106.77,0.96,24400000000,24400000000.0,2657648000000.0,2657647000000.0
2025-04-30,NVDA,109.02,107.67,110.2,107.44,108.73,170444250,18582190067.925,109.02,0.7,24400000000,24400000000.0,2660088244000.0,2660087000000.0
2025-04-29,NVDA,108.73,109.69,110.37,106.02,111.01,206087630,22243326428.582,107.93,0.84,24400000000,24400000000.0,2653012000000.0,2653011000000.0
2025-04-26,NVDA,111.01,106.85,111.92,105.73,106.43,251064690,27511068685.5909,109.58,1.03,24400000000,24400000000.0,2708644000000.0,2708643000000.0
2025-04-25,NVDA,106.43,103.48,106.54,103.11,102.71,217187820,22926780654.84,105.56,0.89,24400000000,24400000000.0,2596892000000.0,2596891000000.0
2025-04-24,NVDA,102.71,104.52,104.8,102.02,98.89,244987190,25349537462.0229,103.47,,24400000000,,2506124244000.0,
2025-04-23,NVDA,98.89,98.78,99.81,97.28,96.91,241004820,23780066573.8196,98.67,0.99,24400000000,24400000000.0,2412916000000.0,2412915000000.0
2025-04-22,NVDA,96.91,98.77,99.44,95.04,101.49,288501130,27807730144.1993,96.39,1.18,24400000000,24400000000.0,2364604097600.0,2364603000000.0
2025-04-18,NVDA,101.49,104.45,104.47,100.05,104.49,292517440,29700878202.5504,101.54,1.2,24400000000,24400000000.0,2476356244000.0,2476355000000.0
2025-04-17,NVDA,104.49,104.55,106.79,100.45,112.2,397016880,41191374737.136,103.75,1.63,24400000000,24400000000.0,2549556244000.0,2549555000000.0
2025-04-16,NVDA,112.2,110.97,113.62,110.5,110.71,228966880,25683285909.3328,112.17,0.94,24400000000,24400000000.0,2737680000000.0,2737679000000.0
2025-04-15,NVDA,110.71,114.11,114.29,109.07,110.93,264705070,29508844734.474,111.48,1.08,24400000000,24400000000.0,2701324244000.0,2701323000000.0
2025-04-12,NVDA,110.93,108.5,111.55,107.48,107.57,313417250,34419172111.9225,109.82,1.28,24400000000,24400000000.0,2706692000000.0,2706691000000.0
2025-04-11,NVDA,107.57,109.37,110.86,99.15,114.33,437812380,47072496944.7738,107.52,1.79,24400000000,24400000000.0,2624708244000.0,2624707000000.0
2025-04-10,NVDA,114.33,98.89,115.1,97.53,96.3,612918320,65541991506.376,106.93,2.51,24400000000,24400000000.0,2789652244000.0,2789651000000.0
