dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,NXPI,210.02,202.26,211.09,201.28,198.96,3857209,803437772.948,208.3,1.53,252628698,252629000.0,44567948611.41,53057043000.0
2025-06-04,NXPI,198.96,192.21,199.72,190.33,192.81,2866905,567847902.0191,198.07,1.13,252628698,252629000.0,42220926955.51,50262958000.0
2025-06-03,NXPI,192.81,190.36,193.66,189.8,191.13,1734298,332997182.6562,192.01,0.69,252628698,252629000.0,40915844979.56,48709301000.0
2025-05-31,NXPI,191.13,194.66,195.05,188.18,195.89,4292684,820257691.8936,191.08,1.7,252628698,252629000.0,40559337483.02,48284880000.0
2025-05-30,NXPI,195.89,200.0,200.32,194.6,196.21,1851499,363338552.5748,196.24,0.73,252628698,252629000.0,41569445947.02,49487418000.0
2025-05-29,NXPI,196.21,199.05,200.27,195.78,198.9,2240446,442362866.4731,197.44,0.89,252628698,252629000.0,41637354663.13,49568230000.0
2025-05-28,NXPI,198.9,195.3,200.45,193.78,192.15,3935348,779917892.0796,198.18,1.56,252628698,252629000.0,42208192347.05,50247801000.0
2025-05-24,NXPI,192.15,189.92,194.1,189.32,196.51,3674264,706307810.4104,192.23,1.45,252628698,252629000.0,40775787629.39,48542555000.0
2025-05-23,NXPI,196.51,209.7,211.0,196.26,205.35,5012590,1002275390.644,199.95,1.98,252628698,252629000.0,41701014972.94,49644050000.0
2025-05-22,NXPI,205.35,207.36,213.36,204.38,210.08,3018041,625845126.088,207.37,1.19,252628698,252629000.0,43576936754.89,51877270000.0
2025-05-21,NXPI,210.08,207.68,210.95,207.68,210.36,1672113,350866159.242,209.83,0.66,252628698,252629000.0,44580681097.79,53072200000.0
2025-05-20,NXPI,210.36,206.68,211.44,205.52,212.56,2108884,442703888.5972,209.92,0.83,252628698,252629000.0,44640099367.56,53142940000.0
2025-05-17,NXPI,212.56,210.95,212.99,209.12,210.73,2094117,443275587.5034,211.68,0.83,252628698,252629000.0,45106955079.38,53698720000.0
2025-05-16,NXPI,210.73,209.71,211.67,208.67,211.33,1999604,420476129.2388,210.28,0.79,252628698,252629000.0,44718614244.81,53236410000.0
