dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,ODFL,161.49,162.37,163.19,160.01,162.75,1318195,213044566.788,161.62,0.62,211325394,211325000.0,28325360191.96,34126942000.0
2025-06-04,ODFL,162.75,159.34,163.24,158.01,159.73,1367691,222302867.5877,162.26,0.65,211325394,211325000.0,28595474556.57,34452383000.0
2025-06-03,ODFL,160.0,161.95,161.96,157.26,160.17,1563520,249370808.064,159.49,0.74,211325394,211325000.0,28064012323.2,33812071000.0
2025-05-31,ODFL,160.17,161.85,162.45,158.96,162.01,2898004,464743656.8472,160.37,1.37,211325394,211325000.0,28093830336.29,33847990000.0
2025-05-30,ODFL,162.01,163.92,164.08,160.91,162.43,1301848,211158053.1976,162.2,0.62,211325394,211325000.0,28416566478.01,34236833000.0
2025-05-29,ODFL,162.43,165.0,165.13,162.16,164.21,1015774,165855487.3003,163.28,0.48,211325394,211325000.0,28490234510.36,34325590000.0
2025-05-28,ODFL,164.21,164.71,164.71,161.07,161.56,2223405,364384284.8085,163.89,1.05,211325394,211325000.0,28802448401.45,34701747000.0
2025-05-24,ODFL,161.56,159.67,162.65,158.57,163.6,896068,144838648.3447,161.64,0.42,211325394,211325000.0,28337636443.35,34141735000.0
2025-05-23,ODFL,163.6,164.14,164.56,162.34,164.19,1264386,206856457.6878,163.6,0.6,211325394,211325000.0,28695454354.47,34572840000.0
2025-05-22,ODFL,164.19,166.94,168.65,164.16,169.6,2048843,339313622.0573,165.61,0.97,211325394,211325000.0,28798940399.91,34697520000.0
2025-05-21,ODFL,169.6,170.4,171.72,168.81,171.61,1886569,321058406.5116,170.18,0.89,211325394,211325000.0,29747854816.59,35840790000.0
2025-05-20,ODFL,171.61,168.99,172.39,167.84,171.28,2107141,360524450.1065,171.1,1.0,211325394,211325000.0,30100408971.4,36265550000.0
2025-05-17,ODFL,171.28,171.19,171.54,168.95,169.93,1098425,187867472.2375,171.03,0.52,211325394,211325000.0,30042525191.99,36195820000.0
2025-05-16,ODFL,169.93,170.55,171.33,168.8,171.65,1652468,281164951.498,170.15,0.78,211325394,211325000.0,29805735088.01,35910530000.0
2025-05-15,ODFL,171.65,170.47,172.0,168.37,171.34,1470379,251161774.3235,170.81,0.7,211325394,211325000.0,29744683181.68,36274008000.0
2025-05-14,ODFL,171.34,175.96,176.37,171.24,176.07,1841039,318156411.6369,172.81,0.87,211325394,211325000.0,29690964266.53,36208500000.0
2025-05-13,ODFL,176.07,169.86,176.85,168.0,158.28,3596790,628815681.6189,174.83,1.7,211325394,211325000.0,30510612672.56,37208070000.0
2025-05-10,ODFL,158.28,159.75,160.29,157.34,160.12,1058013,167628194.0784,158.44,0.5,211325394,211325000.0,27427838357.1,33448586000.0
2025-05-09,ODFL,160.12,156.1,161.43,155.54,155.59,1733883,276888977.919,159.69,0.82,211325394,211325000.0,27746686111.57,33837430000.0
2025-05-08,ODFL,155.59,153.96,156.5,153.96,153.35,1173939,182408285.3346,155.38,0.56,211325394,211325000.0,26961696803.02,32880120000.0
2025-05-07,ODFL,153.35,154.0,155.64,152.52,156.23,1012344,155454835.9992,153.56,0.48,212147030,212147000.0,26676854321.02,32532747000.0
2025-05-06,ODFL,156.23,156.89,158.73,156.06,158.01,1272152,199842866.5408,157.09,0.6,212147030,212147000.0,27177859007.46,33143727000.0
2025-05-03,ODFL,158.01,153.0,160.82,152.25,150.56,2628116,415181618.5204,157.98,1.24,212147030,212147000.0,27487508812.45,33521352000.0
2025-05-02,ODFL,150.56,152.86,154.19,149.61,153.28,2153662,325420912.5944,151.1,1.02,212147030,212147000.0,26191502606.18,31940856000.0
2025-05-01,ODFL,153.28,149.15,153.66,146.37,149.65,2958826,446650496.0661,150.96,1.39,212147030,212147000.0,26664675341.89,32517890000.0
2025-04-30,ODFL,149.65,147.96,150.04,146.57,149.0,2026262,301984159.7962,149.04,0.96,212147030,212147000.0,26033198492.39,31747801000.0
2025-04-29,ODFL,149.0,147.01,149.53,145.79,146.74,2698425,399032861.9692,147.88,1.27,212147030,212147000.0,25920124125.4,31609907000.0
2025-04-26,ODFL,146.74,149.28,151.52,144.9,158.9,4094902,605587317.4152,147.89,1.93,212147030,212147000.0,25526974989.01,31130458000.0
2025-04-25,ODFL,158.9,151.66,159.18,150.9,153.23,1834568,288712772.4073,157.37,0.86,212147030,212147000.0,27642333714.94,33710161000.0
2025-04-24,ODFL,153.23,159.12,167.89,151.6,152.07,3069477,479008491.7206,156.06,,212147030,,26655977313.66,
2025-04-23,ODFL,152.07,150.28,153.17,148.64,149.87,1840270,278348934.688,151.25,0.87,212147030,212147000.0,26454184798.33,32261200000.0
2025-04-22,ODFL,149.87,151.47,152.74,147.05,153.75,1791328,266948714.2784,149.02,0.84,212545079,212545000.0,26120387411.58,31854133000.0
2025-04-18,ODFL,153.75,149.39,154.83,149.05,147.85,1456548,222956569.8012,153.07,0.69,212545079,212545000.0,26796620834.93,32678810000.0
2025-04-17,ODFL,147.85,151.07,151.89,145.9,152.85,1927977,286079801.6616,148.38,0.91,212545079,212545000.0,25768329485.59,31424790000.0
2025-04-16,ODFL,152.85,155.3,156.48,151.47,155.11,1001757,153455859.0495,153.19,0.47,212545079,212545000.0,26639764309.49,32487520000.0
2025-04-15,ODFL,155.11,154.28,155.85,151.95,152.23,1189184,183725848.0134,154.5,0.56,212545079,212545000.0,27033652849.9,32967870000.0
2025-04-12,ODFL,152.23,154.82,154.82,146.14,156.75,2640983,397956285.6665,150.68,1.24,212545079,212545000.0,26531704648.46,32355740000.0
2025-04-11,ODFL,156.75,161.96,161.96,152.23,165.49,2180919,341128249.1023,156.41,1.03,212545079,212545000.0,27319481729.27,33316450000.0
2025-04-10,ODFL,165.49,146.84,166.21,145.79,148.34,3158556,503224932.1872,159.32,1.49,212545079,212545000.0,28842751544.31,35174090000.0
2025-04-09,ODFL,148.34,157.41,157.45,146.32,151.41,1878193,283708001.9641,151.05,0.88,212545079,212545000.0,25853728355.47,31528942000.0
2025-04-08,ODFL,151.41,152.27,159.86,145.96,152.06,2779554,421492124.4708,151.64,1.31,212545079,212545000.0,26388791080.21,32181450000.0
2025-04-05,ODFL,152.06,153.17,155.78,147.06,155.75,3326641,507393922.5404,152.52,1.57,212545079,212545000.0,26502075864.45,32319606000.0
2025-04-04,ODFL,155.75,162.53,165.62,153.02,170.1,2683791,421340989.7456,156.99,1.26,212545079,212545000.0,27145194764.48,33103899000.0
2025-04-03,ODFL,170.1,164.66,170.58,164.47,167.09,905220,153003995.802,169.02,0.43,212545079,212545000.0,29646214451.95,36153922000.0
2025-04-02,ODFL,167.09,163.67,168.0,163.02,165.45,1219403,202752941.4369,166.27,0.57,212545079,212545000.0,29121608945.09,35514160000.0
2025-04-01,ODFL,165.45,162.05,166.62,162.05,164.85,1608374,265508305.1175,165.08,0.76,212545079,212545000.0,28835778322.85,35165590000.0
2025-03-29,ODFL,164.85,169.61,169.93,164.72,170.23,1285993,213320647.4393,165.88,0.61,212545079,212545000.0,28731207886.85,35038059000.0
2025-03-28,ODFL,170.23,168.77,171.54,168.36,168.67,1260170,214677281.0877,170.36,0.59,212545079,212545000.0,29668870014.5,36181550000.0
2025-03-27,ODFL,168.67,167.55,169.48,166.92,167.6,1423180,239772399.5018,168.48,0.67,212545079,212545000.0,29396982349.44,35849980000.0
2025-03-26,ODFL,167.6,170.12,170.72,167.09,170.05,1478539,248838424.1932,168.3,0.7,212545079,212545000.0,29210497040.0,35622559000.0
2025-03-25,ODFL,170.05,167.61,170.66,167.48,165.22,1302572,220405993.7476,169.21,0.61,212545079,212545000.0,29637500103.71,36143293000.0
2025-03-22,ODFL,165.22,158.31,165.37,157.67,161.13,3630657,595322458.947,163.97,1.71,212545079,212545000.0,28795694063.82,35116700000.0
2025-03-21,ODFL,161.13,160.91,163.41,160.37,162.44,1585686,256051342.5162,161.48,0.75,212545079,212545000.0,28082860377.87,34247390000.0
