dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,ON,50.28,48.34,51.1,47.72,47.37,28183458,1408231544.3193,49.97,6.74,417885346,417885000.0,16598907075.41,21011266000.0
2025-06-04,ON,47.37,42.51,47.56,41.88,42.54,24131360,1111364837.8712,46.05,5.77,417885346,417885000.0,15638229463.1,19795223000.0
2025-06-03,ON,42.54,41.82,42.83,41.49,42.02,6894313,291261269.7972,42.25,1.65,417885346,417885000.0,14043703688.11,17776833000.0
2025-05-31,ON,42.02,42.67,42.83,41.63,42.94,10185176,429401937.7572,42.16,2.44,417885346,417885000.0,13872040019.39,17559540000.0
2025-05-30,ON,42.94,43.73,44.11,42.61,42.85,4847473,208763245.1395,43.07,1.16,417885346,417885000.0,14175758428.61,17943993000.0
2025-05-29,ON,42.85,43.52,43.78,42.66,43.4,5674473,244989158.2271,43.17,1.36,417885346,417885000.0,14144395803.26,17904290000.0
2025-05-28,ON,43.4,42.36,43.87,41.77,41.27,9662996,418565233.6348,43.32,2.31,417885346,417885000.0,14327614992.18,18136215000.0
2025-05-24,ON,41.27,40.66,41.52,40.62,42.29,9857317,406000205.5436,41.19,2.36,417885346,417885000.0,13624442951.89,17246125000.0
2025-05-23,ON,42.29,44.5,44.58,42.03,43.66,12463235,532397094.4949,42.72,2.98,417885346,417885000.0,13961171332.27,17672360000.0
2025-05-22,ON,43.66,44.26,45.48,43.32,44.26,8596184,380156850.3671,44.22,2.06,417885346,417885000.0,14413451943.54,18244870000.0
2025-05-21,ON,44.26,43.47,44.29,43.4,43.84,5360863,235867260.9957,44.0,1.28,417885346,417885000.0,14611526626.38,18495600000.0
2025-05-20,ON,43.84,43.55,44.19,43.51,44.92,5974020,261709862.186,43.81,1.43,417885346,417885000.0,14472872928.84,18320090000.0
2025-05-17,ON,44.92,44.51,44.96,43.93,44.52,5477992,244496521.7639,44.63,1.31,417885346,417885000.0,14829413366.3,18771400000.0
