dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,ORLY,1366.59,1372.07,1378.58,1347.51,1372.07,306301,418800824.0452,1367.29,0.54,56989455,56989000.0,77881225007.4,77881125000.0
2025-06-04,ORLY,1372.07,1364.5,1378.09,1352.5,1370.68,464085,634297269.816,1366.77,0.81,56989455,56989000.0,78193527220.8,78193500000.0
2025-06-03,ORLY,1370.68,1357.15,1373.51,1351.75,1367.5,584266,798628053.8592,1366.89,1.03,56989455,56989000.0,78114306179.4,78114250000.0
2025-05-31,ORLY,1367.5,1355.16,1372.94,1352.91,1352.06,719290,982486267.048,1365.91,1.26,56989455,56989000.0,77933079712.5,77933000000.0
2025-05-30,ORLY,1352.06,1356.18,1360.73,1343.98,1357.56,300209,405638798.292,1351.19,0.53,56989455,56989000.0,77053168226.25,77053125000.0
2025-05-29,ORLY,1357.56,1361.0,1373.78,1356.4,1361.38,291486,397053746.9574,1362.17,0.51,56989455,56989000.0,77366610228.75,77366560000.0
2025-05-28,ORLY,1361.38,1375.0,1389.09,1356.02,1374.37,438046,598036212.6606,1365.24,0.77,56989455,56989000.0,77584298548.95,77584250000.0
2025-05-24,ORLY,1374.37,1360.87,1381.56,1358.62,1364.79,287391,394837557.0399,1373.87,0.5,56989455,56989000.0,78324608666.24,78324563000.0
2025-05-23,ORLY,1364.79,1379.49,1382.65,1356.49,1370.49,305583,417445263.0294,1366.06,0.54,56989455,56989000.0,77778643988.4,77778560000.0
2025-05-22,ORLY,1370.49,1375.6,1389.22,1364.87,1386.22,240109,329406881.7104,1371.91,0.42,56989455,56989000.0,78103478182.95,78103440000.0
2025-05-21,ORLY,1386.22,1384.99,1398.58,1384.7,1393.9,254001,352728775.6905,1388.69,0.45,56989455,56989000.0,78999922310.1,78999880000.0
2025-05-20,ORLY,1393.9,1379.0,1396.79,1378.78,1381.66,310212,431853229.0548,1392.12,0.54,56989455,56989000.0,79437601324.5,79437560000.0
2025-05-17,ORLY,1381.66,1373.18,1382.44,1365.04,1370.13,322490,444138968.322,1377.22,0.57,56989455,56989000.0,78740050395.3,78740000000.0
2025-05-16,ORLY,1370.13,1328.85,1370.13,1328.85,1325.73,446625,607548811.05,1360.31,0.78,56989455,56989000.0,78082956280.2,78082880000.0
2025-05-15,ORLY,1325.73,1312.0,1331.63,1312.0,1320.8,423263,560811115.7204,1324.97,0.74,56989455,56989000.0,75552630177.15,75552560000.0
2025-05-14,ORLY,1320.8,1343.72,1344.77,1315.41,1339.61,695784,922049547.4584,1325.2,1.22,56989455,56989000.0,75271677862.95,75271630000.0
2025-05-13,ORLY,1339.61,1373.48,1373.48,1308.41,1359.34,573782,764610474.9382,1332.58,1.01,56989455,56989000.0,76343655210.44,76343560000.0
2025-05-10,ORLY,1359.34,1360.22,1365.02,1347.6,1360.15,271962,369127332.3348,1357.28,0.48,57113515,57114000.0,77636691191.45,77636690000.0
2025-05-09,ORLY,1360.15,1380.0,1385.48,1358.21,1378.09,297472,406601744.9984,1366.86,0.52,57113515,57114000.0,77682947427.25,77682880000.0
2025-05-08,ORLY,1378.09,1386.27,1395.82,1374.56,1386.64,338377,467731522.6961,1382.28,0.59,57113515,57114000.0,78707569597.7,78707500000.0
2025-05-07,ORLY,1386.64,1385.05,1392.08,1379.93,1387.14,378690,524891529.942,1386.07,0.66,57113515,57114000.0,79195878728.25,79195810000.0
2025-05-06,ORLY,1387.14,1400.76,1404.21,1385.04,1406.36,335576,466986890.448,1391.6,0.59,57113515,57114000.0,79224435485.75,79224375000.0
2025-05-03,ORLY,1406.36,1423.39,1438.27,1402.51,1407.68,285442,402773447.8956,1411.05,0.5,57113515,57114000.0,80322174378.1,80322125000.0
2025-05-02,ORLY,1407.68,1405.0,1413.85,1387.1,1415.2,351403,494271687.7995,1406.57,0.62,57113515,57114000.0,80397552795.2,80397500000.0
2025-05-01,ORLY,1415.2,1395.67,1417.51,1384.0,1399.23,418675,589492683.4325,1408.0,0.73,57113515,57114000.0,80827046428.0,80827000000.0
2025-04-30,ORLY,1399.23,1362.22,1402.44,1362.22,1370.16,404987,562858505.8569,1389.82,0.71,57113515,57114000.0,79914943593.45,79914880000.0
2025-04-29,ORLY,1370.16,1352.48,1373.18,1352.48,1347.0,492815,673545439.202,1366.73,0.86,57113515,57114000.0,78254653712.4,78254625000.0
2025-04-26,ORLY,1347.0,1350.95,1359.44,1328.71,1352.17,532206,712816918.3368,1339.36,0.93,57113515,57114000.0,76931904705.0,76931880000.0
2025-04-25,ORLY,1352.17,1358.88,1365.53,1333.14,1380.5,1108240,1491666215.424,1345.98,1.94,57113515,57114000.0,77227181577.55,77227130000.0
2025-04-24,ORLY,1380.5,1401.08,1405.9,1371.98,1393.54,571459,790875026.1384,1383.96,,57240513,,79020528196.5,
2025-04-23,ORLY,1393.54,1377.03,1397.66,1374.11,1368.5,399996,556370916.2352,1390.94,0.7,57240513,57241000.0,79766950210.07,79766938000.0
2025-04-22,ORLY,1368.5,1392.0,1396.81,1347.52,1390.9,319466,436301361.0928,1365.72,0.56,57240513,57241000.0,78333642040.5,78333563000.0
2025-04-18,ORLY,1390.9,1378.52,1398.77,1370.68,1364.36,429000,595579069.8,1388.3,0.75,57240513,57241000.0,79615829531.7,79615750000.0
2025-04-17,ORLY,1364.36,1402.79,1408.55,1361.6,1397.93,397041,545181920.4084,1373.11,0.69,57240513,57241000.0,78096677764.78,78096630000.0
2025-04-16,ORLY,1397.93,1418.27,1428.71,1392.0,1414.2,362243,509370023.0108,1406.16,0.63,57240513,57241000.0,80018230338.09,80018130000.0
2025-04-15,ORLY,1414.2,1396.8,1421.35,1394.05,1389.79,447286,630894845.4844,1410.5,0.78,57240513,57241000.0,80949533484.6,80949440000.0
2025-04-12,ORLY,1389.79,1373.36,1394.38,1357.4,1373.36,374726,517566342.5086,1381.19,0.65,57240513,57241000.0,79552298286.32,79552250000.0
2025-04-11,ORLY,1373.36,1341.11,1392.97,1331.07,1348.45,710796,971602263.4344,1366.92,1.24,57240513,57241000.0,78611842381.78,78611810000.0
2025-04-10,ORLY,1348.45,1307.31,1397.65,1306.77,1315.2,934557,1255593123.5133,1343.52,1.63,57240513,57241000.0,77185969754.85,77185880000.0
