dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,PANW,194.07,195.22,197.25,193.47,197.12,3360595,655167184.2474,194.96,0.5,666800000,666800000.0,122935588534.6,129405820000.0
2025-06-04,PANW,197.12,195.0,198.45,194.88,194.86,4820895,949239528.4845,196.9,0.72,666800000,666800000.0,124867635200.0,131439570000.0
2025-06-03,PANW,194.86,192.14,195.29,191.48,192.42,4411539,854764400.3689,193.76,0.66,666800000,666800000.0,123436021934.6,129932570000.0
2025-05-31,PANW,192.42,187.02,192.73,186.73,185.82,11419739,2184994619.5911,191.33,1.71,666800000,666800000.0,121890373200.0,128305600000.0
2025-05-30,PANW,185.82,189.0,189.15,182.89,187.8,4499555,832431623.6205,185.0,0.67,666800000,666800000.0,117709543534.6,123904750000.0
2025-05-29,PANW,187.8,187.76,189.84,187.47,187.46,3869008,729154833.9733,188.46,0.58,666800000,666800000.0,118963794334.6,125225000000.0
2025-05-28,PANW,187.46,188.67,189.1,186.53,186.75,5331676,1000269922.8332,187.61,0.8,666800000,666800000.0,118748417934.6,124998320000.0
2025-05-24,PANW,186.75,183.61,187.65,183.22,186.14,4902867,912211303.5876,186.06,0.74,666800000,666800000.0,118298655000.0,124524820000.0
2025-05-23,PANW,186.14,183.01,187.65,182.46,181.26,7613395,1414192004.0814,185.75,1.14,666800000,666800000.0,117912244400.0,124118100000.0
2025-05-22,PANW,181.26,184.76,185.3,178.64,194.48,19049688,3467868257.9873,182.04,2.86,666800000,666800000.0,114820959600.0,120864100000.0
2025-05-21,PANW,194.48,194.64,194.93,192.66,194.3,9533438,1847205620.2866,193.76,1.44,662100000,662100000.0,122326947600.0,128765100000.0
2025-05-20,PANW,194.3,190.49,194.4,190.17,192.98,4419516,853723253.3344,193.17,0.67,662100000,662100000.0,122213734789.95,128646000000.0
2025-05-17,PANW,192.98,191.05,193.79,190.91,192.9,4210926,811871206.9279,192.8,0.64,662100000,662100000.0,121383455100.0,127772000000.0
2025-05-16,PANW,192.9,189.79,194.19,189.59,190.9,5460098,1052883801.5752,192.83,0.82,662100000,662100000.0,121333135500.0,127719000000.0
2025-05-15,PANW,190.9,191.83,192.2,189.43,192.0,5445820,1038713433.3962,190.74,0.82,662100000,662100000.0,120075145500.0,126394820000.0
2025-05-14,PANW,192.0,192.73,195.42,191.88,193.5,5556527,1074358385.0189,193.35,0.84,662100000,662100000.0,120767040000.0,127123100000.0
2025-05-13,PANW,193.5,191.62,193.67,189.52,186.93,4580844,879591264.5528,192.02,0.69,662100000,662100000.0,121710532500.0,128116300000.0
2025-05-10,PANW,186.93,188.76,189.79,184.64,188.53,3211041,599923959.806,186.83,0.48,662100000,662100000.0,117578035350.0,123766300000.0
2025-05-09,PANW,188.53,187.69,188.98,184.35,188.14,3677239,689989403.7581,187.64,0.56,662100000,662100000.0,118584427350.0,124825600000.0
2025-05-08,PANW,188.14,188.8,189.31,186.35,188.69,3713849,698256720.0407,188.01,0.56,662100000,662100000.0,118339119300.0,124567400000.0
2025-05-07,PANW,188.69,186.8,190.27,186.02,188.13,3031903,571984266.8456,188.66,0.46,662100000,662100000.0,118685072839.95,124931600000.0
2025-05-06,PANW,188.13,186.0,190.98,185.47,187.7,3804317,719228574.3203,189.06,0.57,662100000,662100000.0,118332835639.95,124560880000.0
2025-05-03,PANW,187.7,190.0,191.7,187.27,186.27,3842206,725029689.7105,188.7,0.58,662100000,662100000.0,118062361500.0,124276130000.0
2025-05-02,PANW,186.27,188.64,189.16,186.03,186.93,4627145,867359764.665,187.45,0.7,662100000,662100000.0,117162904939.95,123329320000.0
2025-05-01,PANW,186.93,184.98,187.63,182.37,186.65,6163156,1145647559.4256,185.89,0.93,662100000,662100000.0,117578035350.0,123766300000.0
2025-04-30,PANW,186.65,182.96,187.31,182.1,181.54,5112324,949666328.7048,185.76,0.77,662100000,662100000.0,117401916750.0,123580900000.0
2025-04-29,PANW,181.54,178.62,182.2,178.09,178.98,3528025,637431596.9952,180.68,0.53,662100000,662100000.0,114187752300.0,120197570000.0
2025-04-26,PANW,178.98,176.49,179.5,175.33,176.04,3536822,630414152.7964,178.24,0.53,662100000,662100000.0,112577525100.0,118502600000.0
2025-04-25,PANW,176.04,169.35,176.45,169.07,168.32,3997649,698681108.677,174.77,0.6,662100000,662100000.0,110728279800.0,116556100000.0
2025-04-24,PANW,168.32,168.74,172.52,167.33,163.63,4905500,831075584.05,169.42,,662100000,,105872444689.95,
2025-04-23,PANW,163.63,162.46,165.36,160.27,160.05,4005327,654527748.0294,163.41,0.6,662100000,662100000.0,102922458139.95,108339380000.0
2025-04-22,PANW,160.05,165.09,165.95,157.6,167.69,4555125,729135715.7138,160.07,0.69,662100000,662100000.0,100670656039.95,105969070000.0
2025-04-18,PANW,167.69,171.14,171.37,167.13,169.76,4784633,805958510.3409,168.45,0.72,662100000,662100000.0,105476177839.95,111027500000.0
2025-04-17,PANW,169.76,171.54,173.85,167.92,173.55,5405199,921413517.184,170.47,0.82,662100000,662100000.0,106778191200.0,112398100000.0
2025-04-16,PANW,173.55,170.5,174.94,169.98,169.98,4147465,720253748.858,173.66,0.63,662100000,662100000.0,109162088539.95,114907400000.0
2025-04-15,PANW,169.98,171.66,173.53,168.68,168.34,5103313,870490470.3368,170.57,0.77,662100000,662100000.0,106916570100.0,112543690000.0
2025-04-12,PANW,168.34,164.74,168.84,161.45,168.27,6302297,1046009312.3149,165.97,0.95,662100000,662100000.0,105885018300.0,111457900000.0
2025-04-11,PANW,168.27,168.93,170.66,162.24,173.02,6465582,1082196248.6518,167.38,0.98,662100000,662100000.0,105840994939.95,111411600000.0
2025-04-10,PANW,173.02,151.63,174.11,151.63,152.53,10513473,1749201253.803,166.38,1.59,662100000,662100000.0,108828721189.95,114556500000.0
2025-04-09,PANW,152.53,157.72,161.5,150.12,152.44,13716497,2153846795.087,157.03,2.07,662100000,662100000.0,95940607350.0,100990070000.0
2025-04-08,PANW,152.44,147.57,159.59,144.15,153.57,9837942,1485097454.7256,150.96,1.49,662100000,662100000.0,95884004089.95,100930500000.0
2025-04-05,PANW,153.57,158.96,160.84,153.39,165.17,9000535,1401521907.739,155.72,1.36,662100000,662100000.0,96594768439.95,101678700000.0
