dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,PAYX,159.33,157.95,159.74,157.52,158.25,1271111,202179115.0381,159.06,0.35,360190668,360191000.0,44189670705.45,57389176000.0
2025-06-04,PAYX,158.25,157.08,158.36,156.48,157.5,1459485,230338257.876,157.82,0.41,360190668,360191000.0,43890133372.47,57000141000.0
2025-06-03,PAYX,157.5,157.1,157.57,155.48,157.91,1417437,222458799.5028,156.94,0.39,360190668,360191000.0,43682123261.7,56730008000.0
2025-05-31,PAYX,157.91,157.81,158.81,156.95,157.42,1993759,314901673.3683,157.94,0.55,360190668,360191000.0,43795838229.06,56877710000.0
2025-05-30,PAYX,157.42,157.05,157.9,156.21,156.99,1402412,220494521.2065,157.23,0.39,360190668,360191000.0,43659935516.55,56701211000.0
2025-05-29,PAYX,156.99,159.39,159.75,156.97,158.97,1483969,234081121.6631,157.74,0.41,360190668,360191000.0,43540679159.84,56546300000.0
2025-05-28,PAYX,158.97,157.5,159.25,156.88,156.09,1759811,279099706.8785,158.6,0.49,360190668,360191000.0,44089825852.28,57259497000.0
2025-05-24,PAYX,156.09,155.04,156.56,154.17,156.18,1085447,169116441.6645,155.8,0.3,360190668,360191000.0,43291064253.45,56222145000.0
2025-05-23,PAYX,156.18,156.19,157.01,155.27,156.22,1034413,161575424.3854,156.2,0.29,360190668,360191000.0,43316025466.74,56254540000.0
2025-05-22,PAYX,156.22,156.67,157.51,155.63,157.67,1217481,190470653.4413,156.45,0.34,360190668,360191000.0,43327122112.79,56268960000.0
2025-05-21,PAYX,157.67,157.58,158.23,156.86,158.19,1466983,231177596.7193,157.59,0.41,360190668,360191000.0,43729272220.14,56791240000.0
2025-05-20,PAYX,158.19,155.19,158.25,154.91,155.98,1628420,256646808.416,157.6,0.45,360190668,360191000.0,43873495337.08,56978550000.0
2025-05-17,PAYX,155.98,154.19,156.27,153.67,154.43,1415547,220142769.3921,155.52,0.39,360190668,360191000.0,43260556103.87,56182540000.0
2025-05-16,PAYX,154.43,152.56,154.51,152.43,152.01,1549931,238924653.5258,154.15,0.43,360190668,360191000.0,42830668541.61,55624210000.0
2025-05-15,PAYX,152.01,150.46,152.29,149.47,151.26,1823496,276208403.7624,151.47,0.51,360190668,360191000.0,42159489250.86,54752583000.0
2025-05-14,PAYX,151.26,151.82,152.5,151.18,151.69,1456490,220700779.0729,151.53,0.4,360190668,360191000.0,41951479140.09,54482411000.0
2025-05-13,PAYX,151.69,153.28,153.28,150.1,150.57,2435072,368954585.0675,151.52,0.68,360190668,360191000.0,42070741043.74,54637320000.0
2025-05-10,PAYX,151.65,151.17,152.05,150.79,151.33,1120255,169741149.6255,151.52,0.31,360190668,360191000.0,42059644397.69,54622903000.0
2025-05-09,PAYX,151.33,151.53,152.8,150.53,150.32,1295307,196443280.4139,151.66,0.36,360190668,360191000.0,41970896190.57,54507641000.0
2025-05-08,PAYX,150.32,149.51,151.09,149.05,149.02,1610354,241717050.1407,150.1,0.45,360190668,360191000.0,41690775908.06,54143840000.0
2025-05-07,PAYX,149.02,148.85,149.4,147.74,149.45,1291788,192435991.9535,148.97,0.36,360190668,360191000.0,41330225049.4,53675620000.0
2025-05-06,PAYX,149.45,149.81,150.79,148.87,149.81,1345614,201518762.4119,149.76,0.37,360190668,360191000.0,41449481406.1,53830489000.0
2025-05-03,PAYX,149.81,148.25,150.55,147.5,146.61,1460429,218806438.2386,149.82,0.41,360190668,360191000.0,41549326259.27,53960129000.0
2025-05-02,PAYX,146.61,146.34,147.53,144.3,147.12,1785017,261654931.928,146.58,0.5,360190668,360191000.0,40661819226.79,52807555000.0
