dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,PCAR,92.59,93.71,93.81,92.55,93.56,1931555,179358982.1015,92.86,0.37,524959425,524959000.0,48605991585.87,48605961000.0
2025-06-04,PCAR,93.56,91.75,93.62,91.34,91.77,2171482,201842294.1463,92.95,0.41,524959425,524959000.0,49115202753.08,49115176000.0
2025-06-03,PCAR,91.77,93.62,94.12,91.3,93.85,2529820,232468208.2331,91.89,0.48,524959425,524959000.0,48175529057.05,48175512000.0
2025-05-31,PCAR,93.85,94.31,94.53,93.1,94.29,3004870,282418121.7257,93.99,0.57,524959425,524959000.0,49267445710.97,49267422000.0
2025-05-30,PCAR,94.29,94.71,94.93,93.59,94.05,1598134,150601109.9779,94.24,0.3,524959425,524959000.0,49498421033.49,49498399000.0
2025-05-29,PCAR,94.05,95.53,95.68,93.99,94.97,1560738,147377525.4985,94.43,0.3,524959425,524959000.0,49372436021.09,49372403000.0
2025-05-28,PCAR,94.97,94.22,95.21,93.71,93.24,2967401,281328597.2642,94.81,0.57,524959425,524959000.0,49855397642.17,49855364000.0
2025-05-24,PCAR,93.24,92.84,93.69,92.25,94.33,2249643,209692157.5645,93.21,0.43,524959425,524959000.0,48947219936.76,48947200000.0
2025-05-23,PCAR,94.33,94.09,94.91,93.4,94.33,1972964,186105152.3569,94.33,0.38,524959425,524959000.0,49519423610.17,49519410000.0
2025-05-22,PCAR,94.33,95.52,96.44,94.19,96.5,1947151,184891906.2372,94.96,0.37,524959425,524959000.0,49519423610.17,49519410000.0
2025-05-21,PCAR,96.5,96.56,97.29,96.21,97.01,1860446,179904385.882,96.7,0.35,524959425,524959000.0,50658584512.5,50658550000.0
2025-05-20,PCAR,97.01,96.2,97.33,95.42,96.71,2191278,212229435.5369,96.85,0.42,524959425,524959000.0,50926311194.45,50926260000.0
2025-05-17,PCAR,96.71,96.13,96.85,95.48,95.97,2436397,235169080.9865,96.52,0.46,524959425,524959000.0,50768829666.47,50768813000.0
2025-05-16,PCAR,95.97,94.37,96.68,94.37,94.65,3684731,353208759.1525,95.86,0.7,524959425,524959000.0,50380357067.17,50380348000.0
2025-05-15,PCAR,94.65,95.47,96.07,94.24,95.93,2353121,223422478.4639,94.95,0.45,524959425,524959000.0,49687406426.49,49687387000.0
2025-05-14,PCAR,95.93,95.25,96.27,94.99,95.41,2752099,264477531.2734,95.77,0.52,525000000,525000000.0,50536497375.0,50536490000.0
2025-05-13,PCAR,95.74,95.0,96.42,94.55,90.66,3183068,304297484.3015,95.6,0.61,525000000,525000000.0,50263503150.0,50263490000.0
2025-05-10,PCAR,90.66,91.56,91.97,90.48,91.56,2238209,203503116.8753,90.92,0.43,525000000,525000000.0,47596502100.0,47596460000.0
2025-05-09,PCAR,91.56,89.7,92.49,89.41,88.72,3401724,310583173.9256,91.3,0.65,525000000,525000000.0,48068998950.0,48068980000.0
