dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,PDD,99.65,98.82,101.16,97.83,98.33,9816699,979099937.2853,99.74,0.69,1419646462,1419646000.0,141467761420.42,141467690000.0
2025-06-04,PDD,98.33,96.4,98.94,95.52,96.44,7574914,739730529.4439,97.66,0.53,1419646462,1419646000.0,139593839447.75,139593800000.0
2025-06-03,PDD,96.44,96.69,96.72,95.32,96.51,6288211,603485860.1517,95.97,0.44,1419646462,1419646000.0,136910709054.22,136910630000.0
2025-05-31,PDD,96.51,97.56,97.7,95.24,98.29,17185032,1656393126.0857,96.39,1.21,1419646462,1419646000.0,137010072949.39,137010000000.0
2025-05-30,PDD,98.29,100.15,101.16,98.11,97.88,15202297,1507205831.3509,99.14,1.07,1419646462,1419646000.0,139537042232.1,139536900000.0
2025-05-29,PDD,97.88,100.52,100.61,97.49,102.98,18974868,1876329727.3057,98.89,1.34,1419646462,1419646000.0,138955002798.79,138954900000.0
2025-05-28,PDD,102.98,98.22,103.2,97.32,119.24,51047426,5128683842.794,100.47,3.6,1419646462,1419646000.0,146195192656.76,146195130000.0
2025-05-24,PDD,119.24,116.44,119.4,116.44,119.8,7592449,900759873.5906,118.64,0.53,1419646462,1419646000.0,169278658325.34,169278630000.0
2025-05-23,PDD,119.8,116.0,120.0,115.47,116.2,6344383,751463616.6265,118.45,0.45,1419646462,1419646000.0,170073660344.06,170073600000.0
2025-05-22,PDD,116.2,117.12,118.44,115.58,117.38,4794680,559058729.064,116.6,0.34,1419646462,1419646000.0,164962918884.4,164962900000.0
2025-05-21,PDD,117.38,117.94,119.96,116.33,118.45,4983625,586597082.2625,117.7,0.35,1419646462,1419646000.0,166638115906.02,166638100000.0
2025-05-20,PDD,118.45,116.0,118.74,115.56,117.61,5279402,622416207.4644,117.9,0.37,1419646462,1419646000.0,168157123423.9,168157100000.0
2025-05-17,PDD,117.61,119.16,119.51,117.5,117.84,4360973,514828126.0555,118.05,0.31,1419646462,1419646000.0,166964634592.28,166964600000.0
2025-05-16,PDD,117.84,115.63,117.92,114.25,118.89,8446805,984073054.832,116.5,0.59,1419646462,1419646000.0,167291139082.08,167291100000.0
2025-05-15,PDD,118.89,121.84,122.99,117.27,119.45,6947387,831445977.1664,119.68,0.49,1419646462,1419646000.0,168781767867.18,168781690000.0
2025-05-14,PDD,119.45,116.82,121.89,115.55,116.38,9821438,1173819966.1518,119.52,0.69,1419646462,1419646000.0,169576769885.9,169576700000.0
2025-05-13,PDD,116.38,117.46,120.09,116.01,109.65,15852790,1863909222.319,117.58,1.12,1419646462,1419646000.0,165218469444.02,165218400000.0
2025-05-10,PDD,109.65,110.06,111.66,108.85,109.9,3849518,422464236.5498,109.74,0.27,1419646462,1419646000.0,155664234558.3,155664100000.0
2025-05-09,PDD,109.9,110.13,111.3,109.39,109.39,4611977,508867601.5895,110.34,0.32,1419646462,1419646000.0,156019146173.8,156019100000.0
2025-05-08,PDD,109.39,109.49,109.72,108.33,111.32,5596945,610214260.6229,109.03,0.39,1419646462,1419646000.0,155295126478.18,155295100000.0
