dt,symbol,close,open,high,low,pre_close,return,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-04,PEP,131.85,130.63,132.21,129.81,130.91,,7339524,965073276.8076,131.49,0.54,1371079540,1371080000.0,171738008506.81,180776820000.0
2025-06-03,PEP,130.91,130.9,131.03,129.07,131.45,-1.5694444444444444,6723719,875685127.103,130.24,0.49,1371079540,1371080000.0,170513634477.59,179487940000.0
2025-05-31,PEP,131.45,132.15,132.72,131.29,131.92,-0.12195121951219512,12992075,1710622342.195,131.67,0.95,1371079540,1371080000.0,171216985256.35,180228400000.0
2025-05-30,PEP,131.92,130.86,132.07,130.25,130.67,-3.6666666666666665,6659070,875672432.9397,131.5,0.49,1371079540,1371080000.0,171829172270.96,180872750000.0
2025-05-29,PEP,130.67,131.29,132.19,130.47,131.37,-1.5520833333333335,9431449,1236987352.4644,131.16,0.69,1371079540,1371080000.0,170201015317.21,179158900000.0
2025-05-28,PEP,131.37,130.08,131.46,129.13,129.34,-3.9622641509433962,13974766,1826209843.5906,130.68,1.02,1371079540,1371080000.0,171112783211.31,180118690000.0
2025-05-24,PEP,129.34,129.56,129.76,127.75,130.12,-1.3821656050955413,8122492,1047086769.9289,128.91,0.59,1371079540,1371080000.0,168468656318.42,177335380000.0
2025-05-23,PEP,130.12,130.02,130.7,128.82,130.15,-0.9666666666666667,7140231,927663095.6586,129.92,0.52,1371079540,1371080000.0,169484626257.56,178404800000.0
2025-05-22,PEP,130.15,131.8,131.9,130.06,131.8,61.5,9243723,1207938385.419,130.68,0.67,1371079540,1371080000.0,169523702024.45,178445900000.0
2025-05-21,PEP,131.8,131.75,132.17,131.35,131.79,-1.008,7624242,1004644919.734,131.77,0.56,1371079540,1371080000.0,171672882228.66,180708300000.0
2025-05-20,PEP,131.79,132.13,132.26,131.11,131.98,-15.000000000000002,9406195,1239194798.2299,131.74,0.69,1371079540,1371080000.0,171659843947.77,180694500000.0
2025-05-17,PEP,131.98,132.09,132.26,130.65,131.5,-3.642857142857143,8896371,1172048038.1732,131.74,0.65,1371079540,1371080000.0,171907323804.74,180955000000.0
2025-05-16,PEP,131.5,129.19,131.55,128.81,128.45,5.405405405405406,9165090,1198439999.526,130.76,0.67,1371079540,1371080000.0,171282111534.5,180296900000.0
2025-05-15,PEP,128.45,130.07,130.17,127.87,130.31,-1.6033755274261603,10463016,1346537948.7502,128.7,0.76,1371079540,1371080000.0,167309408567.35,176115130000.0
2025-05-14,PEP,130.31,131.17,131.64,129.75,131.68,-0.2727272727272727,8650219,1129257631.2295,130.55,0.63,1371079540,1371080000.0,169732106114.53,178665300000.0
2025-05-13,PEP,131.68,130.84,132.33,130.06,130.44,-1.9134615384615383,8392719,1101868411.6306,131.29,0.61,1371079540,1371080000.0,171516566135.84,180543700000.0
2025-05-10,PEP,130.44,131.15,131.65,130.18,131.43,-1.7894736842105263,4770504,624076903.9346,130.82,0.35,1371079540,1371080000.0,169901447462.98,178843600000.0
2025-05-09,PEP,131.43,131.89,132.98,131.26,131.92,-0.5066666666666666,6392356,842966441.9996,131.87,0.47,1371079540,1371080000.0,171190934745.09,180200900000.0
2025-05-08,PEP,131.92,130.95,132.67,130.27,130.74,-3.4324324324324325,6313817,830726581.3776,131.57,0.46,1371079540,1371080000.0,171822659643.15,180865900000.0
2025-05-07,PEP,130.74,131.9,131.9,130.16,131.99,-2.0555555555555554,6889895,901173531.277,130.8,0.5,1371079540,1371080000.0,170292205131.88,179254900000.0
2025-05-06,PEP,131.99,134.05,134.05,131.7,133.75,0.3894736842105264,8972160,1186726070.016,132.27,0.65,1371079540,1371080000.0,171920362085.63,180968750000.0
