dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,PLTR,130.01,132.8,132.95,125.58,133.17,97306313,12554032355.4828,129.02,4.3,2262906259,2263911000.0,276548416168.63,294331000000.0
2025-06-04,PLTR,133.17,133.07,135.28,130.1,132.04,91297688,12108081977.936,132.62,4.03,2262906259,2263911000.0,283270152920.37,301485000000.0
2025-06-03,PLTR,132.04,131.44,134.48,128.86,131.78,93218750,12263346979.0625,131.55,4.12,2262906259,2263911000.0,280866493892.06,298926750000.0
2025-05-31,PLTR,131.78,123.53,131.94,122.75,122.32,185897570,23790706264.675,127.98,8.21,2262906259,2263911000.0,280313439602.36,298338200000.0
2025-05-30,PLTR,122.32,125.35,126.47,121.53,123.76,63137903,7764611549.2548,122.98,2.79,2262906259,2263911000.0,260190793256.15,276921500000.0
2025-05-29,PLTR,123.76,124.23,125.65,122.91,123.39,64866004,8081870144.8332,124.59,2.87,2262906259,2263911000.0,263253841897.01,280181600000.0
2025-05-28,PLTR,123.39,126.82,127.88,120.88,123.31,86455188,10730238684.8004,124.11,3.82,2262906259,2263911000.0,262466803100.13,279343940000.0
2025-05-24,PLTR,123.31,120.88,125.54,120.68,122.29,65905813,8128737297.8631,123.34,2.91,2262906259,2263911000.0,262296632549.45,279162750000.0
2025-05-23,PLTR,122.29,121.95,126.33,121.38,120.58,75498250,9386298036.7575,124.32,3.33,2262906259,2263911000.0,260126958028.32,276853600000.0
2025-05-22,PLTR,120.58,125.16,127.11,119.41,125.59,80657688,9977598785.2409,123.7,3.56,2262906259,2263911000.0,256489583778.93,272982300000.0
2025-05-21,PLTR,125.59,127.22,128.2,124.65,126.33,61265309,7730573706.3602,126.18,2.71,2262906259,2263911000.0,267146493243.74,284324600000.0
2025-05-20,PLTR,126.33,124.72,127.77,124.32,129.52,72503938,9137142752.432,126.02,3.2,2262906259,2263911000.0,268720592108.82,285999900000.0
2025-05-17,PLTR,129.52,129.23,130.33,126.76,128.12,57003723,7334481496.1613,128.67,2.52,2262906259,2263911000.0,275506142817.06,293221700000.0
2025-05-16,PLTR,128.12,128.37,130.2,125.74,130.18,69502938,8910270396.3356,128.2,3.07,2262906259,2263911000.0,272528136908.9,290052300000.0
2025-05-15,PLTR,130.18,129.01,133.49,127.56,128.1,96611500,12556230497.415,129.97,4.27,2262906259,2263911000.0,276910028588.82,294715880000.0
2025-05-14,PLTR,128.1,119.92,130.6,119.31,118.46,147155380,18668720128.32,126.86,6.5,2262906259,2263911000.0,272485615542.54,290006900000.0
2025-05-13,PLTR,118.46,120.78,120.94,115.01,117.3,94257313,11092709583.3302,117.69,4.16,2262906259,2263911000.0,251980064185.99,268182800000.0
2025-05-10,PLTR,117.3,118.97,119.16,114.9,119.15,81005250,9469821544.95,116.9,3.58,2262906259,2263911000.0,249512591201.18,265556800000.0
2025-05-09,PLTR,119.15,112.28,120.38,112.07,110.48,126966190,14961441897.22,117.84,5.61,2262906259,2263911000.0,253447763914.26,269744900000.0
2025-05-08,PLTR,110.48,107.97,111.85,107.0,108.86,95713688,10506301061.5209,109.77,4.23,2262906259,2263911000.0,235005530484.66,250116800000.0
2025-05-07,PLTR,108.86,112.71,113.91,105.32,123.77,201193380,21766407605.37,108.19,8.89,2262682774,2263688000.0,231536729240.2,246424900000.0
2025-05-06,PLTR,123.77,123.7,125.26,121.36,124.28,135961250,16821547329.875,123.72,6.01,2262682774,2263688000.0,263249133390.92,280176570000.0
2025-05-03,PLTR,124.28,118.66,124.42,118.63,116.2,103094320,12642478111.4072,122.63,4.55,2262682774,2263688000.0,264333842243.56,281331000000.0
2025-05-02,PLTR,116.2,120.04,120.19,116.0,118.44,90677563,10744230288.0129,118.49,4.01,2262682774,2263688000.0,247148314038.47,263040440000.0
2025-05-01,PLTR,118.44,111.61,118.78,110.54,116.08,109461690,12612844732.7259,115.23,4.84,2262682774,2263688000.0,251912640156.62,268111100000.0
2025-04-30,PLTR,116.08,113.98,117.23,113.24,114.65,79709000,9163960399.3,114.97,3.52,2262682774,2263688000.0,246893104690.78,262768800000.0
2025-04-29,PLTR,114.65,113.78,114.86,108.87,112.78,109988630,12356023704.433,112.34,4.86,2262682774,2263688000.0,243851585236.75,259531690000.0
2025-04-26,PLTR,112.78,108.05,112.88,106.55,107.78,103933820,11410978284.1942,109.79,4.62,2248950826,2249956000.0,238418473706.9,253749900000.0
2025-04-25,PLTR,107.78,101.53,108.0,100.91,100.82,101543500,10719328895.085,105.56,4.51,2248950826,2249956000.0,227848404824.7,242500200000.0
2025-04-24,PLTR,100.82,98.86,103.76,97.83,93.99,112091000,11348709340.5,101.25,,2248950826,,213134890080.82,
2025-04-23,PLTR,93.99,93.02,96.34,91.35,90.8,91185375,8576257527.7627,94.05,4.05,2248950826,2249956000.0,198696167531.68,211473300000.0
2025-04-22,PLTR,90.8,92.84,96.48,89.31,93.78,83831125,7719924889.2806,92.09,3.73,2248950826,2249956000.0,191952459356.81,204295940000.0
2025-04-18,PLTR,93.78,94.71,95.11,92.27,92.71,83991750,7856495484.1163,93.54,3.73,2248950826,2249956000.0,198252209840.53,211000800000.0
2025-04-17,PLTR,92.71,96.28,97.3,89.62,98.4,121997630,11392882142.9572,93.39,5.42,2248950826,2249956000.0,195990232011.85,208593300000.0
2025-04-16,PLTR,98.4,93.53,98.99,93.05,92.62,118457630,11478355643.9954,96.9,5.26,2248950826,2249956000.0,208018942917.61,221395600000.0
2025-04-15,PLTR,92.62,95.8,97.33,91.46,88.55,122836880,11520292904.8427,93.79,5.46,2248950826,2249956000.0,195799947517.82,208390800000.0
2025-04-12,PLTR,88.55,87.98,89.55,85.47,88.59,95130688,8321338417.6097,87.47,4.23,2248950826,2249956000.0,187195928359.82,199233500000.0
2025-04-11,PLTR,88.59,88.4,90.78,84.14,92.01,124448190,10962914096.4289,88.09,5.53,2248950826,2249956000.0,187280474112.78,199323500000.0
2025-04-10,PLTR,92.01,78.19,93.33,77.27,77.32,187244250,15976183658.7652,85.32,8.32,2248950826,2249956000.0,194510397000.18,207018400000.0
2025-04-09,PLTR,77.32,83.29,86.11,75.22,77.84,135345630,11049834056.8993,81.64,6.02,2248950826,2249956000.0,163455562106.45,173966570000.0
2025-04-08,PLTR,77.84,66.65,81.8,66.12,74.01,169083690,12692182478.9213,75.06,7.51,2248950826,2249956000.0,164554826016.05,175136400000.0
2025-04-05,PLTR,74.01,80.07,80.98,71.93,83.6,147323190,11116316676.9925,75.46,6.55,2248950826,2249956000.0,156458149024.26,166519100000.0
2025-04-04,PLTR,83.6,81.25,85.68,81.01,87.45,93878188,7893803952.6492,84.09,4.17,2248950826,2249956000.0,176731566508.48,188096300000.0
2025-04-03,PLTR,87.45,82.4,88.41,82.3,84.68,96563125,8355365508.7481,86.53,4.29,2248950826,2249956000.0,184870498407.64,196758600000.0
2025-04-02,PLTR,84.68,83.89,85.28,81.82,84.4,78980688,6622956631.6504,83.86,3.51,2248950826,2249956000.0,179014671790.84,190526100000.0
2025-04-01,PLTR,84.4,80.0,84.65,78.75,85.85,108092880,8928525393.9756,82.6,4.8,2248950826,2249956000.0,178422750047.45,189896200000.0
2025-03-29,PLTR,85.85,89.34,89.38,84.1,90.09,91091688,7811130373.2459,85.75,4.05,2248950826,2249956000.0,181488097505.47,193158630000.0
2025-03-28,PLTR,90.09,91.02,93.65,89.67,92.28,82823000,7603690080.792,91.81,3.68,2248950826,2249956000.0,190451494777.44,202698400000.0
2025-03-27,PLTR,92.28,96.29,97.3,90.82,96.5,82138313,7658929006.036,93.24,3.65,2248950826,2249956000.0,195081189175.87,207625800000.0
2025-03-26,PLTR,96.5,97.22,98.17,95.08,96.75,77603813,7474085856.3071,96.31,3.45,2248950826,2249956000.0,204002329426.46,217120630000.0
2025-03-25,PLTR,96.75,93.4,97.39,92.28,90.96,111293750,10647316694.7813,95.67,4.95,2248950826,2249956000.0,204530832870.57,217683130000.0
2025-03-22,PLTR,90.96,85.85,91.07,84.46,87.39,116748690,10357300841.7642,88.71,5.19,2248950826,2249956000.0,192290707903.08,204655880000.0
2025-03-21,PLTR,87.39,85.54,89.8,85.12,86.1,105547440,9247201414.8869,87.61,4.69,2248950826,2249956000.0,184743663923.09,196623600000.0
2025-03-20,PLTR,86.1,84.55,87.99,82.86,83.89,89797438,7686750310.6431,85.6,3.99,2248950826,2249956000.0,182016600949.58,193721130000.0
2025-03-19,PLTR,83.89,85.78,86.17,81.8,87.35,93236500,7828555451.5945,83.96,4.14,2248950826,2249956000.0,177344615705.55,188748690000.0
2025-03-18,PLTR,87.35,88.44,88.82,84.5,86.24,99348875,8625132038.0694,86.82,4.42,2248950826,2249956000.0,184659118170.13,196533570000.0
2025-03-15,PLTR,86.24,82.97,87.27,82.16,79.62,113985000,9768456823.59,85.7,5.07,2248950826,2249956000.0,182312560764.27,194036130000.0
2025-03-14,PLTR,79.62,82.85,83.74,78.32,83.65,100927190,8074598791.4164,80.0,4.49,2248950826,2249956000.0,168317768424.1,179141380000.0
2025-03-13,PLTR,83.65,83.48,84.55,79.86,78.05,115662250,9587625125.276,82.89,5.14,2248950826,2249956000.0,176837239715.12,188208800000.0
2025-03-12,PLTR,78.05,75.79,80.75,75.53,76.38,109351500,8581239550.662,78.47,4.86,2248950826,2249956000.0,164998783707.2,175609000000.0
2025-03-11,PLTR,76.38,82.0,82.69,74.57,84.91,136843820,10639579909.9236,77.75,6.08,2248950826,2249956000.0,161468382814.56,171851570000.0
2025-03-08,PLTR,84.91,80.03,85.16,79.15,80.46,104721630,8644069445.1872,82.54,4.65,2248950826,2249956000.0,179500918213.58,191043700000.0
2025-03-07,PLTR,80.46,87.51,88.34,80.01,90.13,116030190,9726219769.9121,83.82,,2248950826,,170093563250.46,
2025-03-06,PLTR,90.13,86.35,90.3,82.5,84.4,113932940,9933790821.6767,87.19,5.06,2248950826,2249956000.0,190536072240.61,202788400000.0
2025-03-05,PLTR,84.4,80.16,88.5,79.3,83.42,114439500,9517726995.021,83.17,5.09,2248950826,2249956000.0,178422750047.45,189896190000.0
2025-03-04,PLTR,83.42,88.55,90.48,82.53,84.92,113502570,9899432872.4839,87.22,5.04,2248950826,2249956000.0,176351027116.61,187691250000.0
2025-03-01,PLTR,84.92,79.98,85.18,78.58,84.77,124848880,10315737840.0107,82.63,5.55,2248950826,2249956000.0,179522047781.27,191066130000.0
2025-02-28,PLTR,84.77,91.91,93.62,84.17,89.31,98146938,8672625996.469,88.36,4.36,2248950826,2249956000.0,179204958398.89,190728750000.0
2025-02-27,PLTR,89.31,89.16,91.69,87.59,87.84,93211125,8360785962.8291,89.7,4.14,2248950826,2249956000.0,188802566145.83,200943500000.0
2025-02-26,PLTR,87.84,90.65,91.7,85.25,90.68,131310250,11501871071.4135,87.59,5.84,2248950826,2249956000.0,185694963780.45,197636070000.0
2025-02-25,PLTR,90.68,95.88,99.01,89.3,101.35,181395570,16744206768.5156,92.31,8.06,2248950826,2249956000.0,191698754449.48,
2025-02-22,PLTR,101.35,107.68,109.07,100.0,106.27,127718570,13351188433.52,104.54,5.68,2248950826,2249956000.0,214255317382.33,
2025-02-21,PLTR,106.27,102.91,107.4,95.8,112.06,240785630,24546122944.1903,101.94,10.7,2248950826,2249956000.0,224656265162.42,239102690000.0
2025-02-20,PLTR,112.06,123.86,125.41,108.56,124.62,136602570,16092342816.537,117.8,6.07,2248950826,2249956000.0,236896383787.87,252129940000.0
2025-02-19,PLTR,124.62,120.94,125.0,118.43,119.16,83381938,10182594764.1856,122.12,3.82,2180654000,2181659000.0,255447915391.2,271878250000.0
2025-02-15,PLTR,119.16,117.9,120.67,116.8,117.91,65023446,7726202895.9228,118.82,2.98,2180654000,2181659000.0,244255947299.75,259966440000.0
2025-02-14,PLTR,117.91,117.31,118.39,115.15,117.39,59653235,6982285884.9565,117.05,2.73,2180654000,2181659000.0,241693678849.75,257239320000.0
2025-02-13,PLTR,117.39,110.29,117.59,110.0,112.62,74621750,8622394715.2175,115.55,3.42,2180654000,2181659000.0,240627754676.4,256104880000.0
2025-02-12,PLTR,112.62,116.5,118.66,112.1,116.65,93074500,10686050879.1,114.81,4.27,2180654000,2181659000.0,230850138271.2,245698320000.0
2025-02-11,PLTR,116.65,112.03,116.76,108.72,110.85,98050500,11161285496.505,113.83,4.49,2180654000,2181659000.0,239110891754.0,254490440000.0
2025-02-08,PLTR,110.85,111.66,116.3,110.45,111.28,142542190,16218423295.1839,113.78,6.53,2180654000,2181659000.0,229639241821.21,241836820000.0
2025-02-07,PLTR,111.28,101.09,111.55,100.26,101.36,125234690,13471508126.769,107.57,5.74,2180654000,2181659000.0,230530018264.0,242774940000.0
2025-02-06,PLTR,101.36,101.78,103.57,99.32,103.83,90382813,9147183551.3837,101.2,4.14,2180654000,2181659000.0,209979555684.21,221132880000.0
2025-02-05,PLTR,103.83,102.8,106.91,100.51,83.74,229252190,23802475430.254,103.83,2.29,10025931120,10026940000.0,988942902026.47,1041096500000.0
2025-02-04,PLTR,83.74,80.13,84.25,78.47,82.49,103420570,8480486740.0,82.0,4.74,2180654000,2181659000.0,173477580091.73,182692070000.0
2025-02-01,PLTR,82.49,81.0,85.22,80.87,81.22,78336938,6570158080.1921,83.87,3.59,2180654000,2181659000.0,170888053466.73,179965000000.0
2025-01-31,PLTR,81.22,80.02,81.83,79.38,79.76,45710180,3689117601.3653,80.71,2.1,2180654000,2181659000.0,168257086129.24,177194320000.0
2025-01-30,PLTR,79.76,79.95,80.82,77.81,80.23,48633313,3853591962.7667,79.24,2.23,2180654000,2181659000.0,165232504529.89,174009070000.0
2025-01-29,PLTR,80.23,75.54,80.74,74.04,75.44,65542563,5148813619.823,78.56,3.0,2180654000,2181659000.0,166206168612.51,175034440000.0
2025-01-28,PLTR,75.44,74.07,76.72,72.67,78.98,75471688,5633841282.801,74.65,3.46,2180654000,2181659000.0,156283117086.86,164584320000.0
2025-01-25,PLTR,78.98,79.05,82.24,78.44,78.98,77092563,6200377837.5654,80.43,3.53,2180654000,2181659000.0,163616641987.51,172307320000.0
2025-01-24,PLTR,78.98,76.04,79.0,75.84,76.87,55167708,4293084945.6458,77.82,2.53,2180654000,2181659000.0,163616641987.51,172307320000.0
2025-01-23,PLTR,76.87,74.5,77.16,73.8,73.07,65806188,4996999795.4297,75.94,3.02,2180654000,2181659000.0,159245521044.51,167704070000.0
2025-01-22,PLTR,73.07,73.24,73.64,70.6,71.77,54626743,3971276540.1775,72.7,2.5,2180654000,2181659000.0,151373384963.97,159413750000.0
2025-01-18,PLTR,71.77,70.9,72.34,69.95,69.24,54062754,3857264020.1794,71.35,2.48,2180654000,2181659000.0,148680271059.11,156577630000.0
2025-01-17,PLTR,69.24,69.08,71.43,68.36,68.14,61713145,4321710263.197,70.03,2.83,2180654000,2181659000.0,143439071241.73,151058000000.0
2025-01-16,PLTR,68.14,68.55,68.85,67.08,65.91,54840747,3733530580.5458,68.08,2.51,2180654000,2181659000.0,141160275382.0,148658130000.0
2025-01-15,PLTR,65.91,67.18,68.23,65.19,64.98,56213418,3743200743.9035,66.59,2.58,2180654000,2181659000.0,136540568169.49,143793070000.0
2025-01-14,PLTR,64.98,64.29,65.68,63.4,67.26,67584313,4364629131.2024,64.58,3.1,2180654000,2181659000.0,134613943787.51,141764070000.0
2025-01-11,PLTR,67.26,66.01,68.2,65.04,68.23,76976125,5117534593.8147,66.48,3.53,2180654000,2181659000.0,139337238279.89,146738320000.0
2025-01-09,PLTR,68.23,68.12,69.53,66.51,69.99,89320875,6075910233.7211,68.02,4.09,2180654000,2181659000.0,141346713012.51,148854570000.0
2025-01-08,PLTR,69.99,75.2,75.39,69.75,75.92,89739875,6424226738.5595,71.59,4.11,2180654000,2181659000.0,144992787216.73,152694250000.0
