dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,PYPL,72.8,71.49,73.07,71.33,71.33,7712328,559517773.9217,72.55,0.79,972532829,972533000.0,70800393841.33,70800375000.0
2025-06-04,PYPL,71.33,71.0,71.43,69.86,70.93,7316371,518785591.3152,70.91,0.75,972532829,972533000.0,69370768637.64,69370750000.0
2025-06-03,PYPL,70.93,69.28,70.96,69.05,70.28,7518227,528499834.1742,70.3,0.77,972532829,972533000.0,68981746753.24,68981688000.0
2025-05-31,PYPL,70.28,70.96,71.08,69.52,70.93,14937196,1049178250.7516,70.24,1.54,972532829,972533000.0,68349606249.59,68349560000.0
2025-05-30,PYPL,70.93,72.16,72.45,70.25,71.44,7058910,500881236.8965,70.96,0.73,972532829,972533000.0,68981746753.24,68981688000.0
2025-05-29,PYPL,71.44,71.58,72.04,71.1,71.48,6292063,450210283.2299,71.55,0.65,972532829,972533000.0,69477748221.36,69477690000.0
2025-05-28,PYPL,71.48,70.75,72.0,70.67,69.85,8770914,627614197.3128,71.56,0.9,972532829,972533000.0,69516642726.79,69516563000.0
2025-05-24,PYPL,69.85,69.46,70.14,69.41,71.45,7683598,537176433.3178,69.91,0.79,972532829,972533000.0,67931424913.38,67931375000.0
2025-05-23,PYPL,71.45,71.48,71.99,71.28,71.65,6451027,461881269.7977,71.6,0.66,972532829,972533000.0,69487467714.45,69487440000.0
2025-05-22,PYPL,71.65,72.2,73.2,71.51,72.61,8094344,585132794.2843,72.29,0.83,972532829,972533000.0,69681971362.65,69681880000.0
2025-05-21,PYPL,72.61,71.89,72.78,71.74,72.32,8403164,608453777.9628,72.41,0.86,972532829,972533000.0,70615609686.22,70615560000.0
2025-05-20,PYPL,72.32,71.16,72.54,71.11,72.18,7434930,536485180.8073,72.16,0.76,972532829,972533000.0,70333581973.54,70333560000.0
2025-05-17,PYPL,72.18,71.47,72.22,71.08,71.57,8717852,626892926.1246,71.91,0.9,972532829,972533000.0,70197412789.49,70197310000.0
2025-05-16,PYPL,71.57,72.34,72.67,71.44,72.68,8116477,583275190.1822,71.86,0.83,972532829,972533000.0,69604182351.79,69604130000.0
2025-05-15,PYPL,72.68,72.66,73.34,72.24,72.29,7724047,562151537.128,72.78,0.79,972532829,972533000.0,70683679203.99,70683625000.0
2025-05-14,PYPL,72.29,72.41,72.65,71.89,72.31,8076184,583283838.4054,72.22,0.83,972532829,972533000.0,70304392373.21,70304310000.0
2025-05-13,PYPL,72.31,72.97,74.15,71.85,70.26,12513047,907064545.5326,72.49,1.29,972532829,972533000.0,70323846919.92,70323810000.0
