dt,symbol,close,open,high,low,pre_close,return,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-04,QCOM,148.94,146.71,149.78,145.52,146.63,,6164121,916263362.0378,148.64,0.57,1088833786,1088834000.0,152440660076.67,162170880000.0
2025-06-03,QCOM,146.63,144.8,147.21,144.48,145.2,-0.379746835443038,6419508,938673362.9711,146.22,0.59,1088833786,1088834000.0,150076366393.75,159655690000.0
2025-05-31,QCOM,145.2,148.0,148.02,143.48,148.34,-3.163265306122449,13755571,1999731265.2531,145.38,1.26,1088833786,1088834000.0,148612745783.57,158098600000.0
2025-05-30,QCOM,148.34,149.86,150.5,147.24,147.6,-1.2358490566037736,5984793,887979357.7197,148.37,0.55,1088833786,1088834000.0,151826547586.33,161517570000.0
2025-05-29,QCOM,147.6,148.82,149.49,147.36,148.63,-2.38,7032262,1041694595.8696,148.13,0.65,1088833786,1088834000.0,151069165039.82,160711800000.0
2025-05-28,QCOM,148.63,147.55,149.35,146.43,145.38,-4.246376811594203,9788754,1454242842.8879,148.56,0.9,1088833786,1088834000.0,152123373911.43,161833320000.0
2025-05-24,QCOM,145.38,143.42,146.49,141.77,147.37,-1.6026785714285714,8994606,1299852787.7082,144.51,0.83,1088833786,1088834000.0,148796986695.2,158294630000.0
2025-05-23,QCOM,147.37,151.39,151.58,147.22,151.31,0.9259259259259258,9539063,1416375336.7408,148.48,0.88,1088833786,1088834000.0,150833748940.25,160461400000.0
2025-05-22,QCOM,151.31,153.58,156.13,150.83,153.82,-0.3730769230769232,9684484,1480487503.3412,152.87,0.89,1088833786,1088834000.0,154866353750.08,164751400000.0
2025-05-21,QCOM,153.82,153.04,153.89,151.93,153.7,-1.049079754601227,5269481,807379392.5528,153.22,0.48,1091311970,1091312000.0,157793681050.21,167865600000.0
2025-05-20,QCOM,153.7,150.55,153.82,150.11,152.5,8.875,7241082,1106695836.2274,152.84,0.66,1097189517,1097190000.0,158519747037.13,168638000000.0
2025-05-17,QCOM,152.5,152.87,153.06,151.3,152.61,-1.0886075949367089,6667965,1016735970.7755,152.48,0.61,1097189517,1097190000.0,157282117261.95,167321300000.0
2025-05-16,QCOM,152.61,151.71,153.39,150.18,152.98,2.428571428571428,6941188,1056236482.6591,152.17,0.63,1097189517,1097190000.0,157395576971.59,167442100000.0
2025-05-15,QCOM,152.98,151.93,153.27,150.43,151.34,-5.500000000000001,6971195,1062262328.666,152.38,0.64,1097189517,1097190000.0,157777169172.02,167848000000.0
2025-05-14,QCOM,151.34,152.01,153.29,150.96,152.12,-1.4722222222222223,10160946,1543898843.4024,151.94,0.93,1097189517,1097190000.0,156085741812.61,166048600000.0
