dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,REGN,484.93,491.71,499.9,482.99,487.86,1870674,918031450.9462,490.75,1.73,106148351,107948000.0,45297571863.75,52347344000.0
2025-06-04,REGN,487.86,490.78,501.11,485.34,490.81,2141551,1053072154.5034,491.73,1.98,106148351,107948000.0,45571280651.76,52663665000.0
2025-06-03,REGN,490.81,491.09,502.56,481.58,490.28,2944263,1447739282.0944,491.72,2.73,106148351,107948000.0,45846837100.43,52982118000.0
2025-05-31,REGN,490.28,517.66,519.78,485.0,605.39,6313059,3121605783.8732,494.47,5.85,106148351,107948000.0,45797326707.2,52924880000.0
2025-05-30,REGN,605.39,597.06,605.73,591.02,591.85,756785,454860493.2477,601.04,0.7,106148351,107948000.0,56549802845.41,65350817000.0
2025-05-29,REGN,591.85,603.26,606.0,590.15,603.26,1008290,602282934.4874,597.33,0.93,106148351,107948000.0,55285042695.68,63889200000.0
2025-05-28,REGN,603.26,603.09,608.17,590.8,588.34,876136,527931832.657,602.57,0.81,106148351,107948000.0,56350848651.45,65120883000.0
2025-05-24,REGN,588.34,586.85,591.64,582.37,596.85,656257,385592003.5625,587.56,0.61,106148351,107948000.0,54957170735.01,63510309000.0
2025-05-23,REGN,596.85,603.2,605.5,592.73,604.62,867228,517871262.1237,597.16,0.8,106148351,107948000.0,55752095440.08,64428960000.0
2025-05-22,REGN,604.62,613.05,617.52,597.92,614.79,1089468,659613563.3621,605.45,1.01,106148351,107948000.0,56477897273.09,65267710000.0
2025-05-21,REGN,614.79,595.01,615.45,595.01,595.66,1102197,671331086.6026,609.08,1.02,106148351,107948000.0,57427875082.36,66365560000.0
2025-05-20,REGN,595.66,587.61,597.68,585.82,593.44,666332,395460239.2523,592.61,0.62,106148351,107948000.0,55723132565.3,64395470000.0
2025-05-17,REGN,594.32,588.23,595.19,581.49,584.99,936922,553687734.9612,590.96,0.87,106148351,107948000.0,55515763949.1,64155830000.0
2025-05-16,REGN,584.99,576.13,585.26,564.91,571.36,1302126,750663242.7605,576.49,1.21,106148351,107948000.0,54644236989.31,63148670000.0
