dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,ROP,568.01,567.28,569.29,563.3,567.87,737257,417983867.5896,566.94,0.69,107515397,107515000.0,54352141335.36,61069801000.0
2025-06-04,ROP,567.87,564.39,568.21,561.84,566.69,332538,188327166.6703,566.33,0.31,107515397,107515000.0,54338755442.65,61054770000.0
2025-06-03,ROP,566.69,565.94,568.38,563.08,570.27,385718,218484105.9008,566.43,0.36,107515397,107515000.0,54225826505.64,60927875000.0
2025-05-31,ROP,570.27,564.95,572.7,563.2,564.27,808786,460314752.9044,569.14,0.75,107515397,107515000.0,54568398761.77,61312778000.0
2025-05-30,ROP,564.27,570.13,571.51,562.54,569.13,782005,441783378.8239,564.94,0.73,107515397,107515000.0,53994266541.79,60667696000.0
2025-05-29,ROP,569.13,574.27,576.55,568.65,573.82,361112,206360167.9622,571.46,0.34,107515397,107515000.0,54459301200.45,61190223000.0
2025-05-28,ROP,573.82,571.21,574.73,568.43,567.03,433662,248596424.9267,573.25,0.4,107515397,107515000.0,54908098443.03,61694485000.0
2025-05-24,ROP,567.03,564.43,569.73,563.8,569.07,375130,212838104.5567,567.37,0.35,107515397,107515000.0,54258368319.87,60964454000.0
2025-05-23,ROP,569.07,568.45,573.09,568.45,572.81,346357,197485474.0487,570.18,0.32,107515397,107515000.0,54453577102.21,61183790000.0
2025-05-22,ROP,572.81,573.76,583.95,569.93,578.21,432177,247582556.1299,572.87,0.4,107515397,107515000.0,54811451895.78,61585900000.0
2025-05-21,ROP,578.21,577.91,578.67,573.74,580.47,460214,265597861.4884,577.12,0.43,107515397,107515000.0,55328162281.78,62166460000.0
2025-05-20,ROP,580.47,581.75,584.03,578.4,582.88,533524,309730353.0299,580.54,0.5,107515397,107515000.0,55544419708.19,62409440000.0
2025-05-17,ROP,582.88,579.01,583.02,574.22,574.4,611453,355282258.6927,581.05,0.57,107515397,107515000.0,55775020871.23,62668551000.0
2025-05-16,ROP,574.4,565.74,574.77,565.27,565.94,515867,295629325.4829,573.07,0.48,107515397,107515000.0,54963582580.77,61756825000.0
2025-05-15,ROP,565.94,572.81,576.87,563.49,577.07,623069,352610965.5861,565.93,0.58,107515397,107515000.0,57196422898.27,60847227000.0
2025-05-14,ROP,577.07,577.82,582.57,575.46,575.84,554650,321255825.8435,579.2,0.52,107515397,107515000.0,58321282612.5,62043915000.0
2025-05-13,ROP,575.84,579.92,579.92,566.8,570.48,750902,431389534.5982,574.5,0.7,107515397,107515000.0,58196975331.77,61911650000.0
2025-05-10,ROP,570.48,574.54,574.54,564.37,574.98,333226,189971606.1061,570.1,0.31,107515397,107515000.0,57655259649.08,61335344000.0
2025-05-09,ROP,574.98,576.76,582.17,572.52,574.29,485178,280110458.9601,577.34,0.45,107515397,107515000.0,58110049778.39,61819165000.0
2025-05-08,ROP,574.29,570.43,576.44,569.49,569.7,395996,227148952.503,573.61,0.37,107515397,107515000.0,58040320345.12,61744980000.0
2025-05-07,ROP,569.7,565.45,574.02,560.94,571.13,584884,333956627.657,570.98,0.54,107515397,107515000.0,57576426328.07,61251500000.0
2025-05-06,ROP,571.13,565.92,575.31,563.31,566.04,647852,370429470.8905,571.78,0.6,107515397,107515000.0,57720941450.2,61405223000.0
2025-05-03,ROP,566.04,562.1,569.4,562.1,557.59,556042,315239977.0931,566.94,0.52,107519731,107520000.0,57208844465.87,60860454000.0
2025-05-02,ROP,557.59,564.14,564.21,556.53,560.08,590223,330217232.1635,559.48,0.55,107519731,107520000.0,56354820295.96,59951922000.0
2025-05-01,ROP,560.08,554.9,560.9,547.75,556.17,670604,373922144.7144,557.59,0.62,107519731,107520000.0,56606479967.65,60219637000.0
2025-04-30,ROP,556.17,553.42,558.06,552.03,551.95,716454,398072059.034,555.61,0.67,107519731,107520000.0,56211286788.06,59799223000.0
2025-04-29,ROP,551.95,537.95,558.2,535.53,557.7,805855,443735126.8766,550.64,0.75,107519731,107520000.0,55784780551.18,59345469000.0
2025-04-26,ROP,557.7,559.24,559.24,551.04,559.66,671093,373640537.1378,556.76,0.62,107385207,107385000.0,56295402109.58,59888719000.0
2025-04-25,ROP,559.66,551.12,561.43,548.0,551.08,674258,376492107.8716,558.38,0.63,107385207,107385000.0,56493244577.28,60099172000.0
2025-04-24,ROP,551.08,555.82,564.12,550.35,551.3,616854,341815431.7838,554.13,,107385207,,55627177556.51,
2025-04-23,ROP,551.3,545.58,551.79,543.55,539.27,517643,284593578.3925,549.79,0.48,107385207,107385000.0,55649381789.06,59201454000.0
2025-04-22,ROP,539.27,550.42,555.34,534.91,557.24,372634,201140756.8803,539.78,0.35,107385207,107385000.0,54435045363.0,57909614000.0
2025-04-18,ROP,557.24,561.5,564.47,556.43,556.27,343270,192134741.13,559.72,0.32,107385207,107385000.0,56248972783.76,59839321000.0
2025-04-17,ROP,556.27,562.58,569.89,552.53,567.08,635202,355827259.4474,560.18,0.59,107385207,107385000.0,56151060970.86,59735161000.0
2025-04-16,ROP,567.08,569.88,571.68,563.34,565.88,340906,193415882.7104,567.36,0.32,107385207,107385000.0,57242251069.79,60896010000.0
2025-04-15,ROP,565.88,568.44,570.73,558.66,560.16,378444,213985505.8466,565.44,0.35,107385207,107385000.0,57121101377.3,60767110000.0
2025-04-12,ROP,560.16,548.75,564.72,543.32,549.6,669076,373369732.5266,558.04,0.62,107385207,107385000.0,56543715624.57,60152872000.0
2025-04-11,ROP,549.6,547.94,554.47,533.1,553.76,944045,515937887.4044,546.52,0.88,107385207,107385000.0,55477785275.38,59018890000.0
2025-04-10,ROP,553.76,517.5,556.26,513.87,519.19,1153144,626797671.2405,543.56,1.07,107385207,107385000.0,55897695304.04,59465600000.0
2025-04-09,ROP,519.19,534.82,541.89,513.92,532.54,806344,424254871.81,526.15,0.75,107385207,107385000.0,52408121037.89,55753317000.0
2025-04-08,ROP,532.54,533.05,547.69,519.52,541.8,1109405,591167155.7473,532.87,1.03,107385207,107385000.0,53755707085.32,57186920000.0
2025-04-05,ROP,541.8,576.78,578.34,540.76,578.88,1672576,933356633.9162,558.04,1.56,107385207,107385000.0,54690431890.55,58181300000.0
2025-04-04,ROP,578.88,589.02,589.66,575.99,589.52,994410,577650491.8011,580.07,0.93,107385207,107385000.0,58516128190.34,62251168000.0
2025-04-03,ROP,590.36,584.19,592.95,580.06,590.78,412309,243153093.469,589.74,0.38,107385207,107385000.0,59592186059.88,63395922000.0
2025-04-02,ROP,590.78,585.8,593.0,584.23,589.58,438696,258650814.1226,589.59,0.41,107385207,107385000.0,59634573664.24,63441020000.0
2025-04-01,ROP,589.58,582.83,592.01,580.19,582.64,994758,584220458.2226,587.3,0.93,107385207,107385000.0,59513448197.84,63312160000.0
2025-03-29,ROP,582.64,589.36,591.72,580.62,592.55,876484,511775072.1868,583.9,0.82,107385207,107385000.0,58812891891.88,62566891000.0
2025-03-28,ROP,592.55,587.67,594.25,578.11,582.71,627321,370661251.0602,590.86,0.58,107385207,107385000.0,59813243190.48,63631070000.0
2025-03-27,ROP,582.71,579.56,585.27,579.56,579.07,336491,196029915.1856,582.57,0.31,107385207,107385000.0,58819964904.45,62574430000.0
2025-03-26,ROP,579.07,575.77,582.16,572.52,576.65,735453,425500503.1685,578.56,0.68,107385207,107385000.0,58452545774.39,62183547000.0
2025-03-25,ROP,576.65,577.29,579.54,574.16,572.18,568903,327932301.1676,576.43,0.53,107385207,107385000.0,58208249754.77,61923653000.0
2025-03-22,ROP,572.18,569.92,573.09,564.26,575.45,879815,501805793.3544,570.35,0.82,107385207,107385000.0,57757041620.26,61443645000.0
2025-03-21,ROP,575.45,574.31,577.44,570.85,577.83,439205,252550596.2239,575.02,0.41,107385207,107385000.0,58087124288.38,61794790000.0
2025-03-20,ROP,577.83,579.21,580.33,572.27,576.86,488827,282020002.3115,576.93,0.46,107385207,107385000.0,58327378586.53,62050383000.0
2025-03-19,ROP,576.86,573.84,577.38,569.66,575.59,459797,264526400.6102,575.31,0.43,107385207,107385000.0,58229467783.05,61946223000.0
2025-03-18,ROP,575.59,569.29,578.24,569.29,569.29,499081,287079166.882,575.22,0.46,107385207,107385000.0,58101269304.09,61809825000.0
2025-03-15,ROP,569.29,566.31,571.79,565.72,562.88,428941,244204930.327,569.32,0.4,107385207,107385000.0,57465329061.13,61133290000.0
2025-03-14,ROP,562.88,563.44,567.9,560.78,566.42,431875,243227132.7687,563.19,0.4,107385207,107385000.0,56818275093.56,60444958000.0
2025-03-13,ROP,566.42,566.66,569.23,559.6,565.75,611728,346070483.4662,565.73,0.57,107385207,107385000.0,57175614146.06,60825106000.0
2025-03-12,ROP,565.75,576.1,576.7,563.93,576.45,611709,347180703.6474,567.56,0.57,107385207,107385000.0,57107990008.64,60753141000.0
2025-03-11,ROP,576.45,586.83,591.16,574.08,588.38,748722,435281858.6641,581.37,0.7,107385207,107385000.0,58188066382.96,61902192000.0
2025-03-08,ROP,588.38,585.62,589.92,577.97,588.29,462558,270934092.7144,585.73,0.43,107385207,107385000.0,59392298505.35,63183254000.0
2025-03-07,ROP,588.29,589.75,592.35,582.86,593.81,569459,334684795.3457,587.72,,107385207,,59383228858.15,
2025-03-06,ROP,593.81,582.57,595.17,581.99,584.83,629098,371520001.6424,590.56,0.59,107385207,107385000.0,59940431239.08,63766403000.0
2025-03-05,ROP,584.83,586.41,590.0,582.45,585.81,869332,509428552.0,586.0,0.81,107385207,107385000.0,59033973248.59,62802083000.0
2025-03-04,ROP,585.81,588.49,592.0,583.15,584.5,709620,416746002.6024,587.28,0.66,107385207,107385000.0,59132894482.44,62907309000.0
2025-03-01,ROP,584.5,579.05,584.93,573.66,572.5,898266,521934216.5597,581.05,0.84,107385207,107385000.0,59000654282.01,62766653000.0
2025-02-28,ROP,572.5,574.04,579.95,571.98,575.15,542416,311894499.4043,575.01,0.51,107385207,107385000.0,57789349147.05,61478008000.0
2025-02-27,ROP,575.15,585.2,586.91,574.43,587.34,646004,374207280.9586,579.26,0.6,107385207,107385000.0,58056836612.9,61762559000.0
2025-02-26,ROP,587.34,578.14,593.91,577.09,576.58,983962,578995583.6309,588.43,0.92,107385207,107385000.0,59287338915.41,63071598000.0
2025-02-25,ROP,576.58,575.12,579.9,572.28,574.05,509122,293658611.6012,576.79,0.47,107229151,107229000.0,58116620914.2,
2025-02-22,ROP,574.05,579.39,580.4,573.54,581.42,625834,360273814.9716,575.67,,107229151,,57861605523.43,
2025-02-21,ROP,581.42,574.96,581.88,569.01,577.04,474562,275017254.3353,579.52,0.44,107229151,107229000.0,58604455540.28,62345133000.0
2025-02-20,ROP,577.04,572.53,577.95,568.14,572.53,423219,243680845.3714,575.78,0.39,107229151,107229000.0,58162982767.27,61875485000.0
2025-02-19,ROP,572.53,572.93,574.14,569.48,573.58,498942,285503119.3611,572.22,0.47,107229151,107229000.0,57708394496.57,61391872000.0
2025-02-15,ROP,573.58,575.0,577.93,572.93,573.43,349187,200644163.1431,574.6,0.33,107229151,107229000.0,54123964407.84,61504469000.0
2025-02-14,ROP,573.43,569.38,575.43,565.28,566.76,400406,229157166.6801,572.31,0.37,107229151,107229000.0,54109796949.28,61488372000.0
2025-02-13,ROP,566.76,573.63,575.81,566.46,581.35,688497,391581663.5444,568.75,0.64,107229151,107229000.0,53480411329.89,60773168000.0
2025-02-12,ROP,581.35,570.5,581.44,570.5,574.52,548936,317424926.297,578.25,0.51,107229151,107229000.0,54857156337.95,62337637000.0
2025-02-11,ROP,574.52,573.3,575.25,567.41,572.76,564285,323751493.4018,573.74,0.53,107229151,107229000.0,54212658699.85,61605274000.0
2025-02-08,ROP,572.76,583.45,584.44,572.58,583.42,494452,284409492.5218,575.2,0.46,107229151,107229000.0,54046581247.17,61416528000.0
2025-02-07,ROP,583.42,582.37,583.77,577.71,581.42,713106,415240440.044,582.3,0.67,107229151,107229000.0,55052468917.93,62559598000.0
2025-02-06,ROP,581.42,578.14,582.25,573.12,577.67,481286,278433822.1759,578.52,0.45,107229151,107229000.0,54863745612.17,62345133000.0
2025-02-05,ROP,577.67,578.07,579.62,571.16,577.04,745175,429622501.4873,576.54,0.69,107229151,107229000.0,54509889413.87,61943028000.0
2025-02-04,ROP,577.04,575.24,581.5,569.68,575.65,891799,514791632.6813,577.25,0.83,107229151,107229000.0,54450451952.34,61875485000.0
2025-02-01,ROP,575.65,572.0,581.92,570.06,570.6,1158030,667810401.1794,576.68,1.08,107229151,107229000.0,54319276987.82,61726430000.0
2025-01-31,ROP,570.6,565.99,584.31,561.6,543.02,1153710,662803303.0572,574.5,1.08,107229151,107229000.0,53842768569.49,61184942000.0
2025-01-30,ROP,543.02,547.9,549.91,542.86,549.62,676530,369220381.0983,545.76,0.63,107229151,107229000.0,51240266634.13,58227547000.0
2025-01-29,ROP,549.62,540.11,553.25,535.69,541.33,676349,371585748.3176,549.4,0.63,107229151,107229000.0,51863062979.3,58935293000.0
2025-01-28,ROP,541.33,527.91,541.67,527.2,531.37,735267,396406387.3462,539.13,0.69,107229151,107229000.0,51080801102.46,58046340000.0
2025-01-25,ROP,531.37,532.46,535.0,529.34,533.24,379436,201771300.573,531.77,0.35,107229151,107229000.0,50140962814.24,56978348000.0
2025-01-24,ROP,533.24,531.1,533.36,528.03,534.45,381973,202943954.6798,531.3,0.36,107229151,107229000.0,50317407781.73,57178848000.0
