dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,ROST,142.51,143.97,144.42,142.02,144.03,2260587,323716962.6348,143.2,0.69,328834209,328834000.0,42175946812.13,46862129000.0
2025-06-04,ROST,144.03,141.64,144.55,141.64,142.42,3161603,454291715.1669,143.69,0.96,328834209,328834000.0,42625792010.04,47361965000.0
2025-06-03,ROST,142.42,139.87,142.44,138.06,140.09,3073256,433336471.8144,141.0,0.93,328834209,328834000.0,42149311241.2,46832555000.0
2025-05-31,ROST,140.09,138.93,140.71,138.23,138.93,4225899,590358555.1489,139.7,1.29,328834209,328834000.0,41459745904.93,46066360000.0
2025-05-30,ROST,138.93,142.12,142.65,138.75,139.7,3913724,548021159.962,140.03,1.19,328834209,328834000.0,41116442990.73,45684899000.0
2025-05-29,ROST,139.7,140.83,142.55,139.5,141.29,3596818,504193710.5268,140.18,1.09,328834209,328834000.0,41344325097.57,45938110000.0
2025-05-28,ROST,141.29,138.07,145.51,138.07,137.26,7636027,1089345761.3452,142.66,2.32,328834209,328834000.0,41814886850.65,46460969000.0
2025-05-24,ROST,137.26,134.6,139.9,129.2,152.25,18535047,2480295116.8755,133.82,5.64,328834209,328834000.0,40622205174.61,45135747000.0
2025-05-23,ROST,152.25,153.38,153.38,151.99,152.68,3996026,609751249.6847,152.59,1.22,328834209,328834000.0,45058507488.22,50065000000.0
2025-05-22,ROST,152.68,151.51,153.91,151.12,154.24,2878472,440064253.5264,152.88,0.88,328834209,328834000.0,45185766327.11,50206390000.0
2025-05-21,ROST,154.24,153.44,155.58,153.31,154.26,2166611,334443512.1536,154.36,0.66,328834209,328834000.0,45647452516.05,50719380000.0
2025-05-20,ROST,154.26,152.0,154.35,151.6,152.92,1896566,291734902.8482,153.82,0.58,328834209,328834000.0,45653368572.31,50725930000.0
2025-05-17,ROST,152.92,152.05,153.11,150.88,151.89,2065028,315276312.0251,152.67,0.63,328834209,328834000.0,45256794516.25,50285321000.0
2025-05-16,ROST,151.89,150.29,151.98,149.66,150.66,2438262,368900019.0306,151.3,0.74,328834209,328834000.0,44951965204.51,49946620000.0
2025-05-15,ROST,150.66,148.88,151.03,148.45,149.33,2491704,374188433.9018,150.17,0.76,328834209,328834000.0,44092527042.49,49542141000.0
2025-05-14,ROST,149.33,148.93,150.08,148.08,149.26,1658358,247733146.4868,149.38,0.5,328834209,328834000.0,43703285989.3,49104813000.0
2025-05-13,ROST,149.26,147.26,149.31,145.92,142.28,2663189,394341058.419,148.07,0.81,328834209,328834000.0,43682796691.45,49081790000.0
2025-05-10,ROST,142.28,143.37,143.92,141.77,143.37,1727919,246097325.7271,142.42,0.53,328834209,328834000.0,41640012818.3,46786516000.0
2025-05-09,ROST,143.37,144.07,145.27,143.07,143.03,2049636,295113969.9696,143.98,0.62,328834209,328834000.0,41959014884.45,47144958000.0
2025-05-08,ROST,143.03,141.22,143.91,140.46,141.61,2723262,389302012.9266,142.95,0.83,328834209,328834000.0,41859509652.81,47033140000.0
2025-05-07,ROST,141.61,140.27,142.0,140.11,141.47,1856378,262750257.0176,141.54,0.56,328834209,328834000.0,41443931906.1,46566192000.0
2025-05-06,ROST,141.47,140.04,142.24,139.61,140.49,2263931,320392873.4786,141.52,0.69,328834209,328834000.0,41402959163.66,46520153000.0
2025-05-03,ROST,140.49,140.33,141.89,140.16,138.93,2133455,300289978.2695,140.75,0.65,328834209,328834000.0,41116149966.57,46197922000.0
2025-05-02,ROST,138.93,138.39,139.95,138.39,139.0,2342707,325993067.2761,139.15,0.71,328834209,328834000.0,40659593624.17,45684899000.0
2025-05-01,ROST,139.0,138.87,139.58,137.25,140.78,4037324,559346612.5236,138.54,1.23,328834209,328834000.0,40680079995.39,45707918000.0
2025-04-30,ROST,140.78,138.79,141.18,138.75,139.37,2165909,304162954.3471,140.43,0.66,328834209,328834000.0,41201019149.29,46293278000.0
2025-04-29,ROST,139.37,139.92,142.0,138.79,139.71,2486791,347342284.2459,139.67,0.76,328834209,328834000.0,40788365100.41,45829610000.0
2025-04-26,ROST,139.71,140.46,142.63,138.59,139.93,2289834,320137569.8388,139.81,0.7,328834209,328834000.0,40887873258.68,45941430000.0
2025-04-25,ROST,139.93,137.09,140.34,135.77,138.22,2478287,345964652.1121,139.6,0.75,328834209,328834000.0,40952256070.18,46013766000.0
2025-04-24,ROST,138.22,140.61,141.67,137.71,137.89,2249167,312690442.175,139.03,,328834209,,40451806214.13,
2025-04-23,ROST,137.89,136.5,138.73,136.21,135.49,2523363,347742888.6759,137.81,0.77,328834209,328834000.0,40355224680.32,45342922000.0
2025-04-22,ROST,135.49,139.14,139.14,133.7,139.63,3161321,427675865.6451,135.28,0.96,328834209,328834000.0,39652837736.52,44553747000.0
2025-04-18,ROST,139.63,139.41,140.46,138.22,138.68,2287583,319020834.9808,139.46,0.7,328834209,328834000.0,40864460263.0,45915094000.0
2025-04-17,ROST,138.68,141.75,142.27,137.73,141.03,2512522,350407121.9646,139.46,0.76,328834209,328834000.0,40586428012.67,45602692000.0
2025-04-16,ROST,141.03,143.22,144.14,140.67,143.66,2570240,364074778.7264,141.65,0.78,328834209,328834000.0,41274184760.79,46375480000.0
2025-04-15,ROST,143.66,142.41,144.31,141.89,141.51,2995745,429758822.9755,143.46,0.91,328834209,328834000.0,42043889920.42,47240310000.0
2025-04-12,ROST,141.51,138.82,142.47,137.66,138.89,4388863,616975871.1574,140.58,1.33,328834209,328834000.0,41414662734.88,46533301000.0
2025-04-11,ROST,138.89,136.05,140.18,134.53,137.0,4736711,653155074.2502,137.89,1.44,328834209,328834000.0,40647887126.33,45671750000.0
2025-04-10,ROST,137.0,126.54,139.29,126.0,126.9,7302207,987373031.0499,135.22,2.22,328834209,328834000.0,40094755103.37,45050262000.0
