dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,SBUX,88.11,86.63,88.54,86.02,86.6,8740891,766855010.0865,87.73,0.77,1136400000,1136400000.0,93119230776.85,100128190000.0
2025-06-04,SBUX,86.6,85.07,87.49,84.4,85.19,8287652,716558671.2843,86.46,0.73,1136400000,1136400000.0,91523390597.96,98412188000.0
2025-06-03,SBUX,85.19,83.28,85.3,83.19,83.95,8258867,699834131.9334,84.74,0.73,1136400000,1136400000.0,90033225050.56,96809875000.0
2025-05-31,SBUX,83.95,83.94,84.27,83.19,84.05,7394094,619692348.6672,83.81,0.65,1136400000,1136400000.0,88722722229.44,95400750000.0
2025-05-30,SBUX,84.05,84.9,85.7,83.7,86.0,10312547,870856489.2888,84.45,0.91,1136400000,1136400000.0,88828414827.41,95514375000.0
2025-05-29,SBUX,86.0,87.43,87.6,84.54,87.01,12328516,1060297905.2096,86.0,1.08,1136400000,1136400000.0,90889272000.0,97730380000.0
2025-05-28,SBUX,87.01,85.43,87.09,85.22,84.4,10922301,946049332.8732,86.62,0.96,1136400000,1136400000.0,91956687235.74,98878125000.0
2025-05-24,SBUX,84.4,82.58,84.83,82.57,83.97,7088242,597560781.2384,84.3,0.62,1136400000,1136400000.0,89198302458.89,95912125000.0
2025-05-23,SBUX,83.97,83.22,84.48,82.72,82.98,8440410,708941256.9766,83.99,0.74,1136400000,1136400000.0,88743864553.7,95423440000.0
2025-05-22,SBUX,82.98,84.41,85.51,82.51,85.59,10875430,913290357.0329,83.98,0.96,1136400000,1136400000.0,87697574732.59,94298440000.0
2025-05-21,SBUX,85.59,84.52,86.15,84.45,84.61,9310598,795074866.4556,85.39,0.82,1136400000,1136400000.0,90455959509.44,97264380000.0
2025-05-20,SBUX,84.61,84.45,85.14,84.11,85.57,9568067,808973386.3392,84.55,0.84,1136400000,1136400000.0,89420248776.85,96150750000.0
2025-05-17,SBUX,85.57,86.62,86.91,84.28,86.65,13109489,1118481897.918,85.32,1.15,1136400000,1136400000.0,90434834094.82,97241690000.0
2025-05-16,SBUX,86.65,85.94,87.17,85.22,85.93,13721891,1191539032.7959,86.23,1.21,1136400000,1136400000.0,92220900235.74,99162190000.0
2025-05-15,SBUX,86.54,86.71,87.63,85.74,86.88,12741547,1106307727.5765,86.83,1.12,1136400000,1136400000.0,91454692047.41,98338313000.0
2025-05-14,SBUX,86.88,85.87,87.14,85.1,85.67,11533704,997603102.4647,86.49,1.01,1136400000,1136400000.0,91819307044.26,98730380000.0
2025-05-13,SBUX,85.67,83.65,86.54,83.64,80.3,17241551,1468750953.2626,85.19,1.52,1136400000,1136400000.0,90540509783.15,97355310000.0
2025-05-10,SBUX,80.3,82.41,82.67,80.2,82.19,8210711,663486996.2897,80.81,0.72,1136400000,1136400000.0,91252924545.6,91252880000.0
2025-05-09,SBUX,82.19,83.34,83.6,81.69,82.71,8759817,721157260.4937,82.33,0.77,1136400000,1136400000.0,93400719409.2,93400630000.0
2025-05-08,SBUX,82.71,82.97,83.23,82.14,82.78,8227254,679973460.2116,82.65,0.72,1136400000,1136400000.0,93991651954.8,93991630000.0
2025-05-07,SBUX,82.78,81.0,83.37,80.61,81.66,10709520,884144782.3975,82.56,0.94,1136400000,1136400000.0,94071190863.6,94071130000.0
2025-05-06,SBUX,81.66,84.0,84.08,81.59,84.69,13361872,1100109658.8659,82.33,1.18,1136400000,1136400000.0,92798428545.6,92798375000.0
2025-05-03,SBUX,84.69,82.59,84.83,82.05,82.01,13512926,1135618179.7715,84.04,1.19,1136400000,1136400000.0,96241719409.2,96241688000.0
2025-05-02,SBUX,82.01,80.71,82.71,80.27,80.05,18326735,1493080804.8364,81.47,1.61,1136400000,1136400000.0,93196158318.0,93196063000.0
2025-05-01,SBUX,80.05,76.37,80.28,75.5,84.85,41297024,3251211209.1779,78.73,3.63,1136400000,1136400000.0,90968824545.6,90968750000.0
2025-04-30,SBUX,84.85,83.64,85.07,83.2,83.9,16356942,1377427932.6991,84.21,1.44,1135900000,1135900000.0,96381122951.3,96381060000.0
2025-04-29,SBUX,83.9,84.33,85.06,83.27,83.81,7071719,594815028.3276,84.11,0.62,1135900000,1135900000.0,95302003184.6,95302000000.0
2025-04-26,SBUX,83.81,83.63,83.99,82.46,83.86,5799430,484200819.0702,83.49,0.51,1135900000,1135900000.0,95199776728.2,95199750000.0
2025-04-25,SBUX,83.86,82.39,84.14,81.58,82.81,6771527,564404750.7634,83.35,0.6,1135900000,1135900000.0,95256575135.9,95256500000.0
2025-04-23,SBUX,81.75,81.91,83.49,81.62,80.68,10408575,856488381.3529,82.29,0.92,1135900000,1135900000.0,92859825000.0,92859750000.0
2025-04-22,SBUX,80.68,80.36,80.82,78.13,81.5,10595622,841508484.5107,79.42,0.93,1135900000,1135900000.0,91644404048.7,91644375000.0
2025-04-18,SBUX,81.5,81.25,82.55,81.2,80.76,9787508,800043657.0429,81.74,0.86,1135900000,1135900000.0,92575850000.0,92575810000.0
2025-04-17,SBUX,80.76,83.3,83.52,79.89,83.71,13080848,1063628669.8954,81.31,1.15,1135900000,1135900000.0,91735278320.5,91735190000.0
2025-04-16,SBUX,83.71,85.5,86.06,83.46,85.49,7088578,596717204.8978,84.18,0.62,1135900000,1135900000.0,95086196951.3,95086130000.0
2025-04-15,SBUX,85.49,86.32,86.77,83.4,85.43,8880492,755009714.5818,85.02,0.78,1135900000,1135900000.0,97108097815.4,97108060000.0
2025-04-12,SBUX,85.43,84.43,85.82,82.08,84.6,10059727,849288498.5023,84.42,0.89,1135900000,1135900000.0,97039929048.7,97039880000.0
2025-04-11,SBUX,84.6,86.11,86.58,81.67,88.68,16209250,1360071241.7213,83.91,1.43,1135900000,1135900000.0,96097147951.3,96097060000.0
2025-04-10,SBUX,88.68,79.23,89.13,77.93,79.69,26668106,2243768994.2284,84.14,2.35,1135900000,1135900000.0,100731604048.7,100731600000.0
2025-04-09,SBUX,79.69,83.07,83.48,78.69,80.0,20534594,1671366069.5984,81.39,1.81,1135900000,1135900000.0,90519874407.7,90519813000.0
2025-04-08,SBUX,80.0,78.63,83.27,76.15,82.1,26099352,2069065409.3248,79.28,2.3,1135900000,1135900000.0,90872000000.0,90871940000.0
2025-04-05,SBUX,82.1,84.66,85.43,81.3,88.26,19700141,1629648913.0011,82.72,1.73,1135900000,1135900000.0,93257397951.3,93257310000.0
2025-04-04,SBUX,88.26,93.35,93.39,87.65,99.41,20490055,1835775865.5828,89.59,1.8,1135900000,1135900000.0,100254528320.5,100254500000.0
2025-04-03,SBUX,99.41,97.41,99.75,97.41,98.23,6043293,598054554.9214,98.96,0.53,1135900000,1135900000.0,112919823543.6,112919800000.0
2025-04-02,SBUX,98.23,97.85,98.9,97.13,98.09,5868430,575465311.3897,98.06,0.52,1135900000,1135900000.0,111579452456.4,111579400000.0
2025-04-01,SBUX,98.09,96.62,98.82,94.58,97.73,11302852,1102246248.9522,97.52,1.0,1135900000,1135900000.0,111420427592.3,111420400000.0
2025-03-29,SBUX,97.73,98.0,98.49,97.06,98.85,8066629,787651501.0393,97.64,0.71,1135900000,1135900000.0,111011502456.4,111011440000.0
2025-03-28,SBUX,98.85,97.9,99.92,97.54,97.97,9140965,905704125.1877,99.08,0.8,1135900000,1135900000.0,112283722951.3,112283690000.0
2025-03-27,SBUX,97.97,96.0,98.39,96.0,95.88,9567223,936464652.4526,97.88,0.84,1135900000,1135900000.0,111284125271.8,111284070000.0
2025-03-26,SBUX,95.88,96.19,96.97,94.77,95.72,6976609,667701917.7258,95.71,0.61,1135900000,1135900000.0,108910097679.5,108910000000.0
2025-03-25,SBUX,95.72,98.03,98.2,95.63,97.07,8248832,795137895.3103,96.39,0.73,1135900000,1135900000.0,108728350271.8,108728320000.0
2025-03-22,SBUX,97.07,97.94,98.01,96.29,99.28,11366024,1103805760.48,97.11,1.0,1135900000,1135900000.0,110261822087.2,110261750000.0
2025-03-21,SBUX,99.28,98.85,99.69,98.67,99.19,5952758,590947573.4692,99.27,0.52,1135900000,1135900000.0,112772150864.1,112772100000.0
2025-03-20,SBUX,99.19,98.27,99.53,97.95,98.28,4982672,493543108.7461,99.05,0.44,1135900000,1135900000.0,112669924407.7,112669880000.0
2025-03-19,SBUX,98.28,99.23,99.37,97.68,99.08,7423375,731545427.1185,98.55,0.65,1135900000,1135900000.0,111636250864.1,111636190000.0
