dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,SNPS,473.19,467.32,474.22,463.6,466.26,972566,457914280.7,470.83,0.63,155160938,155161000.0,69015360704.52,73420563000.0
2025-06-04,SNPS,466.26,464.56,471.96,461.12,466.15,1295322,603472372.3388,465.89,0.83,155160938,155161000.0,68004620073.28,72345313000.0
2025-06-03,SNPS,466.15,459.92,466.46,452.49,463.98,1299357,599743041.0687,461.57,0.84,155160938,155161000.0,67988561847.16,72328188000.0
2025-05-31,SNPS,463.98,450.36,465.76,447.48,454.99,3356647,1543847829.5625,459.94,2.16,155160938,155161000.0,67672076233.93,71991500000.0
2025-05-30,SNPS,454.99,473.0,487.99,437.69,462.43,4315285,1975454490.0695,457.78,2.78,155160938,155161000.0,66360874669.78,70596625000.0
2025-05-29,SNPS,462.43,511.02,514.99,445.0,511.79,4806215,2290836192.0238,476.64,3.11,155160938,154620000.0,63858446292.22,71500880000.0
2025-05-28,SNPS,511.79,507.14,515.08,504.36,498.85,1252201,640354078.5868,511.38,0.81,154620076,154620000.0,70428383243.95,79132938000.0
2025-05-24,SNPS,498.85,495.32,501.97,493.73,503.48,670213,334289677.9063,498.78,0.43,154620076,154620000.0,68647693933.4,77132188000.0
2025-05-23,SNPS,503.48,500.74,506.59,497.12,501.46,774906,390023471.6888,503.32,0.5,154620076,154620000.0,69284821743.27,77848060000.0
2025-05-22,SNPS,501.46,507.22,514.02,501.27,515.61,866234,438829371.4507,506.59,0.56,154620076,154620000.0,69006843018.4,77535750000.0
2025-05-21,SNPS,515.61,512.5,515.73,508.0,516.01,740820,380270906.856,513.31,0.48,154620076,154620000.0,70954070211.17,79723630000.0
2025-05-20,SNPS,516.01,507.5,518.47,504.14,514.43,848761,436870094.5035,514.72,0.55,154620076,154620000.0,71009101197.04,79785440000.0
2025-05-17,SNPS,514.43,514.48,516.67,509.74,514.48,948144,487249959.5314,513.9,0.61,154620076,154620000.0,70791664813.33,79541130000.0
2025-05-16,SNPS,514.48,516.63,521.1,512.19,517.66,826697,426990414.1519,516.5,0.53,154620076,154620000.0,70798552287.31,79548880000.0
2025-05-15,SNPS,517.66,512.36,518.08,512.36,515.71,881661,455011126.7074,516.08,0.57,154620076,154620000.0,71236148393.57,80040563000.0
2025-05-14,SNPS,515.71,506.58,516.58,505.58,505.59,823434,422850453.4898,513.52,0.53,154620076,154620000.0,70967812132.27,79739060000.0
2025-05-13,SNPS,505.59,503.66,506.66,497.05,482.9,1099988,553427711.5409,503.12,0.71,154620076,154620000.0,69575196545.18,78174310000.0
2025-05-10,SNPS,482.9,487.11,487.84,479.03,484.5,571662,275935222.0825,482.69,0.37,154620076,154620000.0,70186059537.52,74665940000.0
2025-05-09,SNPS,484.5,485.0,491.32,482.72,480.54,1011946,492290488.2535,486.48,0.65,154620076,154620000.0,70418621212.68,74913380000.0
2025-05-08,SNPS,480.54,474.15,483.86,473.11,473.55,899671,431407188.0353,479.52,0.58,154620076,154620000.0,69843069255.49,74301060000.0
2025-05-07,SNPS,473.55,468.76,478.53,467.86,477.41,834409,395658374.1138,474.18,0.54,154620076,154620000.0,68827124037.56,73220310000.0
2025-05-06,SNPS,477.41,469.17,482.87,465.59,472.28,1074753,515123137.2733,479.29,0.7,154620076,154620000.0,69388128626.74,73817125000.0
2025-05-03,SNPS,472.28,469.85,476.44,467.59,459.36,1294009,612379653.0397,473.24,0.84,154620076,154620000.0,68642535683.97,73023938000.0
2025-05-02,SNPS,459.36,462.47,467.73,457.7,459.01,1137680,526515869.3648,462.8,0.74,154620076,154620000.0,66764717412.39,71026250000.0
2025-05-01,SNPS,459.01,449.67,460.71,448.65,460.77,1339198,609484182.9133,455.11,0.87,154620076,154620000.0,66713832873.1,70972130000.0
2025-04-30,SNPS,460.77,445.83,462.43,444.24,443.97,1415418,646780378.9132,456.95,0.92,154620076,154620000.0,66969637780.27,71244250000.0
2025-04-29,SNPS,443.97,444.39,447.46,436.88,446.62,1115287,494095562.027,443.02,0.72,154620076,154620000.0,64527871726.36,68646625000.0
2025-04-26,SNPS,446.62,435.64,447.31,433.31,438.9,1032145,457264428.4788,443.02,0.67,154620076,154620000.0,64913050683.68,69056380000.0
2025-04-25,SNPS,438.9,426.16,440.19,423.0,422.23,1086625,475097605.3687,437.22,0.7,154620076,154620000.0,63790973194.16,67862690000.0
2025-04-24,SNPS,422.23,432.34,441.38,420.17,413.4,1005926,430026494.5254,427.49,,154620076,,61368119154.68,
2025-04-23,SNPS,413.4,407.69,417.16,402.86,402.36,946540,389372035.6862,411.36,0.61,154620076,154620000.0,60084729972.44,63919922000.0
2025-04-22,SNPS,402.36,406.26,407.29,396.03,413.32,901557,361073578.5,400.5,0.58,154620076,154620000.0,58480173740.31,62212915000.0
2025-04-18,SNPS,413.32,421.38,421.78,412.1,415.65,1002463,416478345.862,415.46,0.65,154620076,154620000.0,60073125797.58,63907550000.0
2025-04-17,SNPS,415.65,416.19,423.56,408.62,425.65,1064375,443691062.425,416.86,0.69,154620076,154620000.0,60411751433.18,64267790000.0
2025-04-16,SNPS,425.65,423.09,430.32,422.23,421.98,1016070,432597512.8134,425.76,0.66,154620076,154620000.0,61865180147.58,65813940000.0
2025-04-15,SNPS,421.98,428.9,430.55,416.0,421.21,1119621,473873855.7905,423.24,0.72,154620076,154620000.0,61331783436.82,65246570000.0
2025-04-12,SNPS,421.21,407.07,425.71,402.83,406.89,1745748,727170537.5413,416.54,1.13,154620076,154620000.0,61219866518.96,65127500000.0
