dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,TEAM,210.92,210.0,214.25,210.0,210.89,1328912,280711942.2619,211.23,0.5,165244900,263253000.0,33110781592.6,55525309000.0
2025-06-04,TEAM,210.89,204.98,211.24,203.91,205.63,2935928,612206194.9609,208.52,1.12,165244900,263253000.0,33106072112.95,55517418000.0
2025-06-03,TEAM,205.63,207.0,208.21,198.5,207.63,2439284,499351218.4576,204.71,0.93,165244900,263253000.0,32280344917.48,54132704000.0
2025-05-31,TEAM,207.63,204.33,207.98,201.73,203.93,3481435,716110325.7043,205.69,1.32,165244900,263253000.0,32594310227.48,54659210000.0
2025-05-30,TEAM,203.93,215.5,215.5,203.64,213.03,2866863,589980910.7316,205.79,1.09,165244900,263253000.0,32013472834.15,53685176000.0
2025-05-29,TEAM,213.03,211.1,214.01,209.71,211.08,1586981,337212212.8244,212.49,0.6,165244900,263253000.0,33442014994.65,56080770000.0
2025-05-28,TEAM,211.08,209.51,211.95,207.53,206.82,1720546,362665116.5554,210.78,0.65,165244900,263253000.0,33135900387.23,55567434000.0
2025-05-24,TEAM,206.82,203.61,207.57,202.79,208.37,2037889,420612769.7896,206.4,0.77,165244900,263253000.0,32467154276.93,54445977000.0
2025-05-23,TEAM,208.37,208.27,210.65,206.5,209.17,2390340,499293980.166,208.88,0.91,165244900,263253000.0,32710475822.35,54854010000.0
2025-05-22,TEAM,209.17,214.17,215.28,208.63,214.49,1718619,363117040.5198,211.28,0.65,165244900,263253000.0,32836061946.35,55064620000.0
2025-05-21,TEAM,214.49,214.14,215.78,211.46,214.47,1780229,381636057.8063,214.37,0.68,165244900,263253000.0,33671211240.78,56465130000.0
2025-05-20,TEAM,214.47,215.58,216.51,213.72,220.79,2742363,589334384.5962,214.9,1.04,165244900,263253000.0,33668071587.68,56459860000.0
2025-05-17,TEAM,220.79,220.7,223.42,218.74,220.88,1731268,382858318.7044,221.14,0.66,165244900,263253000.0,34660200397.45,58123620000.0
2025-05-16,TEAM,220.88,220.54,222.73,217.45,224.88,1737536,382738174.9504,220.28,0.66,165244900,263253000.0,34674330406.23,58147310000.0
2025-05-15,TEAM,224.88,228.0,230.63,223.91,229.52,2016923,455038804.7992,225.61,0.77,165244900,263253000.0,35302261026.23,59200321000.0
2025-05-14,TEAM,229.52,224.34,232.36,224.14,223.75,1642890,377093527.434,229.53,0.62,165244900,263253000.0,36030660545.43,60421820000.0
2025-05-13,TEAM,223.75,219.67,224.35,218.5,207.52,2413888,537195108.2669,222.54,0.92,165244900,263253000.0,35124869056.25,58902850000.0
2025-05-10,TEAM,207.52,208.5,211.08,204.72,208.22,1480263,307463799.4407,207.71,0.56,165244900,263253000.0,32577042135.43,54630250000.0
2025-05-09,TEAM,208.22,208.5,211.5,205.8,205.71,1552302,324098785.6648,208.79,0.59,165244900,263253000.0,32686929993.93,54814530000.0
2025-05-08,TEAM,205.71,208.26,209.5,203.53,207.89,2203262,453503388.3,205.83,0.84,165244900,263253000.0,33992530031.45,54153770000.0
2025-05-07,TEAM,207.89,205.11,208.75,203.59,207.78,1868727,386420227.7502,206.78,0.71,165244900,263253000.0,34352762261.0,54727650000.0
2025-05-06,TEAM,207.78,207.29,213.82,206.6,208.48,2339784,490902383.1506,209.81,0.89,165244900,264223000.0,34334585322.0,54900165000.0
2025-05-03,TEAM,208.48,204.73,216.36,203.0,229.07,8184797,1725817730.4785,210.86,3.11,163992257,262970000.0,34189105739.36,54823965000.0
2025-05-02,TEAM,229.07,239.67,242.0,228.62,228.31,4420965,1027528643.037,232.42,1.68,163992257,262970000.0,37565707950.91,60238520000.0
2025-05-01,TEAM,228.31,223.74,228.65,220.01,228.49,1632007,368123169.3529,225.56,0.62,163992257,262970000.0,37441072195.67,60038660000.0
2025-04-30,TEAM,228.49,229.14,233.13,227.69,229.83,1236188,283006081.686,228.93,0.47,163992257,262970000.0,37470592441.85,60086000000.0
