dt,symbol,close,open,high,low,pre_close,return,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-04,TMUS,243.88,241.97,244.43,241.43,243.06,,3630852,883503931.2048,243.33,0.32,1135445108,1135445000.0,113534069360.33,276912320000.0
2025-06-03,TMUS,243.06,239.57,243.37,238.9,242.2,0.0588235294117645,2579028,625194041.0088,242.41,0.23,1135445108,1135445000.0,113152328059.7,275981250000.0
2025-05-31,TMUS,242.2,239.58,243.32,238.43,238.42,3.416666666666667,8313481,2013235040.8479,242.17,0.73,1135445108,1135445000.0,112751970114.62,275004800000.0
2025-05-30,TMUS,238.42,240.93,240.93,235.87,240.62,-1.5786163522012577,3127730,747082394.021,237.98,0.28,1135445108,1135445000.0,111401930536.53,271712000000.0
2025-05-29,TMUS,241.51,243.1,243.51,241.06,243.36,-0.17391304347826086,2468609,596807974.1953,241.76,0.22,1135445108,1135445000.0,112430752693.56,274221320000.0
2025-05-28,TMUS,243.36,243.79,245.89,242.22,242.88,-1.263157894736842,3717748,907265875.2047,244.04,0.33,1135445108,1135445000.0,113291992463.31,276321880000.0
2025-05-24,TMUS,242.88,241.01,243.35,238.58,240.82,3.3,4174024,1010311656.7376,242.05,0.37,1135445108,1135445000.0,113068536866.05,275776880000.0
2025-05-23,TMUS,240.82,241.53,242.06,239.44,240.76,-0.9767441860465116,3200637,770914101.5463,240.86,0.28,1135445108,1135445000.0,112109539927.83,273437900000.0
2025-05-22,TMUS,240.76,241.21,243.23,239.01,241.21,-10.5,4110215,990705713.6271,241.04,0.36,1135445108,1135445000.0,112081603322.85,273369700000.0
2025-05-21,TMUS,241.21,245.12,245.63,239.12,244.25,5.526315789473684,4788059,1153794377.8247,240.97,0.42,1135445108,1135445000.0,112291097600.6,273880700000.0
2025-05-20,TMUS,244.25,243.0,246.02,242.91,242.66,-1.532258064516129,4237953,1035726471.3243,244.39,0.37,1135445108,1135445000.0,113706311727.89,277332400000.0
2025-05-17,TMUS,242.66,240.52,243.32,238.64,240.16,0.5757575757575757,4402168,1064740488.3064,241.87,0.39,1135445108,1135445000.0,112966119717.31,275527100000.0
2025-05-16,TMUS,240.16,237.12,242.44,236.42,235.29,0.9903846153846152,5215016,1253070354.6494,240.28,0.46,1135445108,1135445000.0,111802288481.61,272688400000.0
2025-05-15,TMUS,235.29,233.84,235.55,232.24,237.34,-1.4154589371980677,4169039,975924919.7593,234.09,0.37,1135445108,1135445000.0,109535140579.14,267158820000.0
2025-05-14,TMUS,237.34,239.26,240.28,235.9,240.32,0.4418604651162792,4712770,1119903122.6597,237.63,0.42,1135445108,1135445000.0,110489482192.42,269486500000.0
