dt,symbol,close,open,high,low,pre_close,return,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-04,TSLA,344.27,346.6,355.4,343.04,342.69,,99324563,34634106623.9713,348.7,3.08,3220956211,3220956000.0,964724433486.68,1108878000000.0
2025-06-03,TSLA,342.69,343.5,348.02,333.33,346.46,-3.369565217391304,81873813,27791742421.2887,339.45,2.54,3220956211,3220956000.0,960296710922.81,1103788000000.0
2025-05-31,TSLA,346.46,355.52,363.68,345.29,358.43,2.0642201834862384,123474940,43593828948.7634,353.06,3.83,3220956211,3220956000.0,970861181243.91,1115931000000.0
2025-05-30,TSLA,358.43,365.29,367.71,356.0,356.9,-1.1287425149700598,88545688,32008250592.9586,361.49,2.75,3220956211,3220956000.0,1004403813062.68,1154486000000.0
2025-05-29,TSLA,356.9,364.84,365.0,355.91,362.89,-4.837209302325581,91404313,32994547575.3093,360.97,2.84,3220956211,3220956000.0,1000116314183.26,1149558000000.0
2025-05-28,TSLA,362.89,347.35,363.79,347.32,339.34,-5.206060606060607,120146440,43005473846.9816,357.94,3.73,3220956211,3220956000.0,1016901655263.33,1168852000000.0
2025-05-24,TSLA,339.34,337.92,343.18,333.21,341.04,-1.0720461095100864,84654813,28657390470.7146,338.52,2.63,3220956211,3220956000.0,950909626358.32,1092998000000.0
2025-05-23,TSLA,341.04,331.9,347.27,331.39,334.62,-4.84,97113438,33192785572.1001,341.79,3.02,3220956211,3220956000.0,955673280482.79,1098474000000.0
2025-05-22,TSLA,334.62,344.43,347.35,332.2,343.82,-2.3958333333333335,102354880,34898291425.8368,340.95,3.18,3220956211,3220956000.0,937683175840.42,1077796000000.0
2025-05-21,TSLA,343.82,347.87,354.99,341.63,342.09,-1.1902985074626866,131715570,45837952223.3913,348.01,4.09,3220956211,3220956000.0,963463569241.67,1107429000000.0
