dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,TTD,76.05,74.35,76.52,74.35,74.4,4942953,375617440.2888,75.99,1.01,448135991,491439000.0,31695091834.53,37373934000.0
2025-06-04,TTD,74.4,75.43,75.71,73.49,74.77,4236254,315889865.1766,74.57,0.86,448135991,491439000.0,31007422988.67,36563055000.0
2025-06-03,TTD,74.77,74.66,75.57,73.29,75.22,3911061,291176152.6355,74.45,0.8,448135991,491439000.0,31161631167.61,36744887000.0
2025-05-31,TTD,75.22,74.3,75.59,73.24,74.88,6880606,514216639.97,74.73,1.4,448135991,491439000.0,31349174829.54,36966040000.0
2025-05-30,TTD,74.88,77.79,78.03,74.55,76.94,5414867,408180222.7846,75.38,1.1,448135991,491439000.0,31207475479.49,36798950000.0
2025-05-29,TTD,76.94,76.17,77.12,75.84,76.06,6569672,503340071.6078,76.62,1.34,448135991,491439000.0,32066013577.51,37811310000.0
2025-05-28,TTD,76.06,75.56,76.56,74.45,73.89,4619481,350382095.0923,75.85,0.94,448135991,491439000.0,31699256998.64,37378844000.0
2025-05-24,TTD,73.89,72.09,74.35,71.85,74.33,4840742,356495505.4861,73.64,0.99,448135991,491439000.0,30794874588.74,36312422000.0
2025-05-23,TTD,74.33,74.4,75.16,73.84,74.47,4805715,358059426.7279,74.51,0.98,448135991,491439000.0,30978252669.79,36528660000.0
2025-05-22,TTD,74.47,76.0,76.79,74.12,77.06,6322969,475632071.1131,75.22,1.29,448135991,491439000.0,31036599975.82,36597460000.0
2025-05-21,TTD,77.06,76.2,77.44,75.87,76.32,4918945,377861082.1322,76.82,1.0,448135991,491439000.0,32116023470.27,37870280000.0
2025-05-20,TTD,76.32,74.2,76.89,74.11,76.31,4819508,367212300.7322,76.19,0.98,448135991,491439000.0,31807620448.93,37506620000.0
2025-05-17,TTD,76.31,77.5,77.51,76.13,77.5,6568344,503527273.9685,76.66,1.34,448135991,491439000.0,31803448616.55,37501700000.0
2025-05-16,TTD,77.5,78.03,78.29,75.02,79.14,9364043,717565669.3217,76.63,1.91,448135991,491439000.0,32299401551.33,38086520000.0
2025-05-15,TTD,79.14,77.68,79.95,77.26,78.14,11980551,941301205.4185,78.57,2.44,448135991,491439000.0,32982898564.8,38892477000.0
2025-05-14,TTD,78.14,80.02,80.55,78.03,79.4,14240782,1127565252.8691,79.18,2.9,448135991,491439000.0,32566132093.17,38401040000.0
2025-05-13,TTD,79.4,75.08,80.17,75.08,71.04,32485887,2558393479.8262,78.75,6.61,448135991,491439000.0,33091255346.82,39020250000.0
2025-05-10,TTD,71.04,69.75,75.77,68.98,59.9,48903743,3548118205.157,72.55,9.94,448135991,492055000.0,29607087644.0,34955580000.0
2025-05-09,TTD,59.9,57.69,61.05,57.61,56.46,26501969,1580513932.4423,59.64,5.38,448266598,492186000.0,24971584873.46,29481910000.0
2025-05-08,TTD,56.46,56.07,57.06,55.48,55.63,8565367,482002383.2954,56.27,1.74,448266598,492186000.0,23537495792.68,27788790000.0
2025-05-07,TTD,55.63,54.7,56.57,54.29,55.5,9570297,534351762.1059,55.83,1.94,448266598,492186000.0,22942107241.03,27380280000.0
2025-05-06,TTD,55.5,53.8,56.84,53.35,54.09,11724891,655856447.2557,55.94,2.38,448266598,492186000.0,22888492493.88,27316290000.0
2025-05-03,TTD,54.09,53.59,55.34,53.53,53.06,10786422,585334897.6098,54.27,2.19,448266598,492186000.0,22306999825.74,26622309000.0
2025-05-02,TTD,53.06,54.1,55.19,53.01,53.63,8839192,476033845.4368,53.85,1.8,448266598,492186000.0,21882222809.88,26115360000.0
2025-05-01,TTD,53.63,52.57,53.74,51.73,54.67,5451609,289436301.6735,53.09,1.11,448266598,492186000.0,22117296700.71,26395910000.0
2025-04-30,TTD,54.67,54.6,55.19,54.05,54.4,5684410,310337510.3762,54.59,1.15,448266598,492186000.0,22546195707.24,26907780000.0
2025-04-29,TTD,54.4,54.11,55.15,53.32,53.97,5168277,280441568.57,54.26,1.05,448266598,492186000.0,22434844222.27,26774887000.0
2025-04-26,TTD,53.97,53.66,54.33,53.05,53.27,6294375,338754475.5525,53.82,1.28,448266598,492186000.0,22257513255.35,26563250000.0
2025-04-25,TTD,53.27,50.32,53.41,50.15,50.08,6703992,352592483.7727,52.59,1.36,448266598,492186000.0,21968830803.45,26218720000.0
2025-04-23,TTD,48.66,48.2,49.77,47.68,47.56,8006156,388825339.0402,48.57,1.63,448266598,492186000.0,20067642095.61,23949743000.0
2025-04-22,TTD,47.56,48.7,48.94,46.82,50.26,6885000,327328088.31,47.54,1.4,448266598,492186000.0,19613993824.0,23408336000.0
2025-04-18,TTD,50.26,48.32,52.2,48.01,48.45,13961649,698199839.5448,50.01,2.84,448266598,492186000.0,20727486816.22,24737240000.0
2025-04-17,TTD,48.45,48.3,49.11,47.76,49.24,6085367,294778816.5295,48.44,1.24,448266598,492186000.0,19981034102.04,23846380000.0
2025-04-16,TTD,49.24,48.91,49.36,47.78,48.64,9762637,474456328.5651,48.6,1.98,448266598,492186000.0,20306837977.11,24235210000.0
2025-04-15,TTD,48.64,51.4,51.73,47.71,49.78,11666797,572257501.1957,49.05,2.37,448266598,492186000.0,20059392340.58,23939900000.0
2025-04-12,TTD,49.78,48.62,49.82,48.33,49.27,7147184,351706542.2047,49.21,1.45,448266598,492186000.0,20529533936.16,24500990000.0
2025-04-11,TTD,49.27,52.65,53.29,48.67,54.12,11727375,585729561.153,49.95,2.38,448266598,492186000.0,20319209722.81,24249980000.0
2025-04-10,TTD,54.12,45.0,54.72,44.95,45.27,16387211,844685263.9433,51.55,3.3,452425879,496345000.0,22526463820.83,26862180000.0
2025-04-09,TTD,45.27,48.69,48.84,44.69,46.34,11143481,519676180.7176,46.64,2.25,452425879,496345000.0,18842816060.1,22469532000.0
2025-04-08,TTD,46.34,44.34,49.33,42.96,46.24,15371305,706954092.8981,45.99,3.1,452425879,496345000.0,19288180765.54,23000620000.0
2025-04-05,TTD,46.24,46.98,48.03,45.02,49.08,15320614,713471755.6498,46.57,3.09,452425879,496345000.0,19246561330.75,22950990000.0
2025-04-04,TTD,49.08,52.91,52.97,48.86,56.3,15236274,760908634.8519,49.94,3.07,452425879,496345000.0,20428658002.48,24360610000.0
2025-04-03,TTD,56.3,55.5,57.68,55.48,57.1,10036325,568729422.3712,56.67,2.02,452425879,496345000.0,20886694613.87,27944210000.0
2025-04-02,TTD,57.1,54.54,57.55,54.37,54.72,9738801,551335972.5463,56.61,1.96,452425879,496345000.0,21183487103.46,28341290000.0
2025-04-01,TTD,54.72,54.43,55.03,52.9,55.85,8359266,452986994.4831,54.19,1.68,452425879,496345000.0,20300530903.06,27159990000.0
2025-03-29,TTD,55.85,57.0,57.76,55.56,57.26,6445570,362909413.8267,56.3,1.3,452425879,496345000.0,20719750577.49,27720864000.0
2025-03-28,TTD,57.26,58.66,59.09,57.22,58.8,6746762,391274420.8796,57.99,1.36,452425879,496345000.0,21242840926.92,28420704000.0
2025-03-27,TTD,58.8,62.49,62.5,58.5,62.0,10530528,628113318.9716,59.65,2.12,452425879,496345000.0,21814167665.82,29185075000.0
2025-03-26,TTD,62.0,60.63,62.05,60.36,59.34,12745348,780735422.5073,61.26,2.57,452425879,496345000.0,23001331688.36,30773383000.0
2025-03-25,TTD,59.34,57.55,59.47,56.94,56.31,9987074,583521803.4981,58.43,2.01,452425879,496345000.0,22014499248.12,29453102000.0
2025-03-22,TTD,56.31,54.74,56.8,54.15,55.85,9045625,506524226.7837,56.0,1.82,452425879,496345000.0,20890402280.14,27949172000.0
2025-03-21,TTD,55.85,55.1,57.23,54.88,55.32,8171246,459408662.6746,56.22,1.65,452425879,496345000.0,20719750577.49,27720860000.0
2025-03-20,TTD,55.32,54.06,56.17,53.95,53.59,9520750,526178482.2713,55.27,1.92,452425879,496345000.0,20523126661.46,27457801000.0
2025-03-19,TTD,53.59,55.97,56.29,53.39,56.5,11594192,627259665.4478,54.1,2.34,452425879,496345000.0,19881311228.63,26599118000.0
2025-03-18,TTD,56.5,54.32,56.68,54.05,53.94,17828235,989962703.0895,55.53,3.59,452425879,496345000.0,20960890974.07,28043485000.0
2025-03-15,TTD,53.94,55.01,55.4,53.42,53.88,22269797,1206314773.3158,54.17,4.49,452425879,496345000.0,20011159681.84,26772840000.0
2025-03-14,TTD,53.88,57.58,58.72,53.74,60.2,20891395,1165745962.1787,55.8,4.21,452425879,496345000.0,19988901070.57,26743059000.0
2025-03-13,TTD,60.2,60.19,60.63,57.86,58.84,12516774,745273857.6422,59.54,2.52,452425879,496345000.0,22333549977.99,29879958000.0
2025-03-12,TTD,58.84,60.63,62.58,58.57,60.31,16122227,961782753.3661,59.66,3.25,452425879,496345000.0,21829004637.73,29204930000.0
2025-03-11,TTD,60.31,64.04,64.6,60.2,64.91,13483020,833125189.9819,61.79,2.72,452425879,496345000.0,22374359163.26,29934559000.0
2025-03-08,TTD,64.91,65.22,67.2,63.82,64.98,11418946,743488807.3062,65.11,2.3,452425879,496345000.0,24080911804.79,32217747000.0
2025-03-06,TTD,66.54,66.87,67.32,65.01,67.6,10976887,724462489.3781,66.0,2.21,452425879,496345000.0,24685620524.77,33026782000.0
