dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,TTWO,229.18,229.52,230.4,227.2,229.65,1757466,402364476.9175,228.95,0.97,181894416,181894000.0,39185368523.35,41686555000.0
2025-06-04,TTWO,229.65,227.0,229.85,224.0,227.6,1832336,417927623.6256,228.08,1.01,181894416,181894000.0,39265729476.34,41772047000.0
2025-06-03,TTWO,227.6,226.1,227.63,222.12,226.28,2472701,558222636.0942,225.75,1.36,181894416,181894000.0,38915220646.51,41399165000.0
2025-05-31,TTWO,226.28,225.4,226.95,224.26,225.39,3647903,824170724.79,225.93,2.01,181894416,181894000.0,38689524345.33,41159060000.0
2025-05-30,TTWO,225.39,228.66,228.66,223.72,228.33,2137661,481835437.5257,225.4,1.18,181894416,181894000.0,38537351476.91,40997176000.0
2025-05-29,TTWO,228.33,226.34,229.88,226.34,226.27,2077566,474461455.1899,228.37,1.14,181894416,181894000.0,39040036594.77,41531950000.0
2025-05-28,TTWO,226.27,226.0,227.5,224.0,224.99,2372263,536987611.4393,226.36,1.3,181894416,181894000.0,38687816247.63,41157243000.0
2025-05-24,TTWO,224.99,225.92,226.16,224.0,226.01,1863014,419866924.9059,225.37,1.02,181894416,181894000.0,34785762503.57,40924418000.0
2025-05-23,TTWO,226.01,228.03,228.4,223.12,226.76,4751086,1072772413.5872,225.8,2.61,181894416,181894000.0,34943463416.14,41109950000.0
2025-05-22,TTWO,226.76,228.03,231.64,226.67,237.5,6081063,1392418150.4049,228.98,3.43,177424908,177425000.0,37818899809.8,40232880000.0
2025-05-21,TTWO,237.5,233.02,237.62,232.54,234.66,1729504,407758257.359,235.77,0.98,177100000,177100000.0,39537575000.0,42061250000.0
2025-05-20,TTWO,234.66,226.74,235.72,225.45,226.74,2189996,511094696.492,233.38,1.24,177100000,177100000.0,39064790504.74,41558280000.0
2025-05-17,TTWO,226.74,236.58,240.78,226.11,232.34,4381391,1006063764.202,229.62,2.47,177100000,177100000.0,35738533636.19,40155650000.0
