dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,TXN,190.72,188.91,192.1,188.48,188.08,5780598,1103539858.6518,190.9,0.64,908472079,908472000.0,162867975752.1,173263690000.0
2025-06-04,TXN,188.08,183.24,188.5,182.62,184.21,5612586,1051153730.2686,187.29,0.62,908472079,908472000.0,160613511440.86,170865380000.0
2025-06-03,TXN,184.21,181.85,184.71,181.61,182.85,5648317,1037652372.5532,183.71,0.62,908472079,908472000.0,157308671711.87,167349570000.0
2025-05-31,TXN,182.85,184.98,185.14,179.76,184.99,15101122,2756235796.8804,182.52,1.66,908472079,908472000.0,156147281006.08,166114100000.0
2025-05-30,TXN,184.99,186.24,186.48,182.93,184.15,4534852,837323236.0136,184.64,0.5,908472079,908472000.0,157974763440.19,168058190000.0
2025-05-29,TXN,184.15,183.35,185.92,183.09,183.24,5752789,1060725180.8984,184.38,0.63,908472079,908472000.0,157257425346.98,167295100000.0
2025-05-28,TXN,183.24,179.1,183.33,177.84,176.3,7939410,1448663731.1031,182.46,0.87,908472079,908472000.0,156480326870.24,166468380000.0
2025-05-24,TXN,176.3,177.01,177.29,173.75,180.21,7417051,1302526942.908,175.61,0.82,908472079,908472000.0,150553818415.68,160163570000.0
2025-05-23,TXN,180.21,185.94,186.91,179.98,185.42,7500789,1363422166.9245,181.77,0.83,908472079,908472000.0,153892816694.83,163715700000.0
2025-05-22,TXN,185.42,186.5,189.9,184.73,188.71,8977707,1677156956.4216,186.81,0.99,908472079,908472000.0,158341959314.89,168448800000.0
2025-05-21,TXN,188.71,188.34,189.0,186.92,188.34,5289188,995774320.8999,188.27,0.58,908472079,908472000.0,161151508606.04,171437800000.0
2025-05-20,TXN,188.34,185.0,188.48,184.25,188.5,6460922,1212101271.81,187.61,0.71,908472079,908472000.0,160835533477.33,171101600000.0
2025-05-17,TXN,188.5,189.31,189.31,186.81,187.83,4518715,849760668.3111,188.05,0.5,908472079,908472000.0,160972167678.01,171246900000.0
2025-05-16,TXN,187.83,186.17,189.76,185.51,187.34,5533965,1040181770.088,187.96,0.61,908472079,908472000.0,160400020502.29,170638300000.0
2025-05-15,TXN,187.34,187.47,187.73,185.05,188.2,6552281,1222652423.9823,186.6,0.72,908472079,908472000.0,159981569723.07,170193070000.0
2025-05-14,TXN,188.2,186.34,189.51,186.34,187.28,9837496,1853361718.5342,188.4,1.08,908472079,908472000.0,160715978551.73,170974400000.0
