dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,VRSK,321.33,318.1,321.58,316.8,317.51,1006769,322219176.9971,320.05,0.72,139884077,139884000.0,42252023953.95,44948930000.0
2025-06-04,VRSK,317.51,314.55,318.23,312.84,316.99,868763,274946314.0555,316.48,0.62,139884077,139884000.0,41749719005.88,44414563000.0
2025-06-03,VRSK,316.99,312.69,317.05,310.87,314.14,592941,187092144.2237,315.53,0.42,139884077,139884000.0,41681342354.14,44341821000.0
2025-05-31,VRSK,314.14,315.56,316.37,313.68,314.32,1204511,378800485.2486,314.48,0.86,139884077,139884000.0,41306579762.75,43943160000.0
2025-05-30,VRSK,314.32,315.79,316.49,312.45,315.96,774120,243157594.608,314.11,0.55,139884077,139884000.0,41330270502.05,43968348000.0
2025-05-29,VRSK,315.96,316.16,317.81,314.3,316.16,613322,193988388.1657,316.29,0.44,139884077,139884000.0,41545902646.05,44197760000.0
2025-05-28,VRSK,316.16,314.88,317.1,313.02,313.77,687323,217129129.723,315.91,0.49,139884077,139884000.0,41572194277.98,44225700000.0
2025-05-24,VRSK,313.77,312.84,314.59,311.59,314.34,548022,171795799.8348,313.48,0.39,139884077,139884000.0,41257943859.69,43891422000.0
2025-05-23,VRSK,314.34,311.69,315.11,309.96,312.33,699681,219218803.3125,313.31,0.5,139884077,139884000.0,41332902952.52,43971130000.0
2025-05-22,VRSK,312.33,312.52,314.01,311.14,313.1,566242,176882336.2148,312.38,0.4,139884077,139884000.0,41068604662.53,43689980000.0
2025-05-21,VRSK,313.1,312.38,314.02,310.78,314.35,508319,158860611.2753,312.52,0.36,139884077,139884000.0,41169855387.28,43797710000.0
2025-05-20,VRSK,314.35,309.76,314.65,309.76,309.57,740735,232232903.8847,313.52,0.53,139884077,139884000.0,41334219177.76,43972570000.0
2025-05-17,VRSK,309.57,307.88,309.78,305.21,307.36,749842,231489010.2061,308.72,0.54,139884077,139884000.0,40705688098.25,43303890000.0
2025-05-16,VRSK,307.36,302.17,307.71,302.06,301.27,680941,208668186.5057,306.44,0.49,139884077,139884000.0,40415098176.33,42994770000.0
2025-05-15,VRSK,301.27,299.93,302.25,296.97,301.57,835459,250938147.7656,300.36,0.6,139884077,139884000.0,39614305954.94,42142875000.0
2025-05-14,VRSK,301.57,303.65,304.53,301.18,303.65,846808,255762072.2822,302.03,0.61,139884077,139884000.0,39653759839.21,42184850000.0
2025-05-13,VRSK,303.65,309.82,310.67,301.04,309.5,990485,300416576.7125,303.3,0.71,139884077,139884000.0,39927240147.99,42475790000.0
2025-05-10,VRSK,309.5,307.85,310.33,305.83,307.85,707179,218483440.0035,308.95,0.51,139884077,139884000.0,40696474521.61,43294110000.0
2025-05-09,VRSK,307.85,312.0,312.82,307.39,309.9,948224,293329254.0928,309.35,0.68,139884077,139884000.0,40479527467.29,43063290000.0
2025-05-08,VRSK,309.9,302.58,312.62,300.75,296.19,1510864,465426535.2907,308.05,1.08,139944616,139945000.0,40766694469.18,43368820000.0
2025-05-07,VRSK,296.19,294.26,297.54,292.27,294.75,880029,260666481.8624,296.2,0.63,139944616,139945000.0,38963177486.86,41450180000.0
2025-05-06,VRSK,294.75,293.14,295.0,290.99,293.9,645190,189803368.4547,294.18,0.46,139944616,139945000.0,38773755032.04,41248676000.0
2025-05-03,VRSK,293.9,297.96,298.69,291.56,294.51,849642,249906764.8013,294.13,0.61,139944616,139945000.0,38661927444.54,41129708000.0
2025-05-02,VRSK,294.51,294.5,296.34,291.74,296.43,809545,238740875.8966,294.91,0.58,139944616,139945000.0,38742184842.15,41215090000.0
2025-05-01,VRSK,296.43,291.83,297.23,288.89,292.37,806202,237406809.6092,294.48,0.58,139944616,139945000.0,38994747676.75,41483770000.0
2025-04-30,VRSK,292.37,287.32,293.11,286.17,288.41,596788,173966620.2933,291.5,0.43,139944616,139945000.0,38460686722.88,40915620000.0
2025-04-29,VRSK,288.41,285.86,289.17,283.68,286.05,776942,223337253.3362,287.46,0.56,139944616,139945000.0,37939730574.69,40361411000.0
2025-04-26,VRSK,286.05,287.6,287.83,283.21,288.24,1016027,289577377.7373,285.01,0.73,139944616,139945000.0,37629294539.79,40031160000.0
2025-04-25,VRSK,288.24,289.08,290.28,284.6,290.05,717492,206951074.9808,288.44,0.51,139944616,139945000.0,37917377948.89,40337630000.0
2025-04-24,VRSK,290.05,292.74,297.1,288.83,292.7,868348,252654508.0296,290.96,,139944616,,38155486295.95,
2025-04-23,VRSK,292.7,285.84,293.4,284.75,284.35,643412,187368928.5992,291.21,0.46,139944616,139945000.0,38504076495.09,40961782000.0
2025-04-22,VRSK,284.35,291.64,294.7,281.87,293.02,841441,240315844.1044,285.6,0.6,139944616,139945000.0,37405669620.82,39793262000.0
2025-04-18,VRSK,293.02,292.72,295.74,290.57,292.23,502884,147546241.0326,293.4,0.36,139944616,139945000.0,38546179728.46,41006570000.0
2025-04-17,VRSK,292.23,295.31,297.32,290.23,295.05,954892,280619354.3971,293.88,0.68,139944616,139945000.0,38442252910.18,40896010000.0
2025-04-16,VRSK,295.05,295.38,297.61,294.46,295.1,612756,181100814.0001,295.55,0.44,139944616,139945000.0,38813225991.15,41290660000.0
2025-04-15,VRSK,295.1,293.12,296.5,291.38,291.88,837585,246956090.9067,294.84,0.6,139944616,139945000.0,38819809965.5,41297668000.0
2025-04-12,VRSK,291.88,285.07,293.55,282.85,285.78,835049,242475115.4437,290.37,0.6,139944616,139945000.0,38396197976.72,40847020000.0
2025-04-11,VRSK,285.78,286.12,289.69,279.82,289.34,1397408,399080426.5955,285.59,1.0,139944616,139945000.0,37593773965.29,39993380000.0
2025-04-10,VRSK,289.34,275.43,290.29,273.76,277.03,1965672,559993848.6758,284.89,1.4,139944616,139945000.0,38062092521.15,40491590000.0
2025-04-09,VRSK,277.03,281.51,281.82,274.91,278.09,1852787,516653008.4945,278.85,1.32,139944616,139945000.0,36442729498.69,38768860000.0
2025-04-08,VRSK,278.09,285.86,287.56,275.17,284.99,1815571,506105049.7523,278.76,1.3,139944616,139945000.0,36582178206.95,38917210000.0
2025-04-05,VRSK,284.99,299.2,304.16,284.37,305.09,2102300,616399405.52,293.2,1.5,140276165,140276000.0,37578666007.55,39977300000.0
2025-04-04,VRSK,305.09,298.45,306.68,298.45,299.71,1425404,433976363.734,304.46,1.02,140276165,140276000.0,40229055736.42,42796860000.0
2025-04-03,VRSK,299.71,298.95,300.07,294.94,298.61,749130,223842830.7636,298.8,0.53,140276165,140276000.0,39519635291.63,42042160000.0
2025-04-02,VRSK,298.61,296.82,298.98,294.99,297.62,621777,185150044.1123,297.78,0.44,140276165,140276000.0,39374608197.37,41887880000.0
2025-04-01,VRSK,297.62,296.14,299.97,295.24,294.58,1250152,371818595.1439,297.42,0.89,140276165,140276000.0,39244068516.81,41749000000.0
2025-03-29,VRSK,294.58,296.24,296.75,293.12,296.89,728980,214830019.6406,294.7,0.52,140276165,140276000.0,38843210073.33,41322559000.0
2025-03-28,VRSK,296.89,293.63,299.73,291.23,292.03,852358,253471630.8717,297.38,0.61,140276165,140276000.0,39147782003.28,41646571000.0
2025-03-27,VRSK,292.03,288.45,293.0,288.11,287.76,773119,225596541.6843,291.8,0.55,140276165,140276000.0,38506961512.84,40964848000.0
2025-03-26,VRSK,287.76,284.8,287.88,283.99,285.4,992470,284096720.934,286.25,0.71,140276165,140276000.0,37943918404.57,40365868000.0
2025-03-25,VRSK,285.4,287.02,289.43,284.45,285.16,784986,224285987.9738,285.72,0.56,140276165,140276000.0,37632716574.18,40034797000.0
2025-03-22,VRSK,285.16,285.23,287.28,283.24,287.68,1387929,395597044.7729,285.03,0.99,140276165,140276000.0,37601071589.95,40001133000.0
2025-03-21,VRSK,287.68,288.43,289.62,285.86,289.74,773071,222550836.8326,287.88,0.55,140276165,140276000.0,37933360406.79,40354630000.0
2025-03-20,VRSK,289.74,288.4,291.44,288.4,288.93,784013,227263479.057,289.87,0.56,140276165,140276000.0,38204999084.27,40643610000.0
2025-03-19,VRSK,288.93,289.34,290.07,286.5,291.01,789452,227640686.7711,288.35,0.56,140276165,140276000.0,38098184900.67,40529977000.0
2025-03-18,VRSK,291.01,287.83,291.58,287.83,288.58,930843,270486025.149,290.58,0.66,140276165,140276000.0,38372462088.65,40821762000.0
2025-03-15,VRSK,288.58,289.05,290.03,286.76,289.05,740813,213578239.9325,288.3,0.53,140276165,140276000.0,38052052502.73,40480903000.0
2025-03-14,VRSK,289.05,286.61,289.31,284.82,287.58,715257,206328420.1052,288.02,0.51,140276165,140276000.0,38173352781.45,40609946000.0
2025-03-13,VRSK,288.03,289.19,290.02,286.18,290.53,716623,206540688.161,288.21,0.51,140276165,140276000.0,37979523132.44,40403743000.0
2025-03-12,VRSK,290.53,298.93,299.64,290.3,298.0,1320067,386659742.5151,292.91,0.94,140276165,140276000.0,38309172120.19,40754434000.0
2025-03-11,VRSK,298.0,301.12,305.57,297.42,300.48,1645494,493587547.0912,299.96,1.17,140276165,140276000.0,39294159339.8,41802293000.0
2025-03-08,VRSK,300.48,295.36,301.16,294.15,295.36,753920,225310726.016,298.85,0.54,140276165,140276000.0,39621169817.05,42150176000.0
2025-03-07,VRSK,295.36,295.21,297.69,293.99,296.89,726457,214685427.616,295.52,,140276165,,38946064513.29,
