dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,VRTX,445.85,448.04,453.87,445.84,446.48,840219,376176061.7105,447.71,0.33,256797187,256797000.0,89304580172.86,114492940000.0
2025-06-04,VRTX,446.48,444.3,449.85,439.54,445.43,1683406,751191982.9604,446.23,0.66,256797187,256797000.0,89430748277.35,114654690000.0
2025-06-03,VRTX,445.43,441.27,447.98,439.54,442.05,1179283,524121043.6117,444.44,0.46,256797187,256797000.0,89220421366.11,114385070000.0
2025-05-31,VRTX,442.05,447.64,447.99,439.37,447.09,2581744,1142257211.2723,442.44,1.01,256797187,256797000.0,88543423295.5,113517100000.0
2025-05-30,VRTX,447.09,444.99,449.22,442.75,445.1,882693,394209272.6643,446.6,0.34,256797187,256797000.0,89552952409.11,114811380000.0
2025-05-29,VRTX,445.1,446.4,451.64,443.41,446.0,1209533,539985920.3448,446.44,0.47,256797187,256797000.0,89154353818.47,114300400000.0
2025-05-28,VRTX,446.0,437.34,447.47,437.34,436.0,2048372,911849100.8411,445.16,0.8,256797187,256797000.0,89334605413.56,114531440000.0
2025-05-24,VRTX,436.0,428.68,436.59,427.43,434.03,1427494,620654249.2597,434.79,0.56,256797187,256797000.0,87331587354.96,111963500000.0
2025-05-23,VRTX,434.03,435.76,437.0,429.55,435.32,1618291,700742529.6107,433.01,0.63,256797187,256797000.0,86936998806.47,111457600000.0
2025-05-22,VRTX,435.32,444.37,445.16,433.77,447.18,1427347,624310986.8853,437.39,0.56,256797187,256797000.0,87195396148.1,111788900000.0
2025-05-21,VRTX,447.18,442.0,448.0,440.81,440.66,1510647,673107941.9267,445.58,0.59,256797187,256797000.0,89570949526.37,114834500000.0
2025-05-20,VRTX,440.66,437.49,441.63,435.15,438.65,1182816,518590890.0,438.44,0.46,256797187,256797000.0,88264977746.12,113160200000.0
2025-05-17,VRTX,438.65,435.3,438.95,429.94,434.38,1505319,656084254.236,435.84,0.59,256797187,256797000.0,87862369113.33,112644000000.0
2025-05-16,VRTX,434.38,424.69,434.42,421.76,421.16,1935671,836219337.4312,432.0,0.75,256797187,256797000.0,87007076396.27,111547400000.0
2025-05-15,VRTX,421.16,432.0,433.41,416.6,432.0,2058665,868328427.68,421.79,0.8,256797187,256797000.0,84359092531.85,108152630000.0
2025-05-14,VRTX,432.0,437.53,442.12,429.54,439.37,2645767,1152146281.8873,435.47,1.03,256797187,256797000.0,86530380131.52,110936300000.0
2025-05-13,VRTX,439.37,425.3,441.1,423.2,424.99,2095350,917067078.0555,437.67,0.82,256797187,256797000.0,94776369129.0,112828900000.0
2025-05-10,VRTX,424.99,430.22,434.93,424.8,429.6,1642317,706045151.1433,429.91,0.64,256797187,256797000.0,91674438662.63,109136200000.0
2025-05-09,VRTX,429.6,430.17,432.14,423.4,434.82,2940973,1257656577.5339,427.63,1.15,256797187,256797000.0,92668881660.53,110320100000.0
2025-05-08,VRTX,434.82,447.52,449.0,432.29,450.03,3997462,1749808001.9199,437.73,1.56,256797187,256797000.0,93794879494.8,111660500000.0
2025-05-07,VRTX,450.03,465.55,467.85,428.54,500.19,8000684,3547768188.2472,443.43,3.11,257000000,257000000.0,97152482876.4,115657600000.0
2025-05-06,VRTX,500.19,501.45,505.61,498.02,501.15,1669638,837641005.4512,501.69,0.65,257080844,257081000.0,108014973785.31,128589190000.0
2025-05-03,VRTX,501.15,505.86,509.0,498.03,498.86,1653616,828591209.8859,501.08,0.64,257080844,257081000.0,106933914721.66,128835940000.0
2025-05-02,VRTX,498.86,507.0,507.75,498.21,509.5,1452279,727348202.7661,500.83,0.56,257080844,257081000.0,106445323836.89,128247320000.0
2025-05-01,VRTX,509.5,500.79,510.77,497.34,503.5,1445874,732686412.7121,506.74,0.56,257080844,257081000.0,108715632714.94,130982600000.0
2025-04-30,VRTX,503.5,494.26,506.96,490.85,496.49,1254969,630786461.4856,502.63,0.49,257080844,257081000.0,107435370111.82,129440100000.0
2025-04-29,VRTX,496.49,495.4,498.65,490.37,493.84,1493108,738875587.5924,494.86,0.58,257080844,257081000.0,105939596637.17,127638000000.0
2025-04-26,VRTX,493.84,492.54,494.92,484.5,492.47,1561559,767855850.3289,491.72,0.61,257080844,257081000.0,105374166524.74,126956800000.0
2025-04-25,VRTX,492.47,492.42,494.1,486.65,492.42,1355809,666366565.41,491.49,0.53,257080844,257081000.0,105081816425.54,126604500000.0
2025-04-24,VRTX,492.42,488.27,498.41,484.97,490.47,1241509,611044310.4885,492.18,,257080844,,105071136901.66,
2025-04-23,VRTX,490.47,483.83,491.8,480.56,477.52,1131506,553313619.0631,489.01,0.44,257080844,257081000.0,104655062224.5,126090380000.0
2025-04-22,VRTX,477.52,488.0,490.83,472.9,489.1,1176467,564015691.5116,479.41,0.46,257080844,257081000.0,101891837307.85,122761190000.0
2025-04-18,VRTX,489.1,492.23,492.23,485.08,485.89,1205470,589735585.2157,489.22,0.47,257080844,257081000.0,104362761202.04,125738200000.0
2025-04-17,VRTX,485.89,500.97,502.22,483.43,500.49,1391451,680244939.7285,488.87,0.54,257080844,257081000.0,103677778033.95,124912900000.0
2025-04-16,VRTX,500.49,499.0,501.91,493.12,495.83,1031054,515067861.3433,499.55,0.4,257080844,257081000.0,106793105039.25,128666300000.0
2025-04-15,VRTX,495.83,487.01,498.64,484.2,484.22,1362389,673477519.9873,494.34,0.53,257080844,257081000.0,105798784821.0,127468380000.0
2025-04-12,VRTX,484.22,477.11,486.97,468.3,475.49,1574307,758734503.6127,481.95,0.61,257080844,257081000.0,103321455346.25,124483600000.0
2025-04-11,VRTX,475.49,478.99,480.0,455.69,482.3,2252515,1060632660.4146,470.87,0.88,257080844,257081000.0,101458677526.25,122239300000.0
2025-04-10,VRTX,482.3,460.02,487.15,452.0,472.37,3171701,1499900193.9969,472.9,1.23,257080844,257081000.0,102911786249.65,123990000000.0
2025-04-09,VRTX,472.37,477.2,483.94,466.98,474.56,2391649,1135138750.441,474.63,0.93,257080844,257081000.0,100792966577.88,121437300000.0
2025-04-08,VRTX,474.56,465.93,481.74,448.14,474.62,2712648,1273535936.1466,469.48,1.06,257080844,257081000.0,101260249625.4,122000300000.0
2025-04-05,VRTX,474.62,484.35,499.07,473.64,484.01,2884452,1392373439.1936,482.72,1.12,257080844,257081000.0,101273065054.05,122015700000.0
2025-04-04,VRTX,484.01,480.01,494.49,480.01,483.49,2064214,1003287641.3761,486.04,0.8,256789869,256790000.0,103159759661.95,124288820000.0
2025-04-03,VRTX,483.49,481.64,487.93,480.42,484.74,988397,478519765.9524,484.14,0.38,256789869,256790000.0,103048927023.13,124155300000.0
2025-04-02,VRTX,484.74,486.27,491.93,480.95,484.82,1249536,606290986.2144,485.21,0.49,256789869,256790000.0,103315346512.22,124476300000.0
2025-04-01,VRTX,484.82,487.13,487.13,471.5,492.69,2231875,1077519409.8312,482.79,0.87,256789869,256790000.0,103332412279.01,124496900000.0
2025-03-29,VRTX,492.69,504.79,504.79,491.37,502.55,1281012,634145980.3819,495.04,0.5,256789869,256790000.0,105009763806.04,126517750000.0
2025-03-28,VRTX,502.55,498.59,506.54,498.59,500.28,1233885,620751095.813,503.09,0.48,256789869,256790000.0,107111302049.52,129049750000.0
2025-03-27,VRTX,500.28,504.87,508.64,497.78,509.04,1328812,666285033.1848,501.41,0.52,256789869,256790000.0,106627479994.62,128466820000.0
2025-03-26,VRTX,509.04,511.78,512.71,503.99,511.74,1003628,510520282.2107,508.67,0.39,256789869,256790000.0,108494549905.5,130716320000.0
2025-03-25,VRTX,511.74,505.0,513.98,501.0,503.2,1227014,627207862.8643,511.17,0.48,256789869,256790000.0,109070007476.51,131409630000.0
2025-03-22,VRTX,503.2,505.42,510.08,501.07,510.18,2280547,1149358401.0566,503.98,0.89,256789869,256790000.0,107249821001.64,129216630000.0
2025-03-21,VRTX,510.18,509.99,515.67,505.49,512.52,1064713,543029108.5821,510.02,0.41,256789869,256790000.0,108737503165.99,131009000000.0
2025-03-20,VRTX,512.52,512.01,514.82,505.0,512.23,1124158,573570064.3849,510.22,0.44,256789869,256790000.0,109236257500.41,131609940000.0
2025-03-19,VRTX,512.23,513.08,516.5,508.52,513.76,1335442,685578637.2594,513.37,0.52,256789869,256790000.0,109174441784.88,131535440000.0
2025-03-18,VRTX,513.76,505.2,517.2,504.0,504.77,1108941,568673672.1657,512.81,0.43,256789869,256790000.0,109500543502.23,131928380000.0
2025-03-15,VRTX,504.77,507.0,519.68,502.26,502.92,1386928,703636395.6774,507.33,0.54,256789869,256790000.0,107584456668.07,129619820000.0
2025-03-14,VRTX,502.92,493.79,512.75,488.0,495.42,1699817,855438718.6241,503.25,0.66,256789869,256790000.0,107190136642.02,129144750000.0
2025-03-13,VRTX,495.42,484.62,496.64,483.09,488.34,1364680,673466591.3508,493.5,0.53,256789869,256790000.0,105591619707.49,127218750000.0
2025-03-12,VRTX,488.34,496.86,497.5,480.28,500.01,1389925,676746893.5095,486.89,0.54,256789869,256790000.0,104082653823.0,125400750000.0
2025-03-11,VRTX,500.01,483.39,503.89,480.38,488.29,1796715,896366470.2727,498.89,0.7,256789869,256790000.0,106569929122.27,128397500000.0
2025-03-08,VRTX,488.29,485.71,492.34,482.82,485.72,1196753,584697409.762,488.57,0.47,256789869,256790000.0,104071986386.65,125387940000.0
2025-03-07,VRTX,485.72,490.15,491.62,479.78,491.64,1323007,643096715.2901,486.09,,256789869,,103524215128.95,
2025-03-06,VRTX,491.64,485.25,495.54,483.54,486.22,1147261,563358097.0951,491.05,0.45,256789869,256790000.0,104785960778.42,126248130000.0
2025-03-05,VRTX,486.22,485.49,490.7,480.11,483.31,1187791,577059964.1684,485.83,0.46,256789869,256790000.0,103630782924.59,124856320000.0
2025-03-04,VRTX,483.31,477.82,490.65,477.73,479.79,1282150,622450963.4955,485.47,0.5,256789869,256790000.0,103010575404.84,124109130000.0
2025-03-01,VRTX,479.79,479.9,484.98,474.01,474.5,2360860,1131209893.5932,479.15,0.92,256789869,256790000.0,102260333860.86,123205190000.0
2025-02-28,VRTX,474.5,475.34,486.07,473.51,479.1,1053391,504011599.1295,478.47,0.41,256789869,256790000.0,101132838057.62,121846750000.0
2025-02-27,VRTX,479.1,479.93,484.98,474.24,480.35,817309,392510456.8619,480.25,0.32,256789869,256790000.0,102113283091.02,123028070000.0
2025-02-26,VRTX,480.35,480.95,486.14,476.26,481.65,1198857,576321238.6506,480.73,0.47,256789869,256790000.0,102379702580.1,123349000000.0
2025-02-25,VRTX,481.65,482.84,487.5,479.05,484.24,1185389,571707389.2711,482.3,0.46,256789869,256790000.0,102656738352.99,
2025-02-22,VRTX,484.24,481.36,487.38,479.69,480.33,1406954,681221309.1941,484.18,,256789869,,103208778716.58,
2025-02-21,VRTX,480.33,474.01,481.18,472.8,471.76,1573900,752700393.578,478.24,0.61,256789869,256790000.0,102375435605.57,123343880000.0
2025-02-20,VRTX,471.76,463.12,472.12,461.91,462.11,1372627,641351263.2948,467.24,0.53,256789869,256790000.0,100548848668.89,121143190000.0
2025-02-19,VRTX,462.11,455.06,467.86,451.99,459.0,1377935,634314009.3765,460.34,0.54,256789869,256790000.0,98492111526.69,118665190000.0
2025-02-15,VRTX,459.0,462.5,469.55,457.36,462.58,990067,456141470.2913,460.72,0.39,256789869,256790000.0,97829236392.93,117866500000.0
2025-02-14,VRTX,462.58,454.45,465.68,450.6,453.2,1349045,621127865.4989,460.42,0.53,256900000,256900000.0,99822930943.68,118836750000.0
2025-02-13,VRTX,453.2,451.83,455.66,446.0,455.22,1137502,512724863.2427,450.75,0.44,256900000,256900000.0,97798738568.16,116427000000.0
2025-02-12,VRTX,455.22,459.83,468.19,452.49,469.97,1558944,714950145.1181,458.61,0.61,256900000,256900000.0,98234650804.08,116946000000.0
2025-02-11,VRTX,469.97,470.58,471.94,464.01,469.32,1744932,818405075.1542,469.02,0.68,257529290,257529000.0,101666069627.4,121031000000.0
2025-02-08,VRTX,469.32,478.98,480.47,468.7,481.16,1191523,563628495.8208,473.03,0.46,257529290,257529000.0,101525478104.27,120863570000.0
2025-02-07,VRTX,481.16,487.79,488.43,478.81,488.44,1009649,487399432.3475,482.74,0.39,257529290,257529000.0,104086728962.21,123912750000.0
2025-02-06,VRTX,488.44,484.5,491.8,481.7,482.28,1546120,754233654.3588,487.82,0.6,257529290,257529000.0,105661578566.15,125787500000.0
2025-02-05,VRTX,482.28,468.04,482.74,467.3,470.37,2025666,969266839.2847,478.49,0.79,257529290,257529000.0,104329036313.95,124201190000.0
2025-02-04,VRTX,470.37,463.36,473.07,458.74,461.68,2186097,1021756444.6577,467.39,0.85,257529290,257529000.0,101752629754.28,121134000000.0
2025-02-01,VRTX,461.68,454.17,472.04,447.2,438.4,3643600,1687213650.536,463.06,1.41,257529290,257529000.0,99872730010.57,118896070000.0
2025-01-31,VRTX,438.4,443.56,444.27,435.0,441.52,1098399,483246219.9169,439.96,0.43,257529290,257529000.0,94836686749.03,112900750000.0
2025-01-30,VRTX,441.52,437.74,442.92,430.81,440.68,1022093,449008010.1325,439.3,0.4,257529290,257529000.0,95511643307.96,113704250000.0
2025-01-29,VRTX,440.68,443.88,446.98,438.01,443.88,1153039,510031996.6292,442.34,0.45,257529290,257529000.0,95329913334.97,113487940000.0
2025-01-28,VRTX,443.88,436.72,447.72,435.33,439.62,1606465,713103789.2563,443.9,0.62,257529290,257529000.0,96022141250.26,114312000000.0
2025-01-25,VRTX,439.62,438.73,442.66,436.61,439.73,1635418,719607486.3734,440.01,0.64,257529290,257529000.0,95100648193.58,113215000000.0
2025-01-24,VRTX,439.73,429.25,442.89,424.54,428.0,1650443,720763295.5826,436.71,0.64,257529290,257529000.0,95124415777.78,113243320000.0
2025-01-23,VRTX,428.0,427.89,432.6,424.65,427.89,1215249,520606619.66,428.4,0.47,257529290,257529000.0,92586930340.8,110222440000.0
2025-01-22,VRTX,427.89,427.94,430.53,423.49,422.0,1545385,661269345.1767,427.9,0.6,257529290,257529000.0,92563113001.94,110194130000.0
2025-01-18,VRTX,422.0,422.73,428.25,419.27,416.96,1709147,724846080.778,424.1,0.66,257529290,257529000.0,91288982719.2,108677320000.0
2025-01-17,VRTX,416.96,423.41,424.58,415.15,424.26,1225667,512585252.3064,418.21,0.48,257529290,257529000.0,90198700227.32,107379380000.0
2025-01-16,VRTX,424.26,415.13,425.49,415.13,411.66,1651966,698602957.8771,422.89,0.64,257529290,257529000.0,91777878486.58,109259320000.0
2025-01-15,VRTX,411.66,411.94,414.5,408.02,413.37,1375665,566198663.1403,411.58,0.53,257529290,257529000.0,89052169012.01,106014440000.0
2025-01-14,VRTX,413.37,408.0,416.55,397.25,409.56,1858348,762609135.1677,410.37,0.72,257529290,257529000.0,89422127349.08,106454880000.0
2025-01-11,VRTX,409.56,406.17,413.52,405.17,412.11,1682898,690058037.096,410.04,0.65,257529290,257529000.0,88597917629.89,105473630000.0
2025-01-09,VRTX,412.11,410.71,412.36,407.24,408.32,1172649,481416506.1024,410.54,0.46,257529290,257529000.0,89149556185.3,106130380000.0
2025-01-08,VRTX,408.32,403.0,410.81,401.54,402.49,1648378,672522943.5359,407.99,0.64,257529290,257529000.0,88329677284.67,105154320000.0
2025-01-07,VRTX,402.49,401.31,404.74,399.0,407.11,2064930,829857372.288,401.88,,257529290,,87068489702.96,
2025-01-04,VRTX,407.11,407.57,411.65,406.4,405.76,1072971,438488365.4128,408.67,0.42,257529290,257529000.0,88067933167.3,104842750000.0
2025-01-03,VRTX,405.76,403.14,409.6,402.72,402.7,1222536,495790293.5546,405.54,0.47,257529290,257529000.0,87775873319.98,104495070000.0
2025-01-01,VRTX,402.7,399.63,404.99,399.63,399.35,1019869,410071752.5571,402.08,0.4,257529290,257529000.0,87113909216.74,103706940000.0
2024-12-31,VRTX,399.35,404.54,407.35,399.06,408.76,1450034,580836682.7994,400.57,0.56,257529290,257529000.0,86389252080.12,102844320000.0
2024-12-28,VRTX,408.76,405.26,410.98,404.49,410.65,1362760,555677709.3504,407.76,0.53,257529290,257529000.0,88424847130.78,105267630000.0
2024-12-27,VRTX,410.65,407.2,411.29,406.02,408.18,1188492,486483207.88,409.33,0.46,257529290,257529000.0,88833678999.13,105754320000.0
2024-12-25,VRTX,408.18,401.53,410.68,401.27,405.27,1468549,598391056.1516,407.47,0.57,257529290,257529000.0,88299363717.97,105118250000.0
