dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,WBD,9.79,9.95,10.01,9.69,9.94,34162243,335346839.6258,9.82,1.38,2474075003,2474075000.0,22283498737.02,24221192000.0
2025-06-04,WBD,9.94,9.97,10.1,9.74,10.0,31616243,315014769.864,9.96,1.28,2474075003,2474075000.0,22624920176.97,24592301000.0
2025-06-03,WBD,10.0,9.93,10.02,9.75,9.97,46464719,460799915.9133,9.92,1.88,2474075003,2474075000.0,22761490027.6,24740747000.0
2025-05-31,WBD,9.97,10.02,10.02,9.66,10.04,52970653,523487770.0407,9.88,2.14,2474075003,2474075000.0,22693206240.36,24666520000.0
2025-05-30,WBD,10.04,10.18,10.19,9.75,10.02,44033805,438484231.2129,9.96,1.78,2474075003,2474075000.0,22852535987.71,24839711000.0
2025-05-29,WBD,10.02,9.54,10.13,9.48,9.55,59164118,587345847.284,9.93,2.39,2474075003,2474075000.0,22807015283.8,24790230000.0
2025-05-28,WBD,9.55,9.22,9.64,9.15,9.0,31726422,301718282.7379,9.51,1.28,2474075003,2474075000.0,21737223431.59,23627415000.0
2025-05-24,WBD,9.0,8.85,9.05,8.84,9.02,21961590,196716554.4993,8.96,0.89,2474075003,2474075000.0,20485341024.84,22266672000.0
2025-05-23,WBD,9.02,8.95,9.06,8.83,8.95,28787817,257443678.3525,8.94,1.16,2474075003,2474075000.0,20530865142.97,22316160000.0
2025-05-22,WBD,8.95,9.1,9.18,8.88,9.23,46832000,423365967.8832,9.04,1.89,2474075003,2474075000.0,20371533347.09,22142970000.0
2025-05-21,WBD,9.23,9.05,9.34,8.98,9.05,38319715,352384267.1685,9.2,1.55,2474075003,2474075000.0,21008854385.02,22835710000.0
2025-05-20,WBD,9.05,9.03,9.07,8.84,9.16,33356262,299692674.9008,8.98,1.35,2474075003,2474075000.0,20599148930.21,22390380000.0
2025-05-17,WBD,9.16,9.14,9.19,8.82,9.14,33118825,300642747.7669,9.08,1.34,2474075003,2474075000.0,20849524637.67,22662520000.0
2025-05-16,WBD,9.14,9.11,9.25,9.05,9.21,24005528,219768198.685,9.15,0.97,2474075003,2474075000.0,20804002795.69,22613040000.0
2025-05-15,WBD,9.21,9.12,9.21,9.02,9.18,32979575,300869368.0655,9.12,1.33,2474075003,2474075000.0,20963332543.03,22786230000.0
2025-05-14,WBD,9.18,9.28,9.35,9.14,9.23,35665551,328690169.2937,9.22,1.44,2474075003,2474075000.0,20895048755.8,22712000000.0
2025-05-13,WBD,9.23,9.55,9.79,9.2,9.07,47028762,439225146.2134,9.34,1.9,2474075003,2474075000.0,21008854385.02,22835710000.0
2025-05-10,WBD,9.07,9.01,9.29,8.91,9.01,30000497,273148534.0857,9.1,1.21,2474075003,2474075000.0,20644670772.19,22439860000.0
2025-05-09,WBD,9.01,8.16,9.3,8.06,8.56,69402563,615302288.9086,8.87,2.81,2473835609,2473836000.0,20506118812.9,22289260000.0
2025-05-08,WBD,8.56,8.5,8.65,8.43,8.43,52292333,447156958.2578,8.55,2.11,2473835609,2473836000.0,19481951325.96,21176030000.0
2025-05-07,WBD,8.43,8.18,8.46,8.13,8.37,38438715,321935788.9589,8.38,1.55,2473835609,2473836000.0,19186080359.53,20854430000.0
2025-05-06,WBD,8.37,8.18,8.53,8.08,8.54,42739688,359727149.0855,8.42,1.73,2473835609,2473836000.0,19049523495.95,20706000000.0
2025-05-03,WBD,8.54,8.52,8.67,8.43,8.43,31725512,271570398.5828,8.56,1.28,2473835609,2473836000.0,19436431612.79,21126555000.0
2025-05-02,WBD,8.43,8.69,8.7,8.31,8.67,45438493,385409315.8014,8.48,1.84,2473835609,2473836000.0,19186080359.53,20854430000.0
2025-05-01,WBD,8.67,8.64,8.7,8.28,8.77,40878727,348887687.6784,8.53,1.65,2473835609,2473836000.0,19732302579.22,21448150000.0
2025-04-30,WBD,8.77,8.65,8.84,8.6,8.7,25474118,222366131.076,8.73,1.03,2473835609,2473836000.0,19959896365.62,21695540000.0
2025-04-29,WBD,8.7,8.59,8.88,8.53,8.59,37594079,327098562.5632,8.7,1.52,2473835609,2473836000.0,19800579986.84,21522368000.0
2025-04-26,WBD,8.59,8.5,8.66,8.43,8.5,24513700,210016219.5586,8.57,0.99,2473835609,2473836000.0,19550228505.99,21250250000.0
2025-04-25,WBD,8.5,8.32,8.64,8.26,8.33,29523079,251749193.3442,8.53,1.19,2473835609,2473836000.0,19345394462.38,21027600000.0
2025-04-24,WBD,8.33,8.32,8.78,8.29,7.95,56030668,475369812.7911,8.48,,2454764337,,18812331973.03,
2025-04-23,WBD,7.95,8.06,8.13,7.92,7.94,42184512,337269396.1097,8.0,1.72,2454764337,2454764000.0,17954146134.98,19515372000.0
2025-04-22,WBD,7.94,8.06,8.11,7.75,8.11,27148762,214032705.8389,7.88,1.11,2454764337,2454764000.0,17931561625.56,19490825000.0
2025-04-18,WBD,8.11,8.01,8.19,7.95,7.92,31300747,252838034.6517,8.08,1.28,2454764337,2454764000.0,18315486993.71,19908140000.0
2025-04-17,WBD,7.92,8.28,8.34,7.77,8.25,49152262,392185903.4132,7.98,2.0,2454764337,2454764000.0,17886395090.96,19441730000.0
2025-04-16,WBD,8.25,8.02,8.32,7.98,8.02,38578297,317217770.4576,8.22,1.57,2454764337,2454764000.0,18631661317.83,20251800000.0
2025-04-15,WBD,8.02,8.1,8.33,7.99,7.97,38009059,307269026.2601,8.08,1.55,2454764337,2454764000.0,18112234313.31,19687210000.0
2025-04-12,WBD,7.97,8.12,8.14,7.61,8.1,36414774,285921522.4932,7.85,1.48,2454764337,2454764000.0,17999314702.13,19564470000.0
2025-04-11,WBD,8.1,8.9,8.96,7.79,9.26,61845122,500450733.4085,8.09,2.52,2454764337,2454764000.0,18292904742.68,19883590000.0
2025-04-10,WBD,9.26,7.57,9.5,7.52,7.69,74775313,650851779.4507,8.7,3.05,2454764337,2454764000.0,20912629017.29,22731118000.0
2025-04-09,WBD,7.69,8.32,8.47,7.61,8.09,48084196,379797816.1003,7.9,1.96,2454764337,2454764000.0,17366965828.05,18877133000.0
2025-04-08,WBD,8.09,7.8,8.79,7.65,8.07,58591528,475306181.7233,8.11,2.39,2454764337,2454764000.0,18270320459.1,19859040000.0
2025-04-05,WBD,8.07,8.85,8.86,8.03,9.16,57367610,473168058.7535,8.25,2.34,2454764337,2454764000.0,18225151666.11,19809950000.0
2025-04-04,WBD,9.16,10.03,10.14,9.12,10.56,52884547,500636879.0725,9.47,2.15,2454764337,2454764000.0,20686789794.93,22485640000.0
2025-04-03,WBD,10.56,10.05,10.61,10.02,10.21,37025723,386145004.765,10.43,1.51,2454764337,2454764000.0,23848528745.21,25922310000.0
2025-04-02,WBD,10.21,10.79,11.15,10.14,10.73,42217067,441185279.1939,10.45,1.72,2454764337,2454764000.0,23058094628.69,25063140000.0
2025-04-01,WBD,10.73,10.31,10.81,10.04,10.37,75700063,803435124.3443,10.61,3.08,2454764337,2454764000.0,24232451629.13,26339620000.0
2025-03-29,WBD,10.37,11.03,11.08,10.29,11.01,52599016,560468867.587,10.66,2.14,2454764337,2454764000.0,23419433680.71,25455903000.0
2025-03-28,WBD,11.01,11.01,11.19,10.91,11.03,54215946,597763388.4335,11.03,2.21,2454764337,2454764000.0,24864801180.72,27026954000.0
2025-03-27,WBD,11.03,10.95,11.2,10.9,10.98,32257625,356127438.0201,11.04,1.31,2454764337,2454764000.0,24909966586.14,27076050000.0
2025-03-26,WBD,10.98,11.0,11.04,10.84,10.97,37118903,406147649.9643,10.94,1.51,2454764337,2454764000.0,24797047426.64,26953309000.0
2025-03-25,WBD,10.97,10.94,11.04,10.53,10.74,43638786,471368754.4964,10.8,1.78,2454764337,2454764000.0,24774465853.12,26928762000.0
2025-03-22,WBD,10.74,10.56,10.79,10.45,10.65,55499141,592303537.9934,10.67,2.26,2454764337,2454764000.0,24255035461.03,26364165000.0
2025-03-21,WBD,10.65,10.8,10.88,10.61,10.92,26374258,282534238.825,10.71,1.07,2454764337,2454764000.0,24051780973.93,26143230000.0
2025-03-20,WBD,10.92,10.43,11.01,10.4,10.39,36585934,394601249.7504,10.79,1.49,2454764337,2454764000.0,24661546693.62,26806024000.0
2025-03-19,WBD,10.39,10.48,10.48,10.28,10.48,33426922,346389855.3441,10.36,1.36,2454764337,2454764000.0,23464603602.9,25505000000.0
2025-03-18,WBD,10.48,10.2,10.55,10.13,10.19,23966012,249788156.6712,10.42,0.98,2454764337,2454764000.0,23667855831.62,25725926000.0
2025-03-15,WBD,10.19,10.05,10.38,10.01,9.89,27637200,282507486.0372,10.22,1.13,2454764337,2454764000.0,23012924706.51,25014043000.0
2025-03-14,WBD,9.89,10.35,10.46,9.89,10.42,43328184,437489049.9946,10.1,1.77,2454764337,2454764000.0,22335410652.85,24277618000.0
2025-03-13,WBD,10.42,10.38,10.6,10.13,10.37,36747071,379578906.6416,10.33,1.5,2454764337,2454764000.0,23532355098.6,25578641000.0
2025-03-12,WBD,10.37,10.61,10.7,10.19,10.59,50764926,527736991.9831,10.4,2.07,2454764337,2454764000.0,23419433680.71,25455903000.0
2025-03-11,WBD,10.59,11.0,11.09,10.48,11.07,39093469,417874038.5814,10.69,1.59,2454764337,2454764000.0,23916280240.91,25995950000.0
2025-03-08,WBD,11.07,10.74,11.25,10.6,10.7,49128141,539038924.9942,10.97,2.0,2454764337,2454764000.0,25000301913.74,27174239000.0
2025-03-07,WBD,10.7,11.28,11.32,10.7,11.43,46033067,502165567.3227,10.91,,2454764337,,24164700133.43,
2025-03-06,WBD,11.43,11.33,11.52,10.99,11.32,39270055,442938731.3615,11.28,1.6,2454764337,2454764000.0,25813322120.54,28057954000.0
2025-03-05,WBD,11.32,11.18,11.45,10.87,11.02,45764774,514208424.1866,11.24,1.86,2454764337,2454764000.0,25564897711.25,27787926000.0
2025-03-04,WBD,11.02,11.41,11.67,10.93,11.46,50130180,566756826.1562,11.31,2.04,2454764337,2454764000.0,24887385012.62,27051500000.0
2025-03-01,WBD,11.46,11.07,11.64,10.77,11.0,73670750,838181664.7208,11.38,3.0,2454764337,2454764000.0,25881073616.24,28131594000.0
2025-02-28,WBD,11.0,11.28,11.9,10.99,10.5,98372688,1121606039.5008,11.4,4.01,2453165097,2453165000.0,24826030781.64,26984813000.0
2025-02-27,WBD,10.5,10.65,10.9,10.43,10.69,56135000,599302873.5,10.68,2.29,2453165097,2453165000.0,23697574837.02,25758231000.0
2025-02-26,WBD,10.69,11.16,11.18,10.68,11.09,43244684,468037214.932,10.82,1.76,2453165097,2453165000.0,24126388095.98,26224333000.0
2025-02-25,WBD,11.09,10.9,11.22,10.67,10.78,48740750,535904546.25,11.0,1.99,2453165097,2453165000.0,25029155108.58,
2025-02-22,WBD,10.78,11.17,11.21,10.7,11.04,35679364,388801633.1238,10.9,1.45,2453165097,2453165000.0,24329510166.01,
2025-02-21,WBD,11.04,10.96,11.11,10.8,10.89,29502219,322901786.955,10.95,1.2,2453165097,2453165000.0,24916307257.21,27082942000.0
2025-02-20,WBD,10.89,10.65,10.98,10.52,10.62,36222954,390534156.2556,10.78,1.48,2453165097,2453165000.0,24577772730.74,26714965000.0
2025-02-19,WBD,10.62,10.34,10.73,10.18,10.34,31593129,333797236.0426,10.57,1.29,2453165097,2453165000.0,23968404263.73,26052610000.0
2025-02-15,WBD,10.34,10.32,10.4,10.13,10.21,22059676,226314650.0789,10.26,0.9,2453165097,2453165000.0,23336471191.65,25365727000.0
2025-02-14,WBD,10.21,9.87,10.22,9.82,9.82,28027887,282725732.563,10.09,1.14,2453165097,2453165000.0,23031785829.69,25034547000.0
2025-02-13,WBD,9.82,9.74,9.96,9.71,9.85,16938145,166303794.1349,9.82,0.69,2453165097,2453165000.0,22162874075.26,24090079000.0
2025-02-12,WBD,9.85,9.83,9.96,9.78,9.98,23088993,227904520.8962,9.87,0.94,2453165097,2453165000.0,22230583011.78,24163676000.0
