dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,WDAY,249.48,250.74,253.0,248.95,251.12,1262469,315994980.7248,250.3,0.47,216000000,267000000.0,51193296000.0,66611125000.0
2025-06-04,WDAY,251.12,247.75,251.42,245.94,247.75,1528667,382064038.8643,249.93,0.57,216000000,267000000.0,51529824000.0,67049000000.0
2025-06-03,WDAY,247.75,246.27,248.74,243.5,247.71,2034574,502364824.9817,246.91,0.76,216000000,267000000.0,50838300000.0,66149188000.0
2025-05-31,WDAY,247.71,241.31,248.88,241.2,241.76,3491558,860575124.0898,246.47,1.31,216000000,267000000.0,50830094052.0,66138500000.0
2025-05-30,WDAY,241.76,241.16,243.91,239.52,239.9,2991353,722785668.625,241.63,1.12,216000000,267000000.0,49609152000.0,64549903000.0
2025-05-29,WDAY,239.9,239.18,242.94,237.88,239.3,2721664,652046762.5126,239.58,1.02,216000000,267330000.0,49227480000.0,64132430000.0
2025-05-28,WDAY,239.3,241.23,242.85,238.25,238.01,4740684,1140674513.3144,240.61,1.77,216000000,267330000.0,49104362052.0,63972036000.0
2025-05-24,WDAY,238.01,241.6,247.47,237.0,272.07,9915000,2383942869.15,240.44,3.7,216635333,267965000.0,48983306826.96,63778395000.0
2025-05-23,WDAY,272.07,268.45,273.8,267.57,268.54,4188297,1136687052.612,271.4,1.56,216635333,267965000.0,55992990703.09,72905310000.0
2025-05-22,WDAY,268.54,270.63,274.11,268.22,273.84,1590526,430173216.6127,270.46,0.59,216635333,267965000.0,55266497939.77,71959380000.0
2025-05-21,WDAY,273.84,271.56,274.65,270.21,273.3,1354910,370734945.403,273.62,0.51,216635333,267965000.0,56357267131.6,73379630000.0
2025-05-20,WDAY,273.3,270.57,274.01,268.84,273.05,1553644,423654373.1985,272.68,0.58,216635333,267965000.0,56246124973.63,73234940000.0
2025-05-17,WDAY,273.05,273.77,274.26,271.53,274.71,2328982,636152117.372,273.15,0.87,216635333,267965000.0,56194674082.05,73167875000.0
2025-05-16,WDAY,274.71,271.17,276.0,270.58,271.17,1699395,466178155.3576,274.32,0.63,216635333,267965000.0,56536291537.9,73612750000.0
2025-05-15,WDAY,271.17,268.8,271.66,268.59,270.02,1225267,331575322.8882,270.61,0.46,216635333,267965000.0,55807738680.88,72664063000.0
2025-05-14,WDAY,270.02,266.76,270.69,266.04,266.57,1470926,396379372.4501,269.48,0.55,216635333,267965000.0,55571083101.9,72356000000.0
2025-05-13,WDAY,266.57,265.64,266.86,260.93,259.18,2062261,545907089.8669,264.71,0.77,216635333,267965000.0,54861071088.17,71431500000.0
2025-05-10,WDAY,259.18,258.53,260.0,256.36,257.98,1325422,342818663.9972,258.65,0.49,216635333,267965000.0,53340155978.38,69451188000.0
2025-05-09,WDAY,257.98,252.41,260.34,251.76,250.58,1804498,465379871.7952,257.9,0.67,216635333,267965000.0,53093201988.94,69129690000.0
2025-05-08,WDAY,250.58,248.36,251.22,245.95,247.79,1117888,278605413.2224,249.22,0.42,216635333,267965000.0,51570259714.02,67146690000.0
2025-05-07,WDAY,247.79,246.66,250.77,245.77,248.34,905128,224814072.4609,248.38,0.34,216635333,267965000.0,50996065705.87,66399063000.0
2025-05-06,WDAY,248.34,247.86,251.75,247.24,248.68,808261,201593961.0935,249.42,0.3,216635333,267965000.0,51109257667.36,66546438000.0
2025-05-03,WDAY,248.68,249.95,251.17,248.0,246.61,1302175,324866501.8043,249.48,0.49,216635333,267965000.0,51179230879.92,66637563000.0
2025-05-02,WDAY,246.61,247.05,250.37,245.65,245.0,1531801,379943477.8171,248.04,0.57,216635333,267965000.0,50753219555.61,66082875000.0
2025-05-01,WDAY,245.0,241.84,245.52,238.73,243.39,1434472,348423795.6295,242.89,0.54,216635333,267965000.0,50421873755.75,65651438000.0
2025-04-30,WDAY,243.39,239.82,244.24,238.25,239.82,1135000,275505700.5,242.74,0.42,216635333,267965000.0,50090530013.93,65220071000.0
2025-04-29,WDAY,239.82,239.36,241.31,237.0,239.53,898471,215026751.7692,239.33,0.34,216635333,267965000.0,49355813340.09,64263411000.0
2025-04-26,WDAY,239.53,236.86,239.81,235.79,236.87,1103399,262978280.6793,238.33,0.41,216635333,267965000.0,49296128247.82,64185690000.0
2025-04-25,WDAY,236.87,227.84,237.53,227.55,224.87,1684752,396894229.9579,235.58,0.63,216635333,267965000.0,48748690761.32,63472934000.0
2025-04-24,WDAY,224.87,226.0,230.76,223.72,220.99,1616843,366070894.9571,226.41,,215000000,,45929697500.0,
2025-04-23,WDAY,220.99,215.67,221.59,215.0,214.1,1959091,429974455.4524,219.48,0.74,215000000,266330000.0,45137209542.5,58856227000.0
2025-04-22,WDAY,214.1,218.91,218.91,210.75,221.02,2125518,454354362.3158,213.76,0.8,215000000,266330000.0,43729927042.5,57021204000.0
2025-04-18,WDAY,221.02,228.09,228.6,220.28,227.71,1894925,421703639.6718,222.54,0.71,215000000,266330000.0,45143337042.5,58864247000.0
2025-04-17,WDAY,227.71,232.16,235.0,224.3,233.32,1961949,450007160.6821,229.37,0.74,215000000,266330000.0,46509769542.5,60646000000.0
2025-04-16,WDAY,233.32,233.0,235.96,228.13,232.34,1467179,342418172.4584,233.39,0.55,215000000,266330000.0,47655612042.5,62140110000.0
2025-04-15,WDAY,232.34,230.0,234.27,227.87,226.51,2579150,598206761.425,231.94,0.97,215000000,266330000.0,47455445000.0,61879100000.0
2025-04-12,WDAY,226.51,224.04,227.07,219.63,224.74,2203909,494797626.0719,224.51,0.83,215000000,266330000.0,46264667500.0,60326391000.0
2025-04-11,WDAY,224.74,226.55,228.68,218.75,231.42,2599365,582940613.1855,224.26,0.98,215000000,266330000.0,45903147042.5,59854980000.0
2025-04-10,WDAY,231.42,209.86,232.62,207.79,210.47,4769152,1068613921.1123,224.07,1.79,215000000,266330000.0,47267535000.0,61634040000.0
2025-04-09,WDAY,210.47,220.29,222.48,207.7,215.32,3751039,802763982.5329,214.01,1.41,215000000,266330000.0,42988499542.5,56054422000.0
2025-04-08,WDAY,215.32,206.04,223.18,205.33,217.14,5201688,1117468749.8328,214.83,1.95,215000000,266330000.0,43979112042.5,57346140000.0
2025-04-05,WDAY,217.14,225.65,227.89,216.11,228.33,4893656,1084036804.7328,221.52,1.84,215000000,266330000.0,44350845000.0,57830840000.0
2025-04-04,WDAY,228.33,227.96,232.63,226.3,235.39,5081973,1166712805.5948,229.58,1.91,215000000,266330000.0,46636404542.5,60811098000.0
2025-04-03,WDAY,235.39,230.5,236.99,230.5,234.53,1926236,452297182.9392,234.81,0.72,215000000,266330000.0,48078407500.0,62691390000.0
2025-04-02,WDAY,234.53,232.95,235.08,230.01,233.53,2567468,598320688.7456,233.04,0.96,215000000,266330000.0,47902752500.0,62462350000.0
2025-04-01,WDAY,233.53,236.67,237.41,229.29,238.49,3312763,768465277.1493,231.97,1.24,215000000,266330000.0,47698502500.0,62196020000.0
2025-03-29,WDAY,238.49,244.1,244.81,236.03,244.55,1888641,450433909.4147,238.5,0.71,215000000,266330000.0,48711584542.5,63517008000.0
2025-03-28,WDAY,244.55,250.25,250.25,243.86,250.79,1096538,269390437.9968,245.67,0.41,215000000,266330000.0,49949339542.5,65130960000.0
2025-03-27,WDAY,250.79,253.1,254.14,250.13,252.83,1000793,251557426.9733,251.36,0.38,215000000,266330000.0,51223857500.0,66792810000.0
