dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,XEL,68.5,69.14,69.42,68.43,69.33,2286304,157393520.4828,68.84,0.4,576760613,576761000.0,36742534851.17,39508102000.0
2025-06-04,XEL,69.33,69.71,69.95,68.72,69.73,3344824,231791262.5502,69.3,0.58,576760613,576761000.0,37187737441.11,39986813000.0
2025-06-03,XEL,69.73,69.72,69.85,69.14,70.1,2506375,174390061.0686,69.58,0.43,576760613,576761000.0,37402289170.83,40217512000.0
2025-05-31,XEL,70.1,69.53,70.41,69.36,69.47,3985888,279258906.3966,70.06,0.69,576760613,576761000.0,37600758398.02,40430920000.0
2025-05-30,XEL,69.47,68.9,69.71,68.63,68.93,2024809,140571753.3327,69.42,0.35,576760613,576761000.0,37262831672.93,40067559000.0
2025-05-29,XEL,68.93,69.78,69.87,68.62,69.81,2425697,167331121.1648,68.98,0.42,576760613,576761000.0,36973177665.59,39756110000.0
2025-05-28,XEL,69.81,70.21,70.39,69.5,69.73,2578607,180127323.3104,69.85,0.45,576760613,576761000.0,37442516614.42,40260770000.0
2025-05-24,XEL,69.73,69.43,69.82,68.56,69.21,3077561,213447329.9487,69.36,0.53,576760613,576761000.0,37402289170.83,40217512000.0
2025-05-23,XEL,69.21,69.84,69.95,68.49,69.92,4059209,281353120.0891,69.31,0.7,576760613,576761000.0,37123373638.64,39917610000.0
2025-05-22,XEL,69.92,71.9,72.05,69.86,72.32,4134594,290844297.93,70.34,0.72,576760613,576761000.0,37504204380.31,40327100000.0
2025-05-21,XEL,72.32,72.13,72.78,71.9,72.21,3538579,256483966.0237,72.48,0.61,576760613,576761000.0,38788854277.22,41708450000.0
2025-05-20,XEL,72.21,71.9,72.37,71.58,72.38,5044859,363534532.2593,72.06,0.87,576760613,576761000.0,38732535748.91,41647890000.0
2025-05-17,XEL,72.38,71.3,72.56,70.95,71.26,7154051,516028180.2002,72.13,1.24,576760613,576761000.0,38823720529.05,41745940000.0
2025-05-16,XEL,71.26,69.25,71.31,69.18,68.8,6642344,470851847.0793,70.89,1.15,576760613,576761000.0,38222961310.68,41099960000.0
2025-05-15,XEL,68.8,67.91,68.94,67.38,68.31,5338082,364976943.9286,68.37,0.93,576760613,576761000.0,36903453207.74,39681129000.0
2025-05-14,XEL,68.31,67.78,68.73,66.75,67.78,5328250,363005653.4837,68.13,0.92,576760613,576761000.0,36640620178.07,39398520000.0
2025-05-13,XEL,67.78,70.35,70.41,67.43,70.61,4783676,326360559.4725,68.22,0.83,576760613,576761000.0,36356335408.31,39092830000.0
2025-05-10,XEL,70.61,70.25,70.88,69.99,70.17,2479336,174812787.1511,70.51,0.43,576760613,576761000.0,37874312738.44,40725070000.0
2025-05-09,XEL,70.17,71.31,71.57,70.08,71.36,3159991,222889352.1467,70.53,0.55,576760613,576761000.0,37638301222.83,40471290000.0
2025-05-08,XEL,71.36,71.17,71.97,70.96,71.06,4552363,325214921.9623,71.44,0.79,576760613,576761000.0,38276603266.01,41157640000.0
2025-05-07,XEL,71.06,70.62,71.4,70.45,70.89,2765389,196525120.8471,71.07,0.48,576760613,576761000.0,38115685445.82,40984610000.0
2025-05-06,XEL,70.89,70.42,71.14,69.96,70.77,5645613,399228986.9618,70.71,0.98,576760613,576761000.0,38024500665.68,40886559000.0
2025-05-03,XEL,70.77,70.73,71.04,69.98,70.4,3854528,272105412.5462,70.59,0.67,576760613,576761000.0,38368310377.86,40817352000.0
2025-05-02,XEL,70.4,70.7,71.39,70.0,70.7,3389198,239649851.6602,70.71,0.59,576760613,576761000.0,38167707072.96,40603942000.0
2025-05-01,XEL,70.7,70.69,70.88,69.6,70.67,4468348,314365699.4205,70.35,0.77,576760613,576761000.0,38330355192.29,40776970000.0
2025-04-30,XEL,70.67,69.56,70.77,69.22,69.58,2539303,178805546.3807,70.42,0.44,576760613,576761000.0,38314091627.31,40759670000.0
2025-04-29,XEL,69.58,69.11,69.68,68.46,69.0,2994500,207726671.2945,69.37,0.52,576760613,576761000.0,37723144329.7,40131004000.0
