dt,symbol,close,open,high,low,pre_close,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-06-05,ZS,296.85,295.48,303.42,294.13,295.03,3231464,965698877.3639,298.84,2.08,155695672,155696000.0,30041879271.8,46218239000.0
2025-06-04,ZS,295.03,292.72,298.0,290.22,293.18,4123559,1216777109.4066,295.08,2.65,155695672,155696000.0,29857684207.67,45934875000.0
2025-06-03,ZS,293.18,276.62,293.53,276.35,275.7,5827313,1683616899.3429,288.92,3.74,155695672,155696000.0,29670451053.89,45646805000.0
2025-05-31,ZS,275.7,262.83,276.49,262.61,251.11,9946332,2711106425.9387,272.57,6.39,155695672,155696000.0,27901438852.67,42925290000.0
2025-05-30,ZS,251.11,255.0,255.16,248.74,253.65,4228477,1063714025.014,251.56,2.72,155695672,155696000.0,25412882139.37,39096735000.0
2025-05-29,ZS,253.65,256.0,256.0,252.5,257.3,2223376,565060360.429,254.15,1.44,154724902,154725000.0,25509881405.0,39245970000.0
2025-05-28,ZS,257.3,257.7,259.4,256.14,254.1,1759019,452749854.6663,257.39,1.14,154724902,154725000.0,25876971263.55,39810723000.0
2025-05-24,ZS,254.1,249.9,255.87,248.61,252.82,2003966,508990129.8924,253.99,1.3,154724902,154725000.0,25555139444.54,39315594000.0
2025-05-23,ZS,252.82,249.1,254.59,247.7,248.72,2173322,548936388.5,252.58,1.4,154724902,154725000.0,25426408326.08,39117550000.0
2025-05-22,ZS,248.72,249.61,253.94,247.71,251.95,2566665,642167519.6745,250.2,1.66,154724902,154725000.0,25014066462.25,38483180000.0
2025-05-21,ZS,251.95,250.79,252.28,248.95,252.57,1985116,498624434.4052,251.18,1.28,154724902,154725000.0,25338910388.29,38982940000.0
2025-05-20,ZS,252.57,248.48,253.72,247.3,251.5,2047294,516294994.8254,252.18,1.32,154724902,154725000.0,25401265529.5,39078870000.0
2025-05-17,ZS,251.5,247.77,253.59,246.68,245.92,3083747,775502237.4335,251.48,1.99,154724902,154725000.0,25293653354.45,38913310000.0
2025-05-16,ZS,245.92,243.43,246.5,241.58,244.45,3097959,758765749.2996,244.92,2.0,154724902,154725000.0,24732466134.9,38049950000.0
2025-05-15,ZS,244.45,244.22,247.0,243.47,245.0,2693061,658695251.3778,244.59,1.74,154724902,154725000.0,24584626491.04,37822497000.0
2025-05-14,ZS,245.0,240.02,247.28,240.02,241.48,2870709,704422612.4052,245.38,1.86,154724902,154725000.0,24639940643.5,37907600000.0
2025-05-13,ZS,241.48,237.26,241.74,236.62,233.06,2553811,612315286.0964,239.77,1.65,154724902,154725000.0,24285930067.72,37362960000.0
2025-05-10,ZS,233.06,233.34,235.0,227.69,233.15,2579671,597545471.454,231.64,1.67,154724902,154725000.0,23439120679.08,36060180000.0
2025-05-09,ZS,233.15,233.94,234.54,230.65,233.54,2185302,509199622.8522,233.01,1.41,154724902,154725000.0,23448172085.85,36074110000.0
2025-05-08,ZS,233.54,232.5,235.0,230.05,233.1,1659197,386174468.1086,232.75,1.07,154724902,154725000.0,23487394848.5,36134450000.0
2025-05-07,ZS,233.1,229.6,235.0,228.68,232.98,1992747,463709257.707,232.7,1.29,154724902,154725000.0,23443144532.24,36066370000.0
2025-05-06,ZS,232.98,228.66,235.67,227.94,230.47,2214450,516970660.185,233.45,1.43,154724902,154725000.0,23431074984.17,36047805000.0
2025-05-03,ZS,230.47,230.92,231.93,228.83,227.06,1748070,403092880.317,230.59,1.13,154724902,154725000.0,23178642312.27,35659446000.0
2025-05-02,ZS,227.06,228.5,230.79,226.54,226.17,3165041,724475701.0217,228.9,2.05,154724902,154725000.0,22835693561.28,35131833000.0
2025-05-01,ZS,226.17,218.92,226.6,217.76,223.85,2246978,502258453.8236,223.53,1.45,154724902,154725000.0,22746185205.47,34994130000.0
2025-04-30,ZS,223.85,220.74,224.7,219.88,219.86,2386579,531988983.6794,222.91,1.54,154724902,154725000.0,22512861058.97,34635170000.0
2025-04-29,ZS,219.86,219.34,221.5,216.43,215.58,2907835,638469289.0594,219.57,1.88,154724902,154725000.0,22111582025.63,34017813000.0
2025-04-26,ZS,215.58,209.9,217.15,209.38,210.14,2885268,620416321.6247,215.03,1.86,154724902,154725000.0,21681137348.27,33355590000.0
2025-04-25,ZS,210.14,202.24,212.36,201.7,200.59,2641125,554648399.175,210.0,1.71,154724902,154725000.0,21134029089.08,32513890000.0
2025-04-24,ZS,200.59,202.0,207.23,199.53,196.52,2173423,439421162.4781,202.18,,154724902,,20173574259.92,
2025-04-23,ZS,196.52,196.95,198.69,194.35,193.7,1445727,283480318.7505,196.08,0.93,154724902,154725000.0,19764250537.39,30406536000.0
2025-04-22,ZS,193.7,198.88,199.29,191.46,201.09,1581660,307211515.776,194.23,1.02,154724902,154725000.0,19480638786.31,29970211000.0
2025-04-18,ZS,201.09,202.87,203.0,199.1,202.87,1785451,358387348.006,200.73,1.15,154724902,154725000.0,20223859853.07,31113630000.0
2025-04-17,ZS,202.87,203.12,206.8,199.4,204.64,1665077,338553279.5943,203.33,1.08,154724902,154725000.0,20402876564.68,31389040000.0
2025-04-16,ZS,204.64,199.68,205.0,199.28,199.44,1771216,360830547.1378,203.72,1.14,154724902,154725000.0,20580887564.43,31662900000.0
2025-04-15,ZS,199.44,202.0,202.48,196.29,198.08,1746002,348461491.9536,199.58,1.13,154724902,154725000.0,20057918401.38,30858330000.0
2025-04-12,ZS,198.08,195.18,199.14,190.76,195.36,2314033,453080973.8446,195.8,1.5,154724902,154725000.0,19921141588.02,30647910000.0
2025-04-11,ZS,195.36,195.63,198.83,189.27,202.12,3911111,758929226.4395,194.04,2.53,154724902,154725000.0,19647587961.28,30227050000.0
2025-04-10,ZS,202.12,177.75,203.16,177.28,177.04,4509508,875287836.6364,194.1,2.91,154724902,154725000.0,20327448174.96,31272990000.0
2025-04-09,ZS,177.04,186.58,189.21,174.79,180.06,2975337,541709193.9105,182.07,1.92,154724902,154725000.0,17805122822.55,27392493000.0
2025-04-08,ZS,180.06,166.88,186.24,164.78,174.67,5738254,1025778318.5956,178.76,3.71,154724902,154725000.0,18108344949.25,27858990000.0
2025-04-05,ZS,174.67,184.57,186.34,172.85,192.21,5710527,1007418680.4414,176.41,3.69,154724902,154725000.0,17566769111.02,27025800000.0
2025-04-04,ZS,192.21,202.82,202.82,188.66,207.04,3898058,756181932.5852,193.99,2.52,154724902,154725000.0,19330788724.43,29739670000.0
2025-04-03,ZS,207.04,198.04,208.16,198.0,201.07,1717390,353093855.5229,205.6,1.11,154724902,154725000.0,20822258411.55,32034240000.0
2025-04-02,ZS,201.07,200.0,201.67,195.72,198.42,1910973,380238356.0496,198.98,1.24,154724902,154725000.0,20221849435.05,31110540000.0
2025-04-01,ZS,198.42,202.32,203.5,192.21,207.14,3491026,687862337.2698,197.04,2.26,154724902,154725000.0,19955334785.65,30700510000.0
2025-03-29,ZS,207.14,208.52,209.88,203.5,209.45,2428420,500626553.944,206.15,1.57,154724902,154725000.0,20832315530.18,32049715000.0
2025-03-28,ZS,209.45,210.35,212.0,205.12,211.55,1625163,340977561.7419,209.81,1.05,154724902,154725000.0,21064634970.54,32407130000.0
2025-03-27,ZS,211.55,215.25,216.0,209.63,215.73,1676170,355339508.2947,211.99,1.08,154724902,154725000.0,21275835467.48,32732050000.0
2025-03-26,ZS,215.73,211.68,216.39,211.2,209.87,2309888,495987235.968,214.72,1.49,154724902,154725000.0,21696222020.5,33378797000.0
2025-03-25,ZS,209.87,208.0,210.18,206.6,205.2,1572759,328976217.6202,209.17,1.02,154724902,154725000.0,21106874868.78,32472110000.0
2025-03-22,ZS,205.2,200.53,206.5,197.23,203.55,1826660,372793011.0366,204.08,1.18,154724902,154725000.0,20637207428.76,31749547000.0
2025-03-21,ZS,203.55,202.61,205.39,200.9,203.95,952508,193838435.5507,203.5,0.62,154724902,154725000.0,20471265977.08,31494250000.0
2025-03-20,ZS,203.95,199.57,206.67,199.57,201.59,1925120,392677141.2992,203.98,1.24,154724902,154725000.0,20511493445.89,31556141000.0
2025-03-19,ZS,201.59,199.7,202.93,196.75,202.65,1611353,322311866.7503,200.03,1.04,154724902,154725000.0,20274145446.22,31190989000.0
2025-03-18,ZS,202.65,197.71,204.46,196.66,197.81,1850835,373391913.4123,201.74,1.2,154724902,154725000.0,20380750903.7,31354997000.0
2025-03-15,ZS,197.81,192.77,198.0,192.0,189.58,1581440,311009627.712,196.66,1.02,154724902,154725000.0,19893986362.0,30606129000.0
2025-03-14,ZS,189.58,196.18,196.5,186.67,197.79,2491902,472667958.4032,189.68,1.61,154724902,154725000.0,19066286504.47,29332747000.0
2025-03-13,ZS,197.79,202.94,203.97,195.16,199.36,2215944,439958175.2424,198.54,1.43,154724902,154725000.0,19891974938.28,30603036000.0
2025-03-12,ZS,199.36,196.41,204.42,195.2,194.69,2431742,488282875.0784,200.8,1.57,154724902,154725000.0,20049872706.48,30845954000.0
2025-03-11,ZS,194.69,203.47,204.6,192.74,208.76,3057295,601749673.112,196.82,1.99,153438623,153439000.0,19417428580.07,29872965000.0
2025-03-08,ZS,208.76,204.93,209.14,198.0,202.16,4321309,885794925.9601,204.98,2.82,153438623,153439000.0,20820700509.36,32031844000.0
2025-03-07,ZS,202.16,200.71,211.22,199.12,196.45,6516406,1344000331.3363,206.25,,153438623,,20162449814.04,
2025-03-06,ZS,196.45,191.42,197.31,189.56,193.82,3215419,625295137.4663,194.47,2.1,153438623,153439000.0,19592961367.43,30143012000.0
2025-03-05,ZS,193.82,187.15,196.75,183.84,188.79,2534258,483703180.5764,190.87,1.65,153438623,153439000.0,19330659038.76,29739473000.0
2025-03-04,ZS,188.79,198.4,199.7,187.4,196.23,1811501,348646391.6277,192.46,1.18,153438623,153439000.0,18828990463.51,28967672000.0
2025-03-01,ZS,196.23,191.73,196.51,191.0,192.03,2522955,491618495.2106,194.86,1.64,153438623,153439000.0,19571019644.34,30109258000.0
2025-02-28,ZS,192.03,197.8,199.99,191.67,195.82,1186766,231698141.3334,195.23,0.77,153438623,153439000.0,19152132203.55,29464817000.0
2025-02-27,ZS,195.82,194.8,198.2,194.34,193.04,1016069,199079730.2204,195.93,0.66,153438623,153439000.0,19530129248.66,30046348000.0
2025-02-26,ZS,193.04,194.54,195.61,189.02,197.05,1488257,286197327.6509,192.3,0.97,153438623,153439000.0,19252864659.55,29619786000.0
2025-02-25,ZS,197.05,200.09,200.98,190.76,198.56,1310870,256965008.9897,196.03,0.85,153438623,153439000.0,19652803427.75,
2025-02-22,ZS,198.56,207.3,207.3,196.95,206.97,1985443,397316727.4007,200.11,1.29,153438623,153439000.0,19803402438.87,
2025-02-21,ZS,206.97,212.7,212.97,201.34,214.67,2556585,524581866.8383,205.19,1.67,153438623,153439000.0,20642175668.85,31757188000.0
2025-02-20,ZS,214.67,214.77,215.89,210.32,216.87,1602719,342153757.1199,213.48,1.04,153438623,153439000.0,21410134979.62,32938665000.0
2025-02-19,ZS,216.87,213.26,217.1,210.72,212.7,1920102,412120708.7496,214.63,1.25,153438623,153439000.0,21629552210.51,33276231000.0
2025-02-15,ZS,212.7,214.5,215.0,210.27,214.84,1757819,372941181.7829,212.16,1.15,153438623,153439000.0,21213656822.86,32636391000.0
2025-02-14,ZS,214.84,212.59,215.0,207.63,211.14,2096155,444993185.1425,212.29,1.37,153438623,153439000.0,21427089947.46,32964750000.0
2025-02-13,ZS,211.14,206.77,211.37,204.64,209.24,1366278,286015830.416,209.34,0.89,153438623,153439000.0,21058070059.14,32397028000.0
2025-02-12,ZS,209.24,210.0,211.3,207.06,212.53,1673445,351260138.5024,209.9,1.09,153438623,153439000.0,20868574357.09,32105497000.0
2025-02-11,ZS,212.53,209.29,212.69,207.48,205.53,1355632,286204145.7936,211.12,0.88,153438623,153439000.0,21196701855.02,32610309000.0
2025-02-08,ZS,205.53,207.02,210.23,204.42,204.23,1478310,305991247.632,206.99,0.96,153438623,153439000.0,20498556120.37,31536235000.0
2025-02-07,ZS,204.23,204.98,205.62,201.73,204.99,1261706,256974827.9021,203.67,0.82,153438623,153439000.0,20368900483.94,31336766000.0
2025-02-06,ZS,204.99,203.16,205.32,201.16,203.73,1243849,253372911.9943,203.7,0.81,153438623,153439000.0,20444700161.05,31453379000.0
